schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112-INTRO,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,,1,112,112-intro,112-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 112 and paragraph 112A.,exposition,Section introduction,Pengantar bagian,10,12,10,12,160,284,152,297,8aa9db7f873beff301719cb65c18dfafcde9ca4e20ed5c14fda9b5bec57fddf9,8b17dd04eb36be5125680bf5a7bf664533a898a4f3d80464b99aa7b411e234ba,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112A,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,,2,112A,112A,112A,explicit,false,,definition-or-definition-group,Definition,Definisi,13,30,13,30,284,831,297,900,f35ec3c14e1ef60f3058e7edf0c6d2271bded85ed38c1e367987d24f87361dbd,0d055d3dbc58a02158c80752efab8e507cbcfcfb3b97136e0048a6ee09dab32b,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112B,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,,3,112B,112B,112B,explicit,false,,exposition,Remarks,Catatan,31,71,31,71,831,2862,900,3032,cf09534378dc8b4dee62f75647ed4a174efadef6829c2273df3bce2e90d837d0,6951b3a564a13bc37ec9b95e3d1ab3469a07ad11dc7472e7e04706b15864a38e,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112BA,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112B,4,112B,112Ba,112Ba,implicit-subanchor,false,Fremlin prints 112B with inline label (a); 112Ba restores the implicit paragraph ID.,exposition,The use of infinity,Penggunaan tak hingga,31,71,31,71,831,2862,900,3032,cf09534378dc8b4dee62f75647ed4a174efadef6829c2273df3bce2e90d837d0,6951b3a564a13bc37ec9b95e3d1ab3469a07ad11dc7472e7e04706b15864a38e,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112BB,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,,5,112Bb,112Bb,112Bb,explicit,false,,definition-or-definition-group,Remark (b),Catatan (b),72,102,72,102,2862,4274,3032,4599,45057cde54741c01ec251538962b54e1ff0f0763ba65ffb2fe0f2f9a150a2976,7593ebb5025e9da665a85d097c66932851d7ac0a795127d1a11220de0a8768ce,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112BC,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112B,6,112B,112Bc,112Bc,implicit-subanchor,false,Bare printed clause (c) between 112Bb and 112Bd restored as implicit Fremlin ID 112Bc.,exposition,Infinite sums in the extended nonnegative reals,Deret dalam bilangan real nonnegatif diperluas,85,102,87,102,3397,4274,3684,4599,18c91d09d39549164322b98b84d5cffbededaf27219fe36a31a8dfc0c7061091,17ddaf8b571b7218daec1cc75c5c4bc92caac7bdcc97b3a3384aec889158fd60,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112BD,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,,7,112Bd,112Bd,112Bd,explicit,false,,definition-or-definition-group,Remark (d),Catatan (d),103,139,103,137,4274,6134,4599,6562,6f00f6684844408ba8827b2f0066aab2a9641af01bb6fb76280939a730c2796f,7ce5815de65a80226e57696eb6962402ea63f3d315672801a6345955d9d0222d,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112BE,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,,8,112Be,112Be,112Be,explicit,false,,definition-or-definition-group,Remark (e),Catatan (e),140,152,138,150,6134,6902,6562,7347,767e1f9e7f18ea420560dc3c3c4733b5aaa001d5bb3ca30fad4ffe9798cdabc1,ac0c81de629ee88dd2d52bafced654961f8393b611dfca226d7234e0c26b0068,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112C,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,,9,112C,112C,112C,explicit,false,,result-or-result-group,Elementary properties of measure spaces,Sifat-sifat dasar ruang ukur,153,265,151,271,6902,10948,7347,11642,d9854bebf98c1dad0dc7661c57ef16d82b4bb9b53bb87562dd386dfa1137f7ce,692f87e6a458618e56a2e376c807db0e21426172c33a0fcf9eeb8721e03a4d08,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S112-SEG-112CA,O007-FREMLIN-V1-S112,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S112-SEG-112C,10,112C,112Ca,112Ca,implicit-subanchor,false,Printed clause (a) in result group 112C restored as implicit Fremlin ID 112Ca; its proof is a separate linked record.,result-or-result-group,Finite additivity for disjoint pairs,Keadditifan hingga untuk pasangan saling lepas,156,158,154,156,6999,7082,7436,7522,e902cfa388178e5daf0960123fe7f9fc97bb8f444f0538250bc5359a76181656,89ef5c219aaa47857c3aea111af394ab5d45480fb5c24c0919c0a01b1e668b24,"{""basis"":""exact bounded source and target character ranges; implicit anchors recover Fremlin's printed paragraph topology"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
