schema_version,record_type,id,unit_id,source_term,target_term,term_kind,definition_ids,provenance
1.0.0,term,O007-FREMLIN-V1-S111-TERM-SIGMA-ALGEBRA,O007-FREMLIN-V1-S111,sigma-algebra,aljabar-sigma,preferred,"[""O007-FREMLIN-V1-S111-DEF-111A""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-SIGMA-FIELD,O007-FREMLIN-V1-S111,sigma-field,medan-sigma,source-variant,"[""O007-FREMLIN-V1-S111-DEF-111A""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-MEASURABLE-SPACE,O007-FREMLIN-V1-S111,measurable space,ruang terukur,technical,"[""O007-FREMLIN-V1-S111-DEF-111A""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-SET-DIFFERENCE,O007-FREMLIN-V1-S111,set difference,selisih himpunan,technical,[],"{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-SYMMETRIC-DIFFERENCE,O007-FREMLIN-V1-S111,symmetric difference,selisih simetris,technical,[],"{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-NATURAL-NUMBERS,O007-FREMLIN-V1-S111,natural numbers,bilangan asli,foundational,[],"{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-INTEGERS,O007-FREMLIN-V1-S111,integers,bilangan bulat,foundational,[],"{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-RATIONAL-NUMBERS,O007-FREMLIN-V1-S111,rational numbers,bilangan rasional,foundational,[],"{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-SURJECTION,O007-FREMLIN-V1-S111,surjection,surjeksi,technical,"[""O007-FREMLIN-V1-S111-DEF-111FA""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-COUNTABLE,O007-FREMLIN-V1-S111,countable,terhitung,preferred,"[""O007-FREMLIN-V1-S111-DEF-111FA""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-GENERATED-BY,O007-FREMLIN-V1-S111,generated by,dibangkitkan oleh,technical,"[""O007-FREMLIN-V1-S111-DEF-111GB""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-OPEN-SET,O007-FREMLIN-V1-S111,open set,himpunan terbuka,preferred,"[""O007-FREMLIN-V1-S111-DEF-111GC-I"",""O007-FREMLIN-V1-S111-DEF-111GC-II""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-BOREL-SET,O007-FREMLIN-V1-S111,Borel set,himpunan Borel,preferred,"[""O007-FREMLIN-V1-S111-DEF-111GD""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,term,O007-FREMLIN-V1-S111-TERM-BOREL-SIGMA-ALGEBRA,O007-FREMLIN-V1-S111,Borel sigma-algebra,aljabar-sigma Borel,preferred,"[""O007-FREMLIN-V1-S111-DEF-111GD""]","{""basis"":""reader-facing term attested in the complete source and id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
