schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114-INTRO,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,,1,114,114-intro,114-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 114 and paragraph 114A.,exposition,Section introduction,Pengantar bagian,9,23,9,23,165,874,162,888,949ca773274cad1ed62f78bc7416ae3b79f46c2b891d7b69ccbbc3edbd5e21c4,7ca96b79d64017f28e25d70aacd8541590c4695c70095b49a136bda2b9635a1f,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114A,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,,2,114A,114A,114A,explicit,false,,definition,Definitions (a),Definisi (a),24,30,24,30,874,1161,888,1202,a2ebe8bb128bb892fae52b4e69d42bd46bdf0bc5d6161b781fcf64d9fd746c40,86fefd5f4b42a4fc8bb9afcf7d09cd6d3e277636e0b418c84f7e845994ee8d2c,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114AA,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114A,3,114A,114Aa,114Aa,implicit-subanchor,false,Leader 114A prints clause (a); 114Aa restores that source-implied clause ID.,definition,Definition (a): half-open interval,Definisi (a): interval setengah terbuka,24,30,24,30,874,1161,888,1202,a2ebe8bb128bb892fae52b4e69d42bd46bdf0bc5d6161b781fcf64d9fd746c40,86fefd5f4b42a4fc8bb9afcf7d09cd6d3e277636e0b418c84f7e845994ee8d2c,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114AB,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,,4,114Ab,114Ab,114Ab,explicit,false,,definition,Definition (b): length,Definisi (b): panjang,31,39,31,40,1161,1519,1202,1605,6bfceb801ce41338932d9e9f0b6f82960eaf1ce60d0b4c347f1f763a422fad09,befe2ba5ae158984463eadb3f378721eb8c7e763c6254bd4d0252a371338be58,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114B,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,,5,114B,114B,114B,explicit,false,,result,Covering lemma,Lema penutupan,40,100,41,103,1519,3326,1605,3538,9655ec06b30de7269d0b4a65a4f13ccdc63226411870be0848e6128b5bd18d41,d3d6e7f0b608a9960eae7f843e286f709c43717412ded1c364b7a50d4bcc1588,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114BA,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114B,6,114B,114Ba,114Ba,implicit-subanchor,false,Printed proof clause (a) inside 114B restored as 114Ba.,proof-clause,Proof clause (a),Klausa bukti (a),44,62,46,64,1734,2367,1839,2515,f97e031e9a67ebb16be5ae9222258e5047059290e4edf9ab8aa738128a9c0339,028d394e007ad3ec7ab9babf1082c3a7904807837e9ecfac82eb9578dd10eeff,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114BB,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114B,7,114B,114Bb,114Bb,implicit-subanchor,false,Printed proof clause (b) inside 114B restored as 114Bb.,proof-clause,Proof clause (b),Klausa bukti (b),63,73,65,75,2367,2592,2515,2750,2a981389c204bd273a0980c3b430294edc3b1279a41f168a40f5b57e1cba151d,1252077ac9e7c1325e29bfbc81a814e869471d1b407c24d7c4f2b897fc162f37,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114BC,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114B,8,114B,114Bc,114Bc,implicit-subanchor,false,Printed proof clause (c) inside 114B restored as 114Bc.,proof-clause,Proof clause (c),Klausa bukti (c),74,91,76,94,2592,3127,2750,3322,547237cfa6b1514d65e2574ac1adc7c4f6b214b8e40dae3c4e1903426d9c28b9,1b69d29e39e1c08b3bf15344ecf1c0afa1b4ddab75d05c2e2ca8a54a8704f3fb,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114BD,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114B,9,114B,114Bd,114Bd,implicit-subanchor,false,Printed proof clause (d) inside 114B restored as 114Bd.,proof-clause,Proof clause (d),Klausa bukti (d),92,97,95,100,3127,3301,3322,3513,6c74ad85ba99168717ebfcd1a6ee37cfdf298ef9a3df9822f8ccc0e62bdc24ec,c1a9c3e769e491a11d93f826501c8df95eeb4a4ecf3e0411e4e3ef2df3550912,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S114-SEG-114C,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,,10,114C,114C,114C,explicit,false,,definition,Lebesgue outer measure,Ukuran luar Lebesgue,101,121,104,125,3326,4138,3538,4439,816eb09947abdf55ff619c5b13fed39e0a975badbb378ac617edd4e74c749e94,174562d3740c96a47976bd571ae576ebcbdd178353df0d3fc06325d36142da96,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
