schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115-INTRO,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,,1,115,115-intro,115-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 115 and paragraph 115A.,exposition,Section introduction,Pengantar bagian,10,22,10,22,167,862,164,924,fb23a97665da12e250f32994567f7821ec334a9f4b17cd898b133333ae480acb,d9998946b80ecf1f44917f95dffef91029a150711dabc86c4641d7a964554b01,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115A,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,,2,115A,115A,115A,explicit,false,,definition,Definitions (a),Definisi (a),23,28,23,30,862,1267,924,1352,01b0408c712b4fedd15e5412b0e521bb93e68f932d98b30d3045860647de6e9c,3ea9b6801751b9550b3e74aefbfc836b960fbf0da049c854bfc2d4dc26c20b42,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115AA,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115A,3,115A,115Aa,115Aa,implicit-subanchor,false,Leader 115A prints clause (a); 115Aa restores that source-implied clause ID.,definition,Definition (a): notation and fixed dimension,Definisi (a): notasi dan dimensi tetap,23,28,23,30,862,1267,924,1352,01b0408c712b4fedd15e5412b0e521bb93e68f932d98b30d3045860647de6e9c,3ea9b6801751b9550b3e74aefbfc836b960fbf0da049c854bfc2d4dc26c20b42,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115AB,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,,4,115Ab,115Ab,115Ab,explicit,false,,definition,Definition (b): half-open interval,Definisi (b): interval setengah terbuka,29,37,31,39,1267,1596,1352,1717,fc5fa80658b8f00f9741d271189f48f91de28be11e9c4bade912353a0570e5cb,5c174862b72088b515257ed17e7f401d3d870d89da9cf2d797cdc921d6bde03b,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115AC,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,,5,115Ac,115Ac,115Ac,explicit,false,,definition,Definition (c): r-dimensional volume,Definisi (c): volume berdimensi r,38,55,40,57,1596,2145,1717,2313,389c43c219add762f9a0e462e99e9e682e366794b72680b27c976f5c2acd29bd,9db32e48e9d14102ec57efb06df0f81539127781d83550a88e3c6ba282634e8b,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115B,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,,6,115B,115B,115B,explicit,false,,result,Covering lemma,Lema penutupan,56,214,58,223,2145,8549,2313,9245,0de1c4f4d11c5d809ac656c3cbe8c0ceb7127d03ab5ab86d7e22d1cb9de37f26,2d480d45d5468b6edb520fabe83087eb663d61418992235b69fc1884a91611db,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115BA,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115B,7,115B,115Ba,115Ba,implicit-subanchor,false,Printed proof clause (a) inside 115B restored as 115Ba.,proof-clause,Proof clause (a),Klausa bukti (a),66,72,70,76,2551,2834,2772,3067,63381edf634f676d7fe33253ec7aabcf061ea32afdaedf7516cba983151d506b,8b39aa1828a40c412725e3f940f39ef68c8290f2ae4872980357cf2286c10ee0,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115BB,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115B,8,115B,115Bb,115Bb,implicit-subanchor,false,Printed proof clause (b) inside 115B restored as 115Bb.,proof-clause,Proof clause (b),Klausa bukti (b),73,106,77,110,2834,4198,3067,4516,496563f46b12e34ae16937241390a4d832d5a247728fa9cf41ca5789cdbc6671,751bf32fa657d2331b118a04ea253727247ec21e1bfd7f357e4ab990c2cba445,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115BC,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115B,9,115B,115Bc,115Bc,implicit-subanchor,false,Printed proof clause (c) inside 115B restored as 115Bc.,proof-clause,Proof clause (c),Klausa bukti (c),107,117,111,121,4198,4533,4516,4861,060ed9d40d6f8e68b770b6156ea972040f50f25cbd5f17b92f0c900edcdb92e2,af7c311bf3433ec7229344361f270162e90e0b68521fbf05a26e540bcd79efd3,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115BD,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115B,10,115B,115Bd,115Bd,implicit-subanchor,false,Printed proof clause (d) inside 115B restored as 115Bd.,proof-clause,Proof clause (d),Klausa bukti (d),118,162,122,169,4533,6266,4861,6677,925a58f4205d354014d8bdaab8275e7a12b63e55bee3eb23e9eb6e5b97f4f790,4ea585aca9c6d039353e1189b0648d39a0857fbf5256449b458b200a5b765078,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115BE,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115B,11,115B,115Be,115Be,implicit-subanchor,false,Printed proof clause (e) inside 115B restored as 115Be.,proof-clause,Proof clause (e),Klausa bukti (e),163,174,170,181,6266,6659,6677,7094,0025ffe49429f983a0dba53d2ae2dcea224900734e8145cb90e2adec5d61cf07,d579d929ccdf37439d5a4fac52378f2fcfee5433d9ce0c00d5105b5b36212a81,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115C,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,,12,115C,115C,115C,explicit,false,,definition,Lebesgue outer measure,Ukuran luar Lebesgue,215,238,224,247,8549,9416,9245,10200,bd294405a00a014f444eb53a8cfa772eb024bb43f243148cffd5a42eaadb2a61,99c56f23354f512b085a770fdf16be938d66e70bde16354dab6517c81aa70ab6,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115D,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,,13,115D,115D,115D,explicit,false,,result,Outer-measure proposition,Proposisi ukuran luar,239,324,248,337,9416,12611,10200,13652,be487de3b0423bff645859ddea485bf64faf6968ec19b352d2b07b1b7c27b145,edeb45cdf501b7cde0e22ab0abfe80829cb48bddd0d045902db305cc71ed1262,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S115-SEG-115DA,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115D,14,115D,115Da,115Da,implicit-subanchor,false,Printed proposition part (a) restored as 115Da.,result,Proposition 115D(a),Proposisi 115D(a),239,240,248,249,9416,9490,10200,10273,b2baf23c45017a8a5e7ce4b528c2643e05fd9b0a289bf68266f4aadc10182eb8,23a47c7e619179adc735e732f5e79fd7322bbcf1e7cc2d57363038168f823c1c,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
