schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131-INTRO,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,,1,131,131-intro,131-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 131 and proposition 131A.,exposition,Section introduction,Pengantar bagian,10,23,10,23,155,936,149,948,03c515ed0aa64e6c903b100778c245455d130828a04e2ff68e35e23483f817b9,a7a0eeccd7071cafa39615bc78eacd58f607916260327736abc4e66b65f66fcf,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131A,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,,2,131A,131A,131A,explicit,false,,result,Subspace-measure construction,Konstruksi ukuran subruang,24,34,24,35,936,1459,948,1529,0cd7090ae8d105e1f6877ffcd2e5ad4c05d8497a7f9d801826c6bf0f6c1b5eda,a0edaccf64e50e01c6d41ff5238d42fcc17a87921910f30b78b4f28b1bf41b80,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131B,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,,3,131B,131B,131B,explicit,false,,definition,Subspace measure,Ukuran subruang,35,44,36,45,1459,1826,1529,1934,96baa2e82f2a134788bdf0b450aa5f85578ce5ac27348ef497ae8ab229ddd9c8,1de9eb73c25a5c778b9dccdb62136a502bb4389d459850bb930d292ff4c8368b,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131C,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,,4,131C,131C,131C,explicit,false,,result,Elementary properties of subspace measures,Sifat elementer ukuran subruang,45,56,46,57,1826,2282,1934,2443,e39a0ebc237785ffd8532ec2b88004c5a38ca6d7b8b1e424501386a838a599e8,fc4a1b48f0bdf8a3ae8ab22dd697412b0ab061726922de1b0258a17636df802e,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131CA,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S131-SEG-131C,5,131C,131Ca,131Ca,implicit-subanchor,false,Printed statement part inside 131C restored as 131Ca.,result,131C part (a),Bagian 131C(a),49,51,50,52,1973,2056,2082,2195,543358f110e8e184dfd99bed71237df4776670dd2145b75902c7172372c212b2,a52e2aacfedfbeae617dc9d829432476d4caf1273f6203d002a1e4c7042d26b8,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131CB,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S131-SEG-131C,6,131C,131Cb,131Cb,implicit-subanchor,false,Printed statement part inside 131C restored as 131Cb.,result,131C part (b),Bagian 131C(b),52,56,53,57,2056,2282,2195,2443,abc61e368171f01ca612d4fd8902ffa43be1e81f2c8076efacba164bba3e2838,15031688ba42e42be171d1a6d8209a7a85c1f4305fbb4cae46406dc884ca79ef,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131D,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,,7,131D,131D,131D,explicit,false,,definition,Integration over subsets,Integrasi pada subhimpunan,57,66,58,67,2282,2697,2443,2937,f2fefd73ae4a73ddcbd147107882310cb2ba64ced32b07663763057ba9e7e23e,32d8b8a04daadc754e89d9715f8efe1edf2a5fb0c9f9f7a691d51f26fbb761cf,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131E,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,,8,131E,131E,131E,explicit,false,,result,Integration by zero extension,Integrasi melalui perluasan nol,67,134,68,143,2697,5271,2937,5916,638b870278201bf7b7f98d6997210a06ce86869452b9a1f3e90266688f81385a,b8cee9bdffa1c0152fbb5d7ff17e5537a1c52a9382136c36263b982926f13db0,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131EA,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S131-SEG-131E,9,131E,131Ea,131Ea,implicit-subanchor,false,Printed proof clause inside 131E; additive semantic child only.,proof-clause,131E proof clause (a),Klausa bukti 131E(a),72,82,75,86,2999,3402,3359,3809,1741d25d3bce5c0049ba196a16c0b1b0f61d3374d02ae8602a97a4b56b439369,cb5ad28c58103378de7ffa95cce131ce79365e396d947313f5b4c51790e771de,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S131-SEG-131EB,O007-FREMLIN-V1-S131,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S131-SEG-131E,10,131E,131Eb,131Eb,implicit-subanchor,false,Printed proof clause inside 131E; additive semantic child only.,proof-clause,131E proof clause (b),Klausa bukti 131E(b),83,96,87,103,3402,3933,3809,4395,726e09d2021e628520593488ee0de45b8d9c17f7609eed1a66f04c7c6600ba96,0e8533c0e3e93eb6cbb9262eba0bbd84dd811d748871e278e1623748be983d69,"{""basis"":""exact bounded source and target character ranges with additive typed subanchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
