schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-001,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131A,1,131,131-intro,131A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt131.tex:19: I begin with the definition of this subspace measure (131A-131C), with a","{""basis"":""literal printed source expression '131A-131C'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-002,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131B,2,131,131-intro,131B,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt131.tex:19: I begin with the definition of this subspace measure (131A-131C), with a","{""basis"":""literal printed source expression '131A-131C'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-003,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131C,3,131,131-intro,131C,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt131.tex:19: I begin with the definition of this subspace measure (131A-131C), with a","{""basis"":""literal printed source expression '131A-131C'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-004,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131E,4,131,131-intro,131E,resolved-in-unit,authority/fremlin/source/mt1.2011/mt131.tex:20: description of integration with respect to it (131E-131H);   this,"{""basis"":""literal printed source expression '131E-131H'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-005,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131F,5,131,131-intro,131F,resolved-in-unit,authority/fremlin/source/mt1.2011/mt131.tex:20: description of integration with respect to it (131E-131H);   this,"{""basis"":""literal printed source expression '131E-131H'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-006,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131G,6,131,131-intro,131G,resolved-in-unit,authority/fremlin/source/mt1.2011/mt131.tex:20: description of integration with respect to it (131E-131H);   this,"{""basis"":""literal printed source expression '131E-131H'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-007,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131H,7,131,131-intro,131H,resolved-in-unit,authority/fremlin/source/mt1.2011/mt131.tex:20: description of integration with respect to it (131E-131H);   this,"{""basis"":""literal printed source expression '131E-131H'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-008,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131-INTRO,result-reference,O007-FREMLIN-V1-S131-SEG-131D,8,131,131-intro,131D,resolved-in-unit,authority/fremlin/source/mt1.2011/mt131.tex:22: (measurable) subset' (131D).,"{""basis"":""literal printed source expression '131D'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-009,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131A,result-reference,O007-FREMLIN-V1-S121-SEG-121A,9,131A,131A,121A,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt131.tex:30: have noted already (in 121A) that this is a $\sigma$-algebra of subsets,"{""basis"":""literal printed source expression '121A'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S131-XREF-010,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131A,result-reference,O007-FREMLIN-V1-S112-SEG-112A,10,131A,131A,112A,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt131.tex:31: of $H$.   It is now obvious that $\mu_H$ satisfies (iii) of 112A, so","{""basis"":""literal printed source expression '112A'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
