schema_version,record_type,id,unit_id,rights_id,segment_id,exercise_id,source_anchor,semantic_anchor,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,hint_ordinal,provenance
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275XD-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275XD,O007-FREMLIN-V2-S275-EXERCISE-275XD,275Xd,275Xd,999,992,275D.,275D.,312df0632ffb0e5e7a50beb096e9fcedf254ff45a98da8a89b2bad24af275d57,312df0632ffb0e5e7a50beb096e9fcedf254ff45a98da8a89b2bad24af275d57,1,"{""basis"":""active Hint macro associated with 275Xd"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275XD-02,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275XD,O007-FREMLIN-V2-S275-EXERCISE-275XD,275Xd,275Xd,1003,997,apply (iii) to $u=(X-X_m)^{\ssbullet}$ for large $m$.,terapkan (iii) pada $u=(X-X_m)^{\ssbullet}$ untuk $m$ yang besar.,788521c6fdf6a2ea0813ebe991b4fa382717e2c8dff9d0b15398e9d964e9f471,c906c33f4f50158dcd713ed733c6afe524a4a49309d0a696817e742d0100d4cb,2,"{""basis"":""active Hint macro associated with 275Xd"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275XE-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275XE,O007-FREMLIN-V2-S275-EXERCISE-275XE,275Xe,275Xe,1014,1009,"275Xd, 233J/242K, 246Xg.","275Xd, 233J/242K, 246Xg.",3e137a86e7856e82430dc0f337e66d2f9de5b1a9c0f4136f1ff5a33974f14da8,3e137a86e7856e82430dc0f337e66d2f9de5b1a9c0f4136f1ff5a33974f14da8,1,"{""basis"":""active Hint macro associated with 275Xe"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YA-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YA,O007-FREMLIN-V2-S275-EXERCISE-275YA,275Ya,275Ya,1093,1088,consider $\sum_{n=0}^{\infty}\Var(X_n)$.,tinjau $\sum_{n=0}^{\infty}\Var(X_n)$.,36f10dfcfdc893a03107c5bb4274264fc2750caa6eccec3b313f7f752a219aa7,f8fdeb6deb55b0f31c4f3ebb5558dd81a67137c76d551b95fe5616a00face24a,1,"{""basis"":""active Hint macro associated with 275Ya"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YH-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YH,O007-FREMLIN-V2-S275-EXERCISE-275YH,275Yh,275Yh,1182,1174,233J.,233J.,538dce49dc69bbc87602098958a51b22b87952e42b8ad7b0528e069b65a74016,538dce49dc69bbc87602098958a51b22b87952e42b8ad7b0528e069b65a74016,1,"{""basis"":""active Hint macro associated with 275Yh"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YI-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YI,O007-FREMLIN-V2-S275-EXERCISE-275YI,275Yi,275Yi,1191,1182,"suppose $\Expn(W)>0$.   Set
$Z_n=\lim_{m\to\infty}X_n\times\ldots\times X_m$.   Show that
$\lim_{n\to\infty}Z_n=1$ when $0<W<\infty$, therefore a.e., by the
zero-one law, while $\Expn(Z_n)\le 1$, by Fatou's lemma, so
$\lim_{n\to\infty}\Expn(Z_n)=1$, while
$\Expn(W)=\Expn(W_n)\Expn(Z_{n+1})$ for every $n$.","andaikan $\Expn(W)>0$.
Tetapkan $Z_n=\lim_{m\to\infty}X_n\times\ldots\times X_m$. Tunjukkan bahwa
$\lim_{n\to\infty}Z_n=1$ ketika $0<W<\infty$, dan karenanya hampir di
mana-mana berdasarkan hukum nol-satu, sedangkan $\Expn(Z_n)\le 1$ berdasarkan
lemma Fatou, sehingga $\lim_{n\to\infty}\Expn(Z_n)=1$, sedangkan
$\Expn(W)=\Expn(W_n)\Expn(Z_{n+1})$ untuk setiap $n$.",84d91be7db6df562c8b016bf055782658d7d2a7aae4a700dd985610c3fb7c761,1f94a6c0d728d1e1387ed8416726a0a90822e05925057809b609815975b55f58,1,"{""basis"":""active Hint macro associated with 275Yi"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YI-02,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YI,O007-FREMLIN-V2-S275-EXERCISE-275YI,275Yi,275Yi,1199,1190,"$\Pr(W_n\ge\bover14\gamma^2)\ge\bover14\gamma^2$ for every $n$, so
if $\gamma>0$ then $W$ cannot be zero a.e.;  while
$\Expn(\sqrt{W})\le\gamma$.","$\Pr(W_n\ge\bover14\gamma^2)\ge\bover14\gamma^2$ untuk setiap $n$,
sehingga jika $\gamma>0$ maka $W$ tidak mungkin nol hampir di mana-mana;
sedangkan $\Expn(\sqrt{W})\le\gamma$.",0dfa1ea7400ca96e8789d42947e2da6fa68cce464792166f6c8fa31becb8db88,5640161660c97ece74b9a38f752f195ed87700e4d225a996a45902fb84bf52cb,2,"{""basis"":""active Hint macro associated with 275Yi"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YJ-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YJ,O007-FREMLIN-V2-S275-EXERCISE-275YJ,275Yj,275Yj,1214,1205,use 275Yi to show that $\int fd\mu=1$.,gunakan 275Yi untuk menunjukkan bahwa $\int fd\mu=1$.,6ccc4f012deff5adfa1eaf2750dcf3bdd2eda1908a3336e9c3c97b132dc33927,2095facc4e555daaa5b571d82509638c12aa856da72210cc4600b0b2f474cc7b,1,"{""basis"":""active Hint macro associated with 275Yj"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YM-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YM,O007-FREMLIN-V2-S275-EXERCISE-275YM,275Ym,275Ym,1236,1228,"274Yg, 275G.","274Yg, 275G.",7e29109266591a294d588262789515459138b4fd5f0fe07ce3fe5731085352ca,7e29109266591a294d588262789515459138b4fd5f0fe07ce3fe5731085352ca,1,"{""basis"":""active Hint macro associated with 275Ym"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YN-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YN,O007-FREMLIN-V2-S275-EXERCISE-275YN,275Yn,275Yn,1253,1244,"273K, 275Ym.","273K, 275Ym.",6d2e38c1467d5299eefcc1e2f27ae2cce47a2a8fb13c22da8b08ebfd91372433,6d2e38c1467d5299eefcc1e2f27ae2cce47a2a8fb13c22da8b08ebfd91372433,1,"{""basis"":""active Hint macro associated with 275Yn"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S275-HINT-275YQ-01,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S275-SEG-275YQ,O007-FREMLIN-V2-S275-EXERCISE-275YQ,275Yq,275Yq,1281,1272,"assume every $X_i$ defined everywhere on $\Omega$.   Set
$\phi(\omega)=\sequence{i}{X_i(\omega)}$.   Show that
$\phi:\Omega\to\BbbR^{\Bbb N}$ is \imp\ for a suitable product measure
on $\BbbR^{\Bbb N}$, and that every set in $\Sigma_n^*$ is of the form
$\phi^{-1}[H]$ where $H\subseteq\BbbR^{\Bbb N}$ is a Borel set
invariant under permutations of coordinates in the set $\{0,\ldots,n\}$,
so that $\int_EX_i=\int_EX_j$ whenever $i\le j\le n$ and
$E\in\Sigma_n^*$.","anggap setiap $X_i$ terdefinisi di seluruh $\Omega$. Tetapkan
$\phi(\omega)=\sequence{i}{X_i(\omega)}$. Tunjukkan bahwa
$\phi:\Omega\to\BbbR^{\Bbb N}$ adalah \imp\ untuk suatu ukuran produk yang
sesuai pada $\BbbR^{\Bbb N}$, dan bahwa setiap himpunan dalam $\Sigma_n^*$
berbentuk $\phi^{-1}[H]$ dengan $H\subseteq\BbbR^{\Bbb N}$ suatu himpunan
Borel yang invarian terhadap permutasi koordinat dalam himpunan
$\{0,\ldots,n\}$, sehingga $\int_EX_i=\int_EX_j$ kapan pun $i\le j\le n$
dan $E\in\Sigma_n^*$.",03910d4356c79a6056233d1b3c1e332f2dbecce05215678851bcefbe7d015b75,5444321ba0e17c88628d0cb9b531962275946e2636b7f76c75cd07b460978693,1,"{""basis"":""active Hint macro associated with 275Yq"",""kind"":""source-derived-hint-map""}"
