schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275-INTRO,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,1,275,275-intro,275-intro,unmarked-unit-introduction,false,exposition,275-intro,275-intro,10,18,10,18,153,625,151,657,2ae782e46aad5c1d47f087e76ae5f1866a392919c84938e65b1fe8ba7fb6922b,b43f122a8b6a96962bf3ecea849fa694210af0e1bb3e78f198d3f1737aa01fcc,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275A,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,2,275A,275A,275A,explicit,false,exposition,275A,275A,19,35,19,33,625,1348,657,1432,7a85b0330ac35667e1e053a7c360b2d3de299dc0b21aa9808e40e106ec4e39c3,04dbe0d372ba218ba2223e2f1e00e759c5d029e6627ab5b47e50ae6d001bc139,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275B,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,3,275B,275B,275B,explicit,false,exposition,275B,275B,36,53,34,50,1348,2127,1432,2310,eaaaf1def4deaebdea74493626afddda63de0527eee10476c6d904ca9bed8df6,0d9aa033a2ebb4b314bc9cb37e79e5ea3438fbb350dd5e375e479d3ff480cf30,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275BB,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,4,275Bb,275Bb,275Bb,explicit,false,exposition,275Bb,275Bb,54,66,51,62,2127,2761,2310,3014,740d6335bfa58246750fe713c8222657b1f798676d18a317b097f9525bb48afb,5dbf45312fa0467f78650233e778a775ade878be05e4ba22601ed0b68c87c55b,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275BC,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,5,275Bc,275Bc,275Bc,explicit,false,exposition,275Bc,275Bc,67,78,63,73,2761,3303,3014,3611,ada8d6ce6e52daccb395489e7f4420a6f48b8a6d73a03c89503b8d818277251a,cb7366132fc1164c9600ecf3a682a1434ca4006140cdd7d5aa6abf6a4a372060,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275C,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,6,275C,275C,275C,explicit,false,exposition,275C,275C,79,85,74,79,3303,3655,3611,3972,6c1c5e479de7545475f3e7dffa935db3fb1df15884ce9134032c1d83d201b1db,7effbddfdc0d24f357c37a858df52092c732ca2c0252b1011e5bf868044555a2,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275CB,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,7,275Cb,275Cb,275Cb,explicit,false,exposition,275Cb,275Cb,86,91,80,84,3655,3896,3972,4247,113e55a1c48831c2f755d02e912e7ac6194a778d5070ff33746bead73acc97e0,d668a6609fb4bde269e726d89bf2685e9b4fdfa313326c3fea9442fa717a4828,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275CC,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,8,275Cc,275Cc,275Cc,explicit,false,exposition,275Cc,275Cc,92,108,85,102,3896,4846,4247,5294,2df7088cd8bb9e293ef803d710ed3c39a10b6452fc22bdeff88784be0ae14d16,9791c443daef4069fd6d6c2c2d25d157242c478bc2732e91249eb4e100207fb4,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275CD,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,9,275Cd,275Cd,275Cd,explicit,false,exposition,275Cd,275Cd,109,125,103,116,4846,5619,5294,6180,7d35272dd294314b40595ee1704d9fca078b191ac084686977c21a4d655c9772,f1a3814f3ca59dd12363869c770184de05adf9840660837822e433779e418dbe,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S275-SEG-275CE,O007-FREMLIN-V2-S275,O007-RIGHTS-FREMLIN-DSL,,10,275Ce,275Ce,275Ce,explicit,false,exposition,275Ce,275Ce,126,150,117,139,5619,6648,6180,7267,354c0bb3016767bf8b95e8c4808052652872714ed42242e18f7fa401d8d91228,5ea1250b0eedc031823f53c3d87841146636d938ac9b8d580ac8040549c5c783,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
