schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0001,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221-INTRO,1,221-intro,221-intro,6,6,162,170,142,150,\Bbb R,\Bbb R,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,$,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0002,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221-INTRO,2,221-intro,221-intro,9,9,238,251,213,226,\eightBbb R,\eightBbb R,74b2758441b13f7eb9714fc1c351d6dcb71b3e51da48d8cc0c3b21ba9d6f8381,74b2758441b13f7eb9714fc1c351d6dcb71b3e51da48d8cc0c3b21ba9d6f8381,c08959c315b8a2b81203399361e8237f770c3ab800c6d9422fde227cc247dfc6,$,c08959c315b8a2b81203399361e8237f770c3ab800c6d9422fde227cc247dfc6,c08959c315b8a2b81203399361e8237f770c3ab800c6d9422fde227cc247dfc6,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0003,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,3,221A,221A,17,17,576,579,567,570,A,A,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,$,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0004,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,4,221A,221A,17,18,603,611,603,611,\Bbb R,\Bbb R,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,$,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0005,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,5,221A,221A,18,18,617,625,616,624,\Cal I,\Cal I,0831b19b7d701bc369de3b9489033af676d58a27cffc082eed279c76037f0863,0831b19b7d701bc369de3b9489033af676d58a27cffc082eed279c76037f0863,6699e3b8d4cac32e8f0765749cb20c71b87c478c548f6a173cae5d235e2036d0,$,6699e3b8d4cac32e8f0765749cb20c71b87c478c548f6a173cae5d235e2036d0,6699e3b8d4cac32e8f0765749cb20c71b87c478c548f6a173cae5d235e2036d0,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0006,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,6,221A,221A,19,19,673,681,664,672,\Bbb R,\Bbb R,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,$,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0007,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,7,221A,221A,20,20,708,711,766,769,A,A,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,$,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0008,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,8,221A,221A,20,21,752,760,801,809,\Cal I,\Cal I,0831b19b7d701bc369de3b9489033af676d58a27cffc082eed279c76037f0863,0831b19b7d701bc369de3b9489033af676d58a27cffc082eed279c76037f0863,6699e3b8d4cac32e8f0765749cb20c71b87c478c548f6a173cae5d235e2036d0,$,6699e3b8d4cac32e8f0765749cb20c71b87c478c548f6a173cae5d235e2036d0,6699e3b8d4cac32e8f0765749cb20c71b87c478c548f6a173cae5d235e2036d0,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0009,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,9,221A,221A,21,22,795,820,881,906,\Cal I_0\subseteq\Cal I,\Cal I_0\subseteq\Cal I,01128ff72bef0ee40df887d68f7bb6dc8f3fe590583a7d98d7dc519e81655f20,01128ff72bef0ee40df887d68f7bb6dc8f3fe590583a7d98d7dc519e81655f20,7fdeaa3f6a67a66280d5b8e57cd9bc15e6b721712793cf046f1b44821d65472d,$,7fdeaa3f6a67a66280d5b8e57cd9bc15e6b721712793cf046f1b44821d65472d,7fdeaa3f6a67a66280d5b8e57cd9bc15e6b721712793cf046f1b44821d65472d,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S221-FORMULA-0010,O007-FREMLIN-V2-S221,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S221-SEG-221A,10,221A,221A,21,23,835,845,931,941,\Cal I_0,\Cal I_0,5d53a8e865b45be09fb052812526da1ebd70fe07199ecba6212f3fbc56a00cc4,5d53a8e865b45be09fb052812526da1ebd70fe07199ecba6212f3fbc56a00cc4,20271abc8c3d935bc90fbabe426c9e39a7beb28a9f908e88c2fbef52418cd023,$,20271abc8c3d935bc90fbabe426c9e39a7beb28a9f908e88c2fbef52418cd023,20271abc8c3d935bc90fbabe426c9e39a7beb28a9f908e88c2fbef52418cd023,"{""basis"":""ordered nested-math atom; exact-symbolic-replay"",""kind"":""source-target-formula-map""}"
