schema_version,record_type,id,unit_id,rights_id,segment_id,exercise_id,source_anchor,semantic_anchor,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,hint_ordinal,provenance
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255XD-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255XD,O007-FREMLIN-V2-S255-EXERCISE-255XD,255Xd,255Xd,891,891,123D.,123D.,f58a032bcc6d0a6d62686140f52ce9ebbeab061b5386e552e036ab6cf5981890,f58a032bcc6d0a6d62686140f52ce9ebbeab061b5386e552e036ab6cf5981890,1,"{""basis"":""active Hint macro associated with 255Xd"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255XF-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255XF,O007-FREMLIN-V2-S255-EXERCISE-255XF,255Xf,255Xf,911,911,223Yg.,223Yg.,9ec28950dacb1f45386b15d5433e0f1a14b98a1165155dc9d3337cac5ea5179b,9ec28950dacb1f45386b15d5433e0f1a14b98a1165155dc9d3337cac5ea5179b,1,"{""basis"":""active Hint macro associated with 255Xf"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255XF-02,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255XF,O007-FREMLIN-V2-S255-EXERCISE-255XF,255Xf,255Xf,912,912,"use
(ii) and 245H(a-ii) {\it or} look first at the case $f=\chi[a,b]$ and
use 242O, noting that $\int|f*\psi_{\delta}|\le\int|f|$.","gunakan
(ii) dan 245H(a-ii) {\it atau} perhatikan dahulu kasus $f=\chi[a,b]$ dan
gunakan 242O, dengan mencatat bahwa $\int|f*\psi_{\delta}|\le\int|f|$.",9b555d48cd16916f86eba953739d72dc19fc1b50bdce3baf1f40ab706bc0087d,b78c7df7d3faeef78df6e48ad083634e73ba890b5bb7792e393c23327ba3e50f,2,"{""basis"":""active Hint macro associated with 255Xf"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255XG-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255XG,O007-FREMLIN-V2-S255-EXERCISE-255XG,255Xg,255Xg,923,923,252Yf.,252Yf.,1bcea8f074dbb8275e5032d33cbea9f45c4664b61087aff72286f64e45e7f1f5,1bcea8f074dbb8275e5032d33cbea9f45c4664b61087aff72286f64e45e7f1f5,1,"{""basis"":""active Hint macro associated with 255Xg"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255YB-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255YB,O007-FREMLIN-V2-S255-EXERCISE-255YB,255Yb,255Yb,1008,1008,263G.,263G.,077c6fb487e6117412d9b53aae6550218702989904fd8913be26b4263c6a37e7,077c6fb487e6117412d9b53aae6550218702989904fd8913be26b4263c6a37e7,1,"{""basis"":""active Hint macro associated with 255Yb"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255YF-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255YF,O007-FREMLIN-V2-S255-EXERCISE-255YF,255Yf,255Yf,1035,1035,use 244Hb.,gunakan 244Hb.,cbbd7f2d083ea404be7c943abdcef84fd16082dcbec5a214e01c67132cceaf4c,d1475358a47a17d2c40554b28210e3b98d393ec6a7b633e4e57cca0fd3bf1c73,1,"{""basis"":""active Hint macro associated with 255Yf"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255YJ-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255YJ,O007-FREMLIN-V2-S255-EXERCISE-255YJ,255Yj,255Yj,1092,1092,233I.,233I.,8590e0844a3177f1f20b458a0d8a8bb83c0800227543c83b41a4985d3a5dd65a,8590e0844a3177f1f20b458a0d8a8bb83c0800227543c83b41a4985d3a5dd65a,1,"{""basis"":""active Hint macro associated with 255Yj"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255YK-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255YK,O007-FREMLIN-V2-S255-EXERCISE-255YK,255Yk,255Yk,1099,1099,"argue from 255Yj, as in 244M.","turunkan dari 255Yj, seperti dalam 244M.",ec4d94936ce408b30daaeb08c47668ec2a12ff752a091ea633a164cb6c50fa27,549bc6ad63ce8e9e06df4080fd7e8bee13c0248beb407773b5ac79d6f763310f,1,"{""basis"":""active Hint macro associated with 255Yk"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255YL-01,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255YL,O007-FREMLIN-V2-S255-EXERCISE-255YL,255Yl,255Yl,1110,1110,"set $p'=p/(p-1)$, etc.;  $f_1=f^{p/q'}$,
$g_1=g^{q/p'}$, $h=(f^p\times g^q)^{1/r}$.   Use 244Xc to see that
$\|f_1\times g_1\|_{r'}\le\|f_1\|_{q'}\|g_1\|_{p'}$, so that
$\int f_1\times g_1\times h\le\|f_1\|_{q'}\|g_1\|_{p'}\|h\|_r$.","tetapkan $p'=p/(p-1)$, dan seterusnya;  $f_1=f^{p/q'}$,
$g_1=g^{q/p'}$, $h=(f^p\times g^q)^{1/r}$.   Gunakan 244Xc untuk melihat bahwa
$\|f_1\times g_1\|_{r'}\le\|f_1\|_{q'}\|g_1\|_{p'}$, sehingga
$\int f_1\times g_1\times h\le\|f_1\|_{q'}\|g_1\|_{p'}\|h\|_r$.",75fcfb595e65e88bb058ee218b8d714048b71ad68674bc5c537ad97ccdab6762,44d9431d5d44d32e4d0fb043db8b3fb4e778c0121c3e6491a5f1b406eb9b7f24,1,"{""basis"":""active Hint macro associated with 255Yl"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S255-HINT-255YL-02,O007-FREMLIN-V2-S255,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S255-SEG-255YL,O007-FREMLIN-V2-S255-EXERCISE-255YL,255Yl,255Yl,1116,1116,"take $f$, $g\ge 0$.   Use (i) to see that
$(f*g)(x)^r\le\|f\|_p^{r-p}\|g\|_q^{r-q}\int f(y)^pg(x-y)^qdy$, so that
$\|f*g\|_r^r\le\|f\|_p^{r-p}\|g\|_q^{r-q}\int f(y)^p\|g\|_q^qdy$.","ambil $f$, $g\ge 0$.   Gunakan (i) untuk melihat bahwa
$(f*g)(x)^r\le\|f\|_p^{r-p}\|g\|_q^{r-q}\int f(y)^pg(x-y)^qdy$, sehingga
$\|f*g\|_r^r\le\|f\|_p^{r-p}\|g\|_q^{r-q}\int f(y)^p\|g\|_q^qdy$.",ab786233733c5a76b26bab929046bbffb0ab601a4700a7259dfc060d36a14513,0d1c03fdf69839ff6c9e348a7e103ae44e37a457689dc2744b7243b003e7fe10,2,"{""basis"":""active Hint macro associated with 255Yl"",""kind"":""source-derived-hint-map""}"
