schema_version,record_type,id,unit_id,rights_id,segment_id,source_anchor,semantic_anchor,association_locator,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,provenance
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115BA,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115BA,115B,115Ba,printed bold clause (a) inside proof macro for 115B,66,70,"{\bf (a)} The argument for $r=1$, starting the induction, is similar to
the inductive step;  but rather than establish a suitable convention to
set up a trivial case $r=0$, or ask you to work out the details yourself,
I refer you to 114B, which is exactly the case $r=1$.

\medskip

","{\bf (a)} Argumen untuk $r=1$, yang memulai induksi, serupa dengan
langkah induksi; tetapi alih-alih menetapkan kesepakatan yang sesuai
untuk membangun kasus trivial $r=0$, atau meminta Anda mengerjakan sendiri
rinciannya, saya merujuk Anda ke 114B, yang tepat merupakan kasus $r=1$.

\medskip

",63381edf634f676d7fe33253ec7aabcf061ea32afdaedf7516cba983151d506b,8b39aa1828a40c412725e3f940f39ef68c8290f2ae4872980357cf2286c10ee0,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115BB,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115BB,115B,115Bb,printed bold clause (b) inside proof macro for 115B,73,77,"{\bf (b)} For the inductive step to $r+1$, where $r\ge 1$, take a
half-open interval $I\subseteq\BbbR^{r+1}$ and $\sequence{j}{I_j}$ a
sequence of half-open intervals covering $I$.   If
$I=\emptyset$ then of course $\lambda_{r+1}
I=0\le\sum_{j=0}^{\infty}\lambda_{r+1}
I_j$.   Otherwise, express
$I$ as $\coint{a,b}$, where $\alpha_i<\beta_i$ for $i\le r+1$, and each
$I_j$ as $\coint{a^{(j)},b^{(j)}}$.   Write
$\zeta=\prod_{i=1}^r\beta_i-\alpha_i$, so that
$\lambda_{r+1}I=\zeta(\beta_{r+1}-\alpha_{r+1})$.   Fix $\epsilon>0$.
For each $\xi\in \Bbb R$ let $H_{\xi}$ be the
half-space $\{x:\xi_{r+1}<\xi\}$, and consider the set

\Centerline{$A=\{\xi:\alpha_{r+1}\le \xi\le \beta_{r+1},\,
\zeta(\xi-\alpha_{r+1})
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\xi})\}$.}

\noindent (Note that
$I_j\cap H_{\xi}
=\hbox{$\bigl[$}a^{(j)},\tilde b^{(j)}\hbox{$\bigr[$}$,
where $\tilde\beta^{(j)}_i=\beta^{(j)}_i$ for $i\le r$ and
$\tilde\beta^{(j)}_{r+1}=\min(\beta^{(j)}_{r+1},\xi)$, so
$\lambda_{r+1}(I_j\cap H_{\xi})$ is always defined.)
We have $\alpha_{r+1}\in A$, because

\Centerline{$\zeta(\alpha_{r+1}-\alpha_{r+1})=0
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\alpha_{r+1}})$,}

\noindent and of course $A\subseteq[\alpha_{r+1},\beta_{r+1}]$, so
$\gamma=\sup A$ is defined, and
belongs to $[\alpha_{r+1},\beta_{r+1}]$.

\medskip

","{\bf (b)} Untuk langkah induksi menuju $r+1$, dengan $r\ge 1$, ambil
interval setengah terbuka $I\subseteq\BbbR^{r+1}$ dan
$\sequence{j}{I_j}$ suatu barisan interval setengah terbuka yang
menutupi $I$. Jika $I=\emptyset$, tentu saja $\lambda_{r+1}
I=0\le\sum_{j=0}^{\infty}\lambda_{r+1}
I_j$. Jika tidak, nyatakan
$I$ sebagai $\coint{a,b}$, dengan $\alpha_i<\beta_i$ untuk $i\le r+1$,
dan setiap $I_j$ sebagai $\coint{a^{(j)},b^{(j)}}$. Tuliskan
$\zeta=\prod_{i=1}^r\beta_i-\alpha_i$, sehingga
$\lambda_{r+1}I=\zeta(\beta_{r+1}-\alpha_{r+1})$. Tetapkan
$\epsilon>0$. Untuk setiap $\xi\in \Bbb R$, misalkan $H_{\xi}$ adalah
setengah-ruang $\{x:\xi_{r+1}<\xi\}$, dan tinjau himpunan

\Centerline{$A=\{\xi:\alpha_{r+1}\le \xi\le \beta_{r+1},\,
\zeta(\xi-\alpha_{r+1})
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\xi})\}$.}

\noindent (Perhatikan bahwa
$I_j\cap H_{\xi}
=\hbox{$\bigl[$}a^{(j)},\tilde b^{(j)}\hbox{$\bigr[$}$,
dengan $\tilde\beta^{(j)}_i=\beta^{(j)}_i$ untuk $i\le r$ dan
$\tilde\beta^{(j)}_{r+1}=\min(\beta^{(j)}_{r+1},\xi)$, sehingga
$\lambda_{r+1}(I_j\cap H_{\xi})$ selalu terdefinisi.)
Kita mempunyai $\alpha_{r+1}\in A$, karena

\Centerline{$\zeta(\alpha_{r+1}-\alpha_{r+1})=0
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\alpha_{r+1}})$,}

\noindent dan tentu saja $A\subseteq[\alpha_{r+1},\beta_{r+1}]$,
sehingga $\gamma=\sup A$ terdefinisi dan
termasuk dalam $[\alpha_{r+1},\beta_{r+1}]$.

\medskip

",496563f46b12e34ae16937241390a4d832d5a247728fa9cf41ca5789cdbc6671,751bf32fa657d2331b118a04ea253727247ec21e1bfd7f357e4ab990c2cba445,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115BC,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115BC,115B,115Bc,printed bold clause (c) inside proof macro for 115B,107,111,"{\bf (c)} We find now that $\gamma\in A$.

$$\eqalign{\Prf\ \zeta(\gamma-\alpha_{r+1})
&=\sup_{\xi\in A}\zeta(\xi-\alpha_{r+1})\cr
&\le(1+\epsilon)\sup_{\xi\in A}
  \sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\xi})
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\gamma}).
\text{ \Qed}\cr}$$

\wheader{115B}{6}{2}{2}{12pt}

","{\bf (c)} Sekarang kita dapati bahwa $\gamma\in A$.

$$\eqalign{\Prf\ \zeta(\gamma-\alpha_{r+1})
&=\sup_{\xi\in A}\zeta(\xi-\alpha_{r+1})\cr
&\le(1+\epsilon)\sup_{\xi\in A}
  \sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\xi})
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\gamma}).
\text{ \Qed}\cr}$$

\wheader{115B}{6}{2}{2}{12pt}

",060ed9d40d6f8e68b770b6156ea972040f50f25cbd5f17b92f0c900edcdb92e2,af7c311bf3433ec7229344361f270162e90e0b68521fbf05a26e540bcd79efd3,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115BD,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115BD,115B,115Bd,printed bold clause (d) inside proof macro for 115B,118,122,"{\bf (d)} \Quer\ Suppose, if possible, that $\gamma<\beta_{r+1}$.   Then
$\gamma\in\coint{\alpha_{r+1},\beta_{r+1}}$.   Set

\Centerline{$J=\{x:x\in\BbbR^r,\,(x,\gamma)\in I\}
=\coint{a',b'}$,}

\noindent where $a'=(\alpha_1,\ldots,\alpha_r)$,
$b'=(\beta_1,\ldots,\beta_r)$, and for each $j\in\Bbb N$ set

\Centerline{$J_j=\{x:x\in\BbbR^r,\,(x,\gamma)\in I_j\}$.}

\noindent Because $I\subseteq\bigcup_{j\in\Bbb N}I_j$, we must have
$J\subseteq\bigcup_{j\in\Bbb N}J_j$.   Of course both $J$ and the $J_j$
are half-open intervals in $\BbbR^r$.    (This is one of the places
where it is helpful to count the empty set as a half-open interval.)
By the inductive hypothesis,
$\zeta=\lambda_rJ\le\sum_{j=0}^{\infty}\lambda_rJ_j$.   As $\zeta>0$,
there is an $m\in\Bbb N$ such that
$\zeta\le(1+\epsilon)\sum_{j=0}^m\lambda_rJ_j$.
Now for each $j\le m$, either $J_j=\emptyset$ or
$\alpha^{(j)}_{r+1}\le\gamma<\beta^{(j)}_{r+1}$;  set

\Centerline{$\xi=\min(\{\beta_{r+1}\}\cup\{\beta^{(j)}_{r+1}:j\le
m,\,J_j\ne\emptyset\})>\gamma$.}

\noindent Then

\Centerline{$\lambda_{r+1}(I_j\cap H_{\xi})
\ge\lambda_{r+1}(I_j\cap H_{\gamma})+(\xi-\gamma)\lambda_rJ_j$}

\noindent for every $j\le m$ such that $J_j$ is non-empty, and therefore
for every $j$.   Consequently

$$\eqalign{\zeta(\xi-\alpha_{r+1})
&=\zeta(\gamma-\alpha_{r+1})+\zeta(\xi-\gamma)\cr
&\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\gamma})
+(1+\epsilon)(\xi-\gamma)\sum_{j=0}^m\lambda_rJ_j\cr
&\le(1+\epsilon)\sum_{j=m+1}^{\infty}\lambda_{r+1}(I_j\cap H_{\gamma})
+(1+\epsilon)\sum_{j=0}^m\lambda_{r+1}(I_j\cap H_{\xi})\cr
&\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\xi}),\cr}$$

\noindent and $\xi\in A$, which is impossible.\ \Bang

\medskip

","{\bf (d)} \Quer\ Andaikan, jika mungkin, bahwa
$\gamma<\beta_{r+1}$. Maka
$\gamma\in\coint{\alpha_{r+1},\beta_{r+1}}$. Tetapkan

\Centerline{$J=\{x:x\in\BbbR^r,\,(x,\gamma)\in I\}
=\coint{a',b'}$,}

\noindent dengan $a'=(\alpha_1,\ldots,\alpha_r)$,
$b'=(\beta_1,\ldots,\beta_r)$, dan untuk setiap $j\in\Bbb N$
tetapkan

\Centerline{$J_j=\{x:x\in\BbbR^r,\,(x,\gamma)\in I_j\}$.}

\noindent Karena $I\subseteq\bigcup_{j\in\Bbb N}I_j$, kita harus
mempunyai $J\subseteq\bigcup_{j\in\Bbb N}J_j$. Tentu saja, baik $J$
maupun setiap $J_j$ merupakan interval setengah terbuka dalam
$\BbbR^r$. (Inilah salah satu tempat yang memperlihatkan manfaat
menganggap himpunan kosong sebagai interval setengah terbuka.)
Menurut hipotesis induksi,
$\zeta=\lambda_rJ\le\sum_{j=0}^{\infty}\lambda_rJ_j$. Karena $\zeta>0$,
terdapat $m\in\Bbb N$ sedemikian sehingga
$\zeta\le(1+\epsilon)\sum_{j=0}^m\lambda_rJ_j$.
Sekarang, untuk setiap $j\le m$, berlaku $J_j=\emptyset$ atau
$\alpha^{(j)}_{r+1}\le\gamma<\beta^{(j)}_{r+1}$; tetapkan

\Centerline{$\xi=\min(\{\beta_{r+1}\}\cup\{\beta^{(j)}_{r+1}:j\le
m,\,J_j\ne\emptyset\})>\gamma$.}

\noindent Maka

\Centerline{$\lambda_{r+1}(I_j\cap H_{\xi})
\ge\lambda_{r+1}(I_j\cap H_{\gamma})+(\xi-\gamma)\lambda_rJ_j$}

\noindent untuk setiap $j\le m$ yang untuknya $J_j$ tak kosong, dan
karena itu untuk setiap $j$. Akibatnya,

$$\eqalign{\zeta(\xi-\alpha_{r+1})
&=\zeta(\gamma-\alpha_{r+1})+\zeta(\xi-\gamma)\cr
&\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\gamma})
+(1+\epsilon)(\xi-\gamma)\sum_{j=0}^m\lambda_rJ_j\cr
&\le(1+\epsilon)\sum_{j=m+1}^{\infty}\lambda_{r+1}(I_j\cap H_{\gamma})
+(1+\epsilon)\sum_{j=0}^m\lambda_{r+1}(I_j\cap H_{\xi})\cr
&\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\xi}),\cr}$$

\noindent dan $\xi\in A$, yang mustahil.\ \Bang

\medskip

",925a58f4205d354014d8bdaab8275e7a12b63e55bee3eb23e9eb6e5b97f4f790,4ea585aca9c6d039353e1189b0648d39a0857fbf5256449b458b200a5b765078,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115BE,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115BE,115B,115Be,printed bold clause (e) inside proof macro for 115B,163,170,"{\bf (e)} We conclude that $\gamma=\beta_{r+1}$, so that
$\beta_{r+1}\in A$ and

\Centerline{$\lambda_{r+1}I=\zeta(\beta_{r+1}-\alpha_{r+1})
\le(1+\epsilon)\sum_{j=0}^n\lambda_{r+1}(I_j\cap H_{\beta_{r+1}})
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}I_j$.}

\noindent As $\epsilon$ is arbitrary,

\Centerline{$\lambda_{r+1}I\le\sum_{j=0}^{\infty}\lambda_{r+1}I_j$,}

\noindent as claimed.
","{\bf (e)} Kita menyimpulkan bahwa $\gamma=\beta_{r+1}$, sehingga
$\beta_{r+1}\in A$ dan

\Centerline{$\lambda_{r+1}I=\zeta(\beta_{r+1}-\alpha_{r+1})
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}(I_j\cap H_{\beta_{r+1}})
\le(1+\epsilon)\sum_{j=0}^{\infty}\lambda_{r+1}I_j$.}

\noindent Karena $\epsilon$ sebarang,

\Centerline{$\lambda_{r+1}I\le\sum_{j=0}^{\infty}\lambda_{r+1}I_j$,}

\noindent sebagaimana diklaim.
",0025ffe49429f983a0dba53d2ae2dcea224900734e8145cb90e2adec5d61cf07,d579d929ccdf37439d5a4fac52378f2fcfee5433d9ce0c00d5105b5b36212a81,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115DA-I,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115DA,115D,115Da,printed bold clause (a)(i) inside proof macro for 115D,245,254,"{\bf (a)(i)} $\theta$ takes values in $[0,\infty]$
because every $\theta A$ is the infimum of a non-empty subset of
$[0,\infty]$.

\medskip

\quad","{\bf (a)(i)} $\theta$ mengambil nilai dalam $[0,\infty]$
karena setiap $\theta A$ merupakan infimum suatu subhimpunan tak kosong
dari $[0,\infty]$.

\medskip

\quad",35aeac5ce3efc431472acc8e3299c36f164783f259e81ae4b6ea525898b8bd5c,a3e6890188b5c02357701d157d1c95a7a1c555bf1025d11dd3d262f07d20f587,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115DA-II,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115DA,115D,115Da,printed bold clause (ii) inside proof macro for 115D,251,260,"{\bf (ii)} $\theta\emptyset=0$ because (for instance) if we set
$I_j=\emptyset$ for every $j$, then every $I_j$ is a half-open interval
(on the convention I am using),
$\emptyset\subseteq\bigcup_{j\in\Bbb N}I_j$
and $\sum_{j=0}^{\infty}\lambda I_j=0$.

\medskip

\quad","{\bf (ii)} $\theta\emptyset=0$ karena (misalnya) jika kita
menetapkan $I_j=\emptyset$ untuk setiap $j$, maka setiap $I_j$ adalah
interval setengah terbuka (menurut kesepakatan yang saya gunakan),
$\emptyset\subseteq\bigcup_{j\in\Bbb N}I_j$
dan $\sum_{j=0}^{\infty}\lambda I_j=0$.

\medskip

\quad",4ec22ea61ae80cf7570e9935c01c61163f2396bee44dd53bd5c843eca960c91c,00c46bfd35627819f2eeec1545d33f2e8a393d695332720c4bfad8914f0064f7,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115DA-III,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115DA,115D,115Da,printed bold clause (iii) inside proof macro for 115D,259,268,"{\bf (iii)} If $A\subseteq B$ then whenever
$B\subseteq\bigcup_{j\in\Bbb N}I_j$ we have
$A\subseteq\bigcup_{j\in\Bbb N}I_j$, so $\theta A$ is the infimum of a set at least as large as that
involved in the definition of $\theta B$, and $\theta A\le\theta B$.

\medskip

\quad","{\bf (iii)} Jika $A\subseteq B$, maka setiap kali
$B\subseteq\bigcup_{j\in\Bbb N}I_j$ kita mempunyai
$A\subseteq\bigcup_{j\in\Bbb N}I_j$, sehingga $\theta A$ adalah
infimum suatu himpunan yang memuat himpunan yang terlibat dalam
definisi $\theta B$, dan
$\theta A\le\theta B$.

\medskip

\quad",9a53bf0e04e214869a849cecd46ee1148664b5243945b828f5b36626bacb1e91,9f2dbb53cef0078f291425360f22ea006172b8022aee88203f15ad3d1814eed2,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115DA-IV,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115DA,115D,115Da,printed bold clause (iv) inside proof macro for 115D,266,277,"{\bf (iv)} Now suppose that $\langle A_n\rangle_{n\in\Bbb N}$ is a
sequence of subsets of $\BbbR^r$, with union $A$.   For any
$\epsilon>0$,
we can choose, for each $n\in\Bbb N$, a sequence $\langle
I_{nj}\rangle_{j\in\Bbb N}$ of half-open intervals such that
$A_n\subseteq\bigcup_{j\in\Bbb N}I_{nj}$ and
$\sum_{j=0}^{\infty}\lambda I_{nj}\le\theta A_n+2^{-n}\epsilon$.
(You should perhaps check that this formulation is valid whether
$\theta A_n$
is finite or infinite.)   Now by 111F(b-ii) there is a
bijection from $\Bbb N$ to $\Bbb N\times\Bbb N$;  express
this in the form $m\mapsto(k_m,l_m)$.   Then we find that

\Centerline{$\sum_{m=0}^{\infty}\lambda I_{k_m,l_m}
=\sum_{n=0}^{\infty}\sum_{j=0}^{\infty}\lambda I_{nj}$.}

\noindent (To see this, note that because every $\lambda I_{nj}$ is
greater than or equal to $0$, and $m\mapsto(k_m,l_m)$ is a bijection,
both sums are equal to

\Centerline{$\sup_{K\subseteq\Bbb N\times\Bbb N\text{ is finite}}
\sum_{(n,j)\in K}\lambda I_{nj}$.}

\noindent Or look at the argument written out in 114D.)   But now
$\langle I_{k_m,l_m}\rangle_{m\in\Bbb N}$ is a
sequence of half-open intervals and

\Centerline{$A=\bigcup_{n\in\Bbb N}A_n
\subseteq\bigcup_{n\in\Bbb N}\bigcup_{j\in\Bbb N}I_{nj}
=\bigcup_{m\in\Bbb N}I_{k_m,l_m}$,}

\noindent so

$$\eqalign{\theta A
&\le\sum_{m=0}^{\infty}\lambda I_{k_m,l_m}
=\sum_{n=0}^{\infty}\sum_{j=0}^{\infty}\lambda I_{nj}\cr
&\le\sum_{n=0}^{\infty}(\theta A_n+2^{-n}\epsilon)
=\sum_{n=0}^{\infty}\theta A_n+\sum_{n=0}^{\infty}2^{-n}\epsilon
=\sum_{n=0}^{\infty}\theta A_n+2\epsilon.\cr}$$

\noindent Because $\epsilon$ is arbitrary, $\theta
A\le\sum_{n=0}^{\infty}\theta A_n$ (again, you should check that this
is valid whether or not $\sum_{n=0}^{\infty}\theta A_n$ is finite).
As $\langle A_n\rangle_{n\in\Bbb N}$ is arbitrary, $\theta$ is an outer
measure.

\medskip

","{\bf (iv)} Sekarang andaikan bahwa
$\langle A_n\rangle_{n\in\Bbb N}$ adalah barisan subhimpunan
$\BbbR^r$, dengan gabungan $A$. Untuk setiap
$\epsilon>0$, kita dapat memilih, bagi setiap $n\in\Bbb N$, suatu
barisan $\langle I_{nj}\rangle_{j\in\Bbb N}$ yang terdiri atas interval
setengah terbuka sedemikian sehingga
$A_n\subseteq\bigcup_{j\in\Bbb N}I_{nj}$ dan
$\sum_{j=0}^{\infty}\lambda I_{nj}\le\theta A_n+2^{-n}\epsilon$.
(Anda mungkin perlu memeriksa bahwa perumusan ini sah, baik ketika
$\theta A_n$ berhingga maupun tak hingga.) Sekarang, menurut 111F(b-ii),
terdapat bijeksi dari $\Bbb N$ ke $\Bbb N\times\Bbb N$; nyatakan
bijeksi ini dalam bentuk $m\mapsto(k_m,l_m)$. Maka kita memperoleh

\Centerline{$\sum_{m=0}^{\infty}\lambda I_{k_m,l_m}
=\sum_{n=0}^{\infty}\sum_{j=0}^{\infty}\lambda I_{nj}$.}

\noindent (Untuk melihat ini, perhatikan bahwa karena setiap
$\lambda I_{nj}$ lebih besar daripada atau sama dengan $0$, dan
$m\mapsto(k_m,l_m)$ adalah bijeksi, kedua jumlah sama dengan

\Centerline{$\sup_{K\subseteq\Bbb N\times\Bbb N\text{ berhingga}}
\sum_{(n,j)\in K}\lambda I_{nj}$.}

\noindent Atau lihat argumen yang dituliskan lengkap dalam 114D.) Namun
sekarang $\langle I_{k_m,l_m}\rangle_{m\in\Bbb N}$ adalah barisan
interval setengah terbuka dan

\Centerline{$A=\bigcup_{n\in\Bbb N}A_n
\subseteq\bigcup_{n\in\Bbb N}\bigcup_{j\in\Bbb N}I_{nj}
=\bigcup_{m\in\Bbb N}I_{k_m,l_m}$,}

\noindent sehingga

$$\eqalign{\theta A
&\le\sum_{m=0}^{\infty}\lambda I_{k_m,l_m}
=\sum_{n=0}^{\infty}\sum_{j=0}^{\infty}\lambda I_{nj}\cr
&\le\sum_{n=0}^{\infty}(\theta A_n+2^{-n}\epsilon)
=\sum_{n=0}^{\infty}\theta A_n+\sum_{n=0}^{\infty}2^{-n}\epsilon
=\sum_{n=0}^{\infty}\theta A_n+2\epsilon.\cr}$$

\noindent Karena $\epsilon$ sebarang, $\theta
A\le\sum_{n=0}^{\infty}\theta A_n$ (sekali lagi, Anda sebaiknya
memeriksa bahwa ini sah, baik
$\sum_{n=0}^{\infty}\theta A_n$ berhingga maupun tidak).
Karena $\langle A_n\rangle_{n\in\Bbb N}$ sebarang, $\theta$ adalah
ukuran luar.

\medskip

",f9747b77ed45c10ca1d7b6b9f8ea0868c78b586646d3d0d7e5d122c64a89aa13,ccf5828ab8ab779273b917e085e251b20f60f9b33268735ba3639b12e31ed3bf,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S115-PROOF-115DB,O007-FREMLIN-V1-S115,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S115-SEG-115DB,115D,115Db,printed bold clause (b) inside proof macro for 115D,314,326,"{\bf (b)} Because we can always take $I_0=I$, $I_j=\emptyset$ for
$j\ge 1$, to obtain a sequence of half-open intervals covering $I$ with
$\sum_{j=0}^{\infty}\lambda I_j=\lambda I$, we surely have $\theta
I\le\lambda I$.   For the reverse inequality, use 115B;  if
$I\subseteq\bigcup_{j\in\Bbb N}I_j$, then $\lambda
I\le\sum_{j=0}^{\infty}\lambda I_j$;   as
$\langle I_j\rangle_{j\in\Bbb N}$ is arbitrary, $\theta I\ge\lambda I$ and $\theta I=\lambda I$, as
required.
","{\bf (b)} Karena kita selalu dapat mengambil $I_0=I$ dan
$I_j=\emptyset$ untuk $j\ge 1$, untuk memperoleh barisan interval
setengah terbuka yang menutupi $I$ dengan
$\sum_{j=0}^{\infty}\lambda I_j=\lambda I$, kita tentu mempunyai
$\theta I\le\lambda I$. Untuk ketaksamaan sebaliknya, gunakan 115B;
jika $I\subseteq\bigcup_{j\in\Bbb N}I_j$, maka $\lambda
I\le\sum_{j=0}^{\infty}\lambda I_j$; karena
$\langle I_j\rangle_{j\in\Bbb N}$ sebarang, $\theta I\ge\lambda I$ dan
$\theta I=\lambda I$, sebagaimana diperlukan.
",4a7c43d9f6cc2cd050dfc1400f41d9d2e521a3c61d0930890fb76a213d02a9c7,c1708c612c5eafc7baed5d11175f37a88a09fc55cdf6a210023784b311f7e367,"{""basis"":""source proof macro split only at printed bold clause labels"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE""]}"
