schema_version,record_type,id,unit_id,rights_id,segment_id,source_anchor,semantic_anchor,source_label,target_label,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,provenance
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122B,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122B,122B,122B,Closure properties of simple functions,Sifat ketertutupan fungsi sederhana,"\leader{122B}{Lemma} Let $(X,\Sigma,\mu)$ be a measure space.

(a) Every simple function on $X$ is measurable.

(b) If $f$, $g:X\to\Bbb R$ are simple functions, so is $f+g$.

(c) If $f:X\to \Bbb R$ is a simple function and $c\in\Bbb R$, then
$cf:X\to\Bbb R$ is a simple function.

(d) The constant zero function is simple.

","\leader{122B}{Lema} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.

(a) Setiap fungsi sederhana pada $X$ bersifat terukur.

(b) Jika $f$, $g:X\to\Bbb R$ adalah fungsi sederhana, maka $f+g$ juga
merupakan fungsi sederhana.

(c) Jika $f:X\to \Bbb R$ adalah fungsi sederhana dan $c\in\Bbb R$, maka
$cf:X\to\Bbb R$ merupakan fungsi sederhana.

(d) Fungsi nol konstan merupakan fungsi sederhana.

",6895e92d6207cdd5d5c92bf9133428b4db9fbcd1979adb309196b45c73c28796,7e8e17ca9cd280cab51fad345babdd60abfddf50feb4438a5e78748419f6f83c,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122C,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122C,122C,122C,Disjoint representation of a simple function,Representasi disjoint fungsi sederhana,"\vleader{42pt}{122C}{Lemma} Let $(X,\Sigma,\mu)$ be a measure space.

(a) If $E_0,\ldots,E_n$ are measurable sets of finite measure,
there are disjoint measurable sets $G_0,\ldots,G_m$ of finite measure
such that each $E_i$ is expressible as a union of some of the $G_j$.

(b) If $f:X\to\Bbb R$ is a simple function, it is expressible in the
form $\sum_{j=0}^mb_j\chi G_j$ where $G_0,\ldots,G_m$ are disjoint
measurable sets of finite measure.

(c) If $E_0,\ldots,E_n$ are measurable sets of finite measure, and
$a_0,\ldots,a_n\in\Bbb R$ are such that $\sum_{i=0}^na_i\chi E_i(x)\ge
0$ for every $x\in X$, then $\sum_{i=0}^na_i\mu E_i\ge 0$.

","\vleader{42pt}{122C}{Lema} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.

(a) Jika $E_0,\ldots,E_n$ merupakan himpunan terukur yang mempunyai ukuran berhingga,
terdapat himpunan terukur saling lepas $G_0,\ldots,G_m$ yang mempunyai ukuran berhingga
sedemikian sehingga setiap $E_i$ dapat dinyatakan sebagai gabungan dari beberapa $G_j$.

(b) Jika $f:X\to\Bbb R$ adalah fungsi sederhana, fungsi tersebut dapat dinyatakan dalam
bentuk $\sum_{j=0}^mb_j\chi G_j$, dengan $G_0,\ldots,G_m$ merupakan himpunan
terukur saling lepas yang mempunyai ukuran berhingga.

(c) Jika $E_0,\ldots,E_n$ merupakan himpunan terukur yang mempunyai ukuran berhingga, dan
$a_0,\ldots,a_n\in\Bbb R$ sedemikian sehingga $\sum_{i=0}^na_i\chi E_i(x)\ge
0$ untuk setiap $x\in X$, maka $\sum_{i=0}^na_i\mu E_i\ge 0$.

",70468aa7c92a4a769242dfdb5e9294c4cd94e2a5056a06795361432c95322d8b,cbc830028fd080af2754e8ffce6304a1ad82aba71ab47513edc5bb41da4359c2,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122D,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122D,122D,122D,Representation-independent simple integral,Integral sederhana yang bebas representasi,"\leader{122D}{Corollary} Let $(X,\Sigma,\mu)$ be a measure space.   If

\Centerline{$\sum_{i=0}^m a_i\chi E_i
=\sum_{j=0}^n b_j\chi F_j$,}

\noindent where all the $E_i$ and $F_j$ are
measurable sets of finite measure and the $ a_i$, $ b_j$ are real
numbers, then

\Centerline{$\sum_{i=0}^m a_i\mu E_i=\sum_{j=0}^n b_j\mu F_j$.}

","\leader{122D}{Korolari} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur. Jika

\Centerline{$\sum_{i=0}^m a_i\chi E_i
=\sum_{j=0}^n b_j\chi F_j$,}

\noindent dengan semua $E_i$ dan $F_j$ merupakan
himpunan terukur yang mempunyai ukuran berhingga dan semua $ a_i$, $ b_j$ merupakan bilangan
real, maka

\Centerline{$\sum_{i=0}^m a_i\mu E_i=\sum_{j=0}^n b_j\mu F_j$.}

",3a829016caf6585ca2d7f30d7dd462dfffb76a58ed22900c7702b0fb3bd74aa9,c28cee955045be2ced118dd05187508ab0f9a254ca4da034c69d2e894a3c385a,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122F,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122F,122F,122F,Elementary properties of the simple integral,Sifat elementer integral sederhana,"\leader{122F}{Proposition} Let $(X,\Sigma,\mu)$ be a measure space.

(a) If $f$, $g:X\to\Bbb R$ are simple functions, then $f+g$ is a
simple
function and $\int f+g=\int f+\int g$.

(b) If $f$ is a simple function and $c\in\Bbb R$, then $cf$ is a
simple
function and $\int cf=c\int f$.

(c)  If $f$, $g$ are simple functions and $f(x)\le g(x)$ for every
$x\in
X$, then $\int f\le \int g$.

","\leader{122F}{Proposisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.

(a) Jika $f$, $g:X\to\Bbb R$ adalah fungsi sederhana, maka $f+g$ merupakan
fungsi
sederhana dan $\int f+g=\int f+\int g$.

(b) Jika $f$ merupakan fungsi sederhana dan $c\in\Bbb R$, maka $cf$ merupakan
fungsi
sederhana dan $\int cf=c\int f$.

(c) Jika $f$, $g$ merupakan fungsi sederhana dan $f(x)\le g(x)$ untuk setiap
$x\in
X$, maka $\int f\le \int g$.

",2d58c4c3e5a2db5fe3db4106341aba315f84ba13fb8ab8893cbe3260117ee484,cf15086f7cd74886193b87bcfca4d87cfdff7bc90dbb940c30a81d51b3de367a,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122G,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122G,122G,122G,Decreasing simple functions with vanishing pointwise limit,Fungsi sederhana menurun dengan limit titik-demi-titik nol,"\vleader{72pt}{122G}{Lemma} Let $(X,\Sigma,\mu)$ be a measure space.
If $\langle f_n\rangle_{n\in\Bbb N}$ is a sequence of simple functions
which is non-decreasing (in the sense that $f_n(x)\le f_{n+1}(x)$ for
every $n\in\Bbb N$, $x\in X$) and $f$ is a simple function such that
$f(x)\le\sup_{n\in\Bbb N}f_n(x)$ for almost every $x\in X$ (allowing
$\sup_{n\in\Bbb N}f_n(x)=\infty$ in this formula), then
$\int f\le\sup_{n\in\Bbb N}\int f_n$.

","\vleader{72pt}{122G}{Lema} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Jika $\langle f_n\rangle_{n\in\Bbb N}$ merupakan barisan fungsi sederhana
yang tak-menurun (dalam arti bahwa $f_n(x)\le f_{n+1}(x)$ untuk
setiap $n\in\Bbb N$, $x\in X$) dan $f$ merupakan fungsi sederhana sedemikian sehingga
$f(x)\le\sup_{n\in\Bbb N}f_n(x)$ untuk hampir setiap $x\in X$ (dengan memperbolehkan
$\sup_{n\in\Bbb N}f_n(x)=\infty$ dalam rumus ini), maka
$\int f\le\sup_{n\in\Bbb N}\int f_n$.

",70b27bd33145245804c6c1417e3b59e35880d717d3cc02e0ce7dd41b5e0c2449,bb93a363cb86502f4934e4773e2e0b9589b805daa01ad190329787374b2824c2,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122I,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122I,122I,122I,Integral bound for monotone simple approximants,Batas integral bagi aproksiman sederhana monoton,"\leader{122I}{Lemma} If $f$ and $\langle f_n\rangle_{n\in\Bbb N}$ are
as
in 122H, then

\Centerline{$\sup_{n\in\Bbb N}\int f_n
=\sup\{\int g:g$ is a simple function and $g\leae f\}$.}

","\leader{122I}{Lema} Jika $f$ dan $\langle f_n\rangle_{n\in\Bbb N}$
seperti dalam 122H, maka

\Centerline{$\sup_{n\in\Bbb N}\int f_n
=\sup\{\int g:g$ adalah fungsi sederhana dan $g\leae f\}$.}

",f64fc9337486a13808b67c8587492159f66ec2ea4587b12af853a0e83d6ef7ba,8126740391500e6942383a5d6220fdcbbb9f4d503229e7d77b8abe5651bb2f65,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122J,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122J,122J,122J,Equivalent constructions of the nonnegative integral,Konstruksi ekuivalen integral tak-negatif,"\leader{122J}{Lemma} Let $(X,\Sigma,\mu)$ be a measure
space\cmmnt{, and define $U$ as in 122H}.

(a) If $f$ is a function defined on a conegligible subset of $X$ and
taking values in $\coint{0,\infty}$, then $f\in U$ iff
there is a conegligible measurable set $E\subseteq\dom f$ such that

\inset{($\alpha$)
$f\restr E$ is measurable,

($\beta$) for every $\epsilon>0$,
$\mu\{x:x\in E,\,f(x)\ge\epsilon\}<\infty$,

($\gamma$)
$\sup\{\int g:g$ is a simple function, $g\leae f\}<\infty$.}

(b) Suppose that $f\in U$ and that $h$ is a function defined on a
conegligible subset of $X$ and taking values in $\coint{0,\infty}$.
Suppose that $h\leae f$ and there is a conegligible
$F\subseteq X$ such that $h\restr F$ is measurable.   Then $h\in U$.

","\leader{122J}{Lema} Misalkan $(X,\Sigma,\mu)$ suatu ruang
ukur\cmmnt{, dan definisikan $U$ seperti dalam 122H}.

(a) Jika $f$ adalah fungsi yang didefinisikan pada subhimpunan
koterabaikan dari $X$ dan mengambil nilai dalam $\coint{0,\infty}$,
maka $f\in U$ jika dan hanya jika terdapat himpunan terukur
koterabaikan $E\subseteq\dom f$ sedemikian sehingga

\inset{($\alpha$)
$f\restr E$ terukur,

($\beta$) untuk setiap $\epsilon>0$,
$\mu\{x:x\in E,\,f(x)\ge\epsilon\}<\infty$,

($\gamma$)
$\sup\{\int g:g$ adalah fungsi sederhana, $g\leae f\}<\infty$.}

(b) Andaikan bahwa $f\in U$ dan bahwa $h$ adalah fungsi yang
didefinisikan pada subhimpunan koterabaikan dari $X$ dan mengambil
nilai dalam $\coint{0,\infty}$. Andaikan bahwa $h\leae f$ dan terdapat
himpunan koterabaikan $F\subseteq X$ sedemikian sehingga $h\restr F$
terukur. Maka $h\in U$.

",b14624f5cbc131d567642dc18b8a60f5ba52fcda1ce5f594d9d6bb04f14c2f1b,1277ea584e1fe473134ba57e2150e9aa1ea81ddde1f73d156ef1c77ddfb468b0,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122L,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122L,122L,122L,Algebraic and order properties of U,Sifat aljabar dan urutan U,"\leader{122L}{Lemma} Let $(X,\Sigma,\mu)$ be a measure space.

(a) If $f$, $g\in U$ then $f+g\in U$ and $\int f+g=\int f+\int g$.

(b) If $f\in U$ and $c\ge 0$ then $cf\in U$ and $\int cf=c\int f$.

(c) If $f$, $g\in U$ and $f\leae g$ then $\int f\le \int g$.

(d) If $f\in U$ and $g$ is a function with domain a conegligible
subset
of $X$, taking values in $\coint{0,\infty}$, and equal to $f$ almost
everywhere, then $g\in U$ and $\int g=\int f$.

(e) If $f_1$, $g_1$, $f_2$, $g_2\in U$ and $f_1-f_2=g_1-g_2$, then
$\int
f_1-\int f_2=\int g_1-\int g_2$.

","\leader{122L}{Lema} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.

(a) Jika $f$, $g\in U$, maka $f+g\in U$ dan
$\int f+g=\int f+\int g$.

(b) Jika $f\in U$ dan $c\ge 0$, maka $cf\in U$ dan
$\int cf=c\int f$.

(c) Jika $f$, $g\in U$ dan $f\leae g$, maka $\int f\le \int g$.

(d) Jika $f\in U$ dan $g$ adalah fungsi dengan domain berupa
subhimpunan koterabaikan dari $X$, mengambil nilai dalam
$\coint{0,\infty}$, dan sama dengan $f$ hampir di mana-mana, maka
$g\in U$ dan $\int g=\int f$.

(e) Jika $f_1$, $g_1$, $f_2$, $g_2\in U$ dan
$f_1-f_2=g_1-g_2$, maka
$\int f_1-\int f_2=\int g_1-\int g_2$.

",7ca5ebe6957d57e1e1635dfdb7ddeaad2071d8cc179f8381e40541497790cb8f,ff8881d0786c2a03f1a30cb66792cd4706d4285833ac819889eb6932b187043a,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122O,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122O,122O,122O,Linearity and order of the integral,Linearitas dan urutan integral,"\leader{122O}{Theorem} Let $(X,\Sigma,\mu)$ be a measure space.

(a) If $f$ and $g$ are integrable over $X$
then $f+g$ is integrable and $\int f+g=\int f+\int g$.

(b) If $f$ is integrable over $X$ and $c\in\Bbb R$ then $cf$
is integrable and $\int cf=c\int f$.

(c) If $f$ is integrable over $X$ and $f\ge 0$ a.e.\ then
$\int f\ge 0$.

(d) If $f$ and $g$ are integrable over $X$ and $f\leae g$
then $\int f\le\int g$.

","\leader{122O}{Teorema} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.

(a) Jika $f$ dan $g$ terintegralkan pada $X$,
maka $f+g$ terintegralkan dan $\int f+g=\int f+\int g$.

(b) Jika $f$ terintegralkan pada $X$ dan $c\in\Bbb R$, maka $cf$
terintegralkan dan $\int cf=c\int f$.

(c) Jika $f$ terintegralkan pada $X$ dan $f\ge 0$ a.e.\ maka
$\int f\ge 0$.

(d) Jika $f$ dan $g$ terintegralkan pada $X$ dan $f\leae g$,
maka $\int f\le\int g$.

",19d1cd90b7ed5c071b1325b387df25d974db3599049b8e4b8d7a60b81e7e0dcd,d28ac3c59d9c137106d9ab5bc9be1f020239ee46b93eabe98d1e65ed979e41fc,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S122-RESULT-122P,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122P,122P,122P,Absolute-integrability criterion,Kriteria keterintegralan absolut,"\leader{122P}{Theorem} Let $(X,\Sigma,\mu)$ be a measure space and
$f$ a
real-valued function defined on a conegligible subset of $X$.   Then
the following are equiveridical:

\quad(i)  $f$ is integrable;

\quad(ii) $|f|\in U$\cmmnt{, as defined in 122H,} and there is a
conegligible set $E\subseteq X$ such that $f\restr E$ is measurable;

\quad(iii) there are a $g\in U$ and a
conegligible set $E\subseteq X$  such that $|f|\leae g$
and $f\restr E$ is measurable.

","\leader{122P}{Teorema} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur dan
$f$ suatu
fungsi bernilai real yang didefinisikan pada subhimpunan koterabaikan dari $X$. Maka
syarat-syarat berikut ekuivalen:

\quad(i) $f$ terintegralkan;

\quad(ii) $|f|\in U$\cmmnt{, sebagaimana didefinisikan dalam 122H,} dan terdapat
himpunan koterabaikan $E\subseteq X$ sedemikian sehingga $f\restr E$ terukur;

\quad(iii) terdapat $g\in U$ dan
himpunan koterabaikan $E\subseteq X$ sedemikian sehingga $|f|\leae g$
dan $f\restr E$ terukur.

",6212040f3639782295407713f905c45b4cec52462e098b05d4b205fca4d93c4d,328ffcc5e75c8eb021475e43b41c9d8f9b404b210424de47648343b90b23fe4e,"{""basis"":""complete formal result statement bounded immediately before its proof macro"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
