schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122-INTRO,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,,1,122,122-intro,122-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 122 and definition 122A.,exposition,Section introduction,Pengantar bagian,10,13,10,13,160,307,149,307,051c96b74d211f67a855c5e86ee4b2717a7a5c03f8f6fff2440abb0d1d44a97a,30cebc54b9425cfbcb82348bfa605d7479a16c767b37e732ecaae603cf7bf449,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122A,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,,2,122A,122A,122A,explicit,false,,definition,Characteristic and simple functions,Fungsi karakteristik dan fungsi sederhana,14,15,14,15,307,377,307,377,ed460fb29cdb3374843b9e9d8cfb8004c8252b4c70c9739b843f1d34ddb532c0,ceda5049cfdf0fd16ef534cef219a2faf142650dad28c1545e5140c749b222eb,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122AA,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,,3,122Aa,122Aa,122Aa,explicit,false,,definition,Characteristic functions,Fungsi karakteristik,16,29,16,29,377,951,377,1027,e97f51059ccfdf43f6fcfd5f4c58cb18a67271ebb77fcebae73b4a4ce1e5a703,0268af7f02a15abdfbe1b0d0e45d7f6800894446618a419dc29d6ca15c5d1931,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122AB,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,,4,122Ab,122Ab,122Ab,explicit,false,,definition,Simple functions,Fungsi sederhana,30,38,30,38,951,1317,1027,1480,6ba40aa656fe86270d39413ab1335fc10ac02eb551ebea055722d469229a31ec,67d311e777354e5f5a82727d45ca7f32c70d1a3e9c65689e6097d4c9200762ba,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122B,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,,5,122B,122B,122B,explicit,false,,result,Simple-function closure lemma,Lema ketertutupan fungsi sederhana,39,55,39,56,1317,1857,1480,2085,93eb67bcc6791815d61ba9d9a80705df614193c252fb6eae586563116940805f,7ca4c8ef6240396aaeaa6f6cae80d774e5dd79a04013bf21f50a8c245b753242,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122BA,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122B,6,122B,122Ba,122Ba,implicit-subanchor,false,Printed 122B statement part (a) restored as 122Ba.,result,122B part (a),Bagian 122B(a),41,42,41,42,1380,1429,1545,1601,25b90844880fc66e9623805daf0921b3c3f60884861a0c8c7cb3ed7f7cc86e84,033ab27235f09351430bfa90cb480e9d55b24405805a06f5de875751dd6da589,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122BB,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122B,7,122B,122Bb,122Bb,implicit-subanchor,false,Printed 122B statement part (b) restored as 122Bb.,result,122B part (b),Bagian 122B(b),43,44,43,45,1429,1492,1601,1700,758c3c412781b98c34f67780885353db2d5289f1238b6ea4d13ae41368111265,4ca0d33072c551e6fea4240cfceb37099ff3ca9278080b35d40cb89c03c25eb6,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122BC,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122B,8,122B,122Bc,122Bc,implicit-subanchor,false,Printed 122B statement part (c) restored as 122Bc.,result,122B part (c),Bagian 122B(c),45,47,46,48,1492,1598,1700,1817,3fa3e656eccda3334c2ae82da7f5ce61841a14993265caa6a1a0544da7196307,4c9e1ed676d7b208c12564248bf4b074ccfa7a5210a5619ec14905f4ea878b38,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122BD,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S122-SEG-122B,9,122B,122Bd,122Bd,implicit-subanchor,false,Printed 122B statement part (d) restored as 122Bd.,result,122B part (d),Bagian 122B(d),48,49,49,50,1598,1641,1817,1869,d40c5e559f937090e4c01633e081ea671f1d0dee350049c2d0271320730b5f73,8f5cea5a8b1db9755651750afa383aea7f2ab71bee1291882e553a9f423a6c8a,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S122-SEG-122C,O007-FREMLIN-V1-S122,O007-RIGHTS-FREMLIN-DSL,,10,122C,122C,122C,explicit,false,,result,Canonical disjoint representation lemma,Lema representasi disjoint kanonik,56,129,57,130,1857,4534,2085,5187,a6f96ec9010fdc233fe2b63ebf608f8d6e72f0fa756fe38944979b2e3d1decb8,8f18135d50b12a398bc0260f0d74ad74f0efa05e9fd029db8482419fc1b062f9,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE""]}"
