schema_version,record_type,id,unit_id,source_term,target_term,term_kind,definition_ids,provenance
1.1.0,term,O007-FREMLIN-V1-S121-TERM-SIGMA-ALGEBRA,O007-FREMLIN-V1-S121,sigma-algebra,aljabar-sigma,frozen-prior,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-MEASURABLE-FUNCTION,O007-FREMLIN-V1-S121,measurable function,fungsi terukur,preferred,"[""O007-FREMLIN-V1-S121-DEF-MEASURABLE-FUNCTION""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-SIGMA-MEASURABLE,O007-FREMLIN-V1-S121,Sigma-measurable,terukur terhadap Sigma,preferred,"[""O007-FREMLIN-V1-S121-DEF-SIGMA-MEASURABLE""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-SUBSPACE-SIGMA-ALGEBRA,O007-FREMLIN-V1-S121,subspace sigma-algebra,aljabar-sigma subruang,preferred,"[""O007-FREMLIN-V1-S121-DEF-SUBSPACE-SIGMA-ALGEBRA""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-RELATIVELY-MEASURABLE,O007-FREMLIN-V1-S121,relatively measurable,terukur relatif,preferred,"[""O007-FREMLIN-V1-S121-DEF-RELATIVELY-MEASURABLE""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-TRACE,O007-FREMLIN-V1-S121,trace,jejak,source-variant,"[""O007-FREMLIN-V1-S121-DEF-TRACE""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-BOREL-MEASURABLE,O007-FREMLIN-V1-S121,Borel measurable,terukur Borel,preferred,"[""O007-FREMLIN-V1-S121-DEF-BOREL-MEASURABLE""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-LEBESGUE-MEASURABLE,O007-FREMLIN-V1-S121,Lebesgue measurable,terukur Lebesgue,frozen-prior,"[""O007-FREMLIN-V1-S121-DEF-LEBESGUE-MEASURABLE""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-NON-DECREASING,O007-FREMLIN-V1-S121,non-decreasing,tak-menurun,frozen-prior-pattern,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-NON-INCREASING,O007-FREMLIN-V1-S121,non-increasing,tak-menaik,frozen-prior-pattern,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-INVERSE-IMAGE,O007-FREMLIN-V1-S121,inverse image,prapeta,preferred,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-RESTRICTION,O007-FREMLIN-V1-S121,restriction,pembatasan,preferred,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-EXTENSION,O007-FREMLIN-V1-S121,extension,perluasan,preferred,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-COMPOSITION,O007-FREMLIN-V1-S121,composition,komposisi,preferred,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-POINTWISE-PRODUCT,O007-FREMLIN-V1-S121,pointwise product,hasil kali titik-demi-titik,technical,[],"{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-SUPREMUM,O007-FREMLIN-V1-S121,supremum,supremum,preferred,"[""O007-FREMLIN-V1-S121-DEF-POINTWISE-SUPREMUM""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-INFIMUM,O007-FREMLIN-V1-S121,infimum,infimum,preferred,"[""O007-FREMLIN-V1-S121-DEF-POINTWISE-INFIMUM""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S121-TERM-LIMIT-SUPERIOR,O007-FREMLIN-V1-S121,limit superior,limit superior,preferred,"[""O007-FREMLIN-V1-S121-DEF-LIMIT-SUPERIOR""]","{""basis"":""reader-facing term or machine-indexed concept bound by the S121 source review and final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE"",""O007-RESOURCE-MT121-SOURCE-REVIEW""]}"
