schema_version,record_type,id,unit_id,segment_id,order,source_anchor,semantic_anchor,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,importance,importance_basis,rights_id,provenance
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111XA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111XA,1,111X,111Xa,"\leader{111X}{Basic exercises $\pmb{>}$(a)} Practise the algebra of
infinite unions and
intersections until you can confidently interpret such formulae as

\Centerline{$E\cap(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcup_{n\in\Bbb N}(E_n\setminus F)$,
  \qquad$E\cup(\bigcap_{n\in\Bbb N}F_n)$,}

\Centerline{$\bigcup_{n\in\Bbb N}(E\setminus F_n)$,
  \qquad$E\setminus(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcap_{n\in\Bbb N}(E_n\setminus F)$,}

\Centerline{$E\setminus(\bigcap_{n\in\Bbb N}F_n)$,
  \qquad$\bigcap_{n\in\Bbb N}(E\cup F_n)$,
  \qquad$(\bigcup_{n\in\Bbb N}E_n)\setminus F$,}

\Centerline{$\bigcup_{n\in\Bbb N}(E\cap F_n)$,
  \qquad$(\bigcap_{n\in\Bbb N}E_n)\setminus F$,
  \qquad$\bigcap_{n\in\Bbb N}(E\setminus F_n)$,}

\Centerline{$(\bigcup_{n\in\Bbb N}E_n)\cap(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcap_{m,n\in\Bbb N}(E_m\setminus F_n)$,
  \qquad$(\bigcap_{n\in\Bbb N}E_n)\cup(\bigcap_{n\in\Bbb N}F_n)$,}

\Centerline{$\bigcap_{m,n\in\Bbb N}(E_m\cup F_n)$,
  \qquad$(\bigcap_{n\in\Bbb N}E_n)\setminus(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcup_{m,n\in\Bbb N}(E_m\cap F_n)$,}

\noindent and, in particular, can identify the nine pairs into which
these formulae naturally fall.

","\leader{111X}{Latihan dasar $\pmb{>}$(a)} Berlatihlah menggunakan
aljabar gabungan dan irisan tak hingga sampai Anda dapat dengan yakin
menafsirkan rumus-rumus seperti

\Centerline{$E\cap(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcup_{n\in\Bbb N}(E_n\setminus F)$,
  \qquad$E\cup(\bigcap_{n\in\Bbb N}F_n)$,}

\Centerline{$\bigcup_{n\in\Bbb N}(E\setminus F_n)$,
  \qquad$E\setminus(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcap_{n\in\Bbb N}(E_n\setminus F)$,}

\Centerline{$E\setminus(\bigcap_{n\in\Bbb N}F_n)$,
  \qquad$\bigcap_{n\in\Bbb N}(E\cup F_n)$,
  \qquad$(\bigcup_{n\in\Bbb N}E_n)\setminus F$,}

\Centerline{$\bigcup_{n\in\Bbb N}(E\cap F_n)$,
  \qquad$(\bigcap_{n\in\Bbb N}E_n)\setminus F$,
  \qquad$\bigcap_{n\in\Bbb N}(E\setminus F_n)$,}

\Centerline{$(\bigcup_{n\in\Bbb N}E_n)\cap(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcap_{m,n\in\Bbb N}(E_m\setminus F_n)$,
  \qquad$(\bigcap_{n\in\Bbb N}E_n)\cup(\bigcap_{n\in\Bbb N}F_n)$,}

\Centerline{$\bigcap_{m,n\in\Bbb N}(E_m\cup F_n)$,
  \qquad$(\bigcap_{n\in\Bbb N}E_n)\setminus(\bigcup_{n\in\Bbb N}F_n)$,
  \qquad$\bigcup_{m,n\in\Bbb N}(E_m\cap F_n)$,}

\noindent dan, khususnya, dapat mengenali sembilan pasangan alami yang
dibentuk oleh rumus-rumus tersebut.

",602a6dfb046f3577625a27cc18e21a36bd83271fa24e61c7bf79695bac0dee51,7a835faeb07c34d2b3352abea96f0db894d561548010aa8c66175a09df7a44e9,true,source leader carries the explicit > importance mark,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111XB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111XB,2,111Xb,111Xb,"\sqheader 111Xb In $\Bbb R$, show that all `open intervals'
$\ooint{a,b}$, $\ooint{-\infty,b}$, $\ooint{a,\infty}$ are open sets,
and that all intervals (bounded or unbounded, open, closed or half-open)
are Borel sets.

","\sqheader 111Xb Dalam $\Bbb R$, tunjukkan bahwa semua `interval
terbuka' $\ooint{a,b}$, $\ooint{-\infty,b}$, $\ooint{a,\infty}$ adalah
himpunan terbuka, dan bahwa semua interval (terbatas ataupun tak
terbatas, terbuka, tertutup, ataupun setengah terbuka) merupakan
himpunan Borel.

",f983e4c8dfa5715a6f40789ae81f907f07524da8304e1860b718379ede106917,86ece55296ff825bfe143f7b8be91b148378b5a3a2bbb113a28e084c8282ef2e,true,source uses the sqheader importance form,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111XC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111XC,3,111Xc,111Xc,"\sqheader 111Xc Let $X$ and $Y$ be sets and $\Sigma$ a
$\sigma$-algebra of subsets of $X$.   Let $\phi:X\to Y$ be a function.
Show that $\{F:F\subseteq Y,\,\phi^{-1}[F]\in\Sigma\}$ is a
$\sigma$-algebra of subsets of $Y$.   (See 1A1B for the notation here.)

","\sqheader 111Xc Misalkan $X$ dan $Y$ adalah himpunan dan $\Sigma$
suatu aljabar-$\sigma$ pada $X$. Misalkan
$\phi:X\to Y$ suatu fungsi. Tunjukkan bahwa
$\{F:F\subseteq Y,\,\phi^{-1}[F]\in\Sigma\}$ adalah aljabar-$\sigma$
pada $Y$. (Lihat 1A1B untuk notasi yang
digunakan di sini.)

",b2b879597460e26440109d6399513bf8a12fa295c81b313923f4fc4b404c627f,803a02490348ff9905637b68515a3c9986fc38e39c34bd9f3d36499b6a0dfdc4,true,source uses the sqheader importance form,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111XD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111XD,4,111Xd,111Xd,"\sqheader 111Xd Let $X$ and $Y$ be sets and $\Tau$ a
$\sigma$-algebra of subsets of $Y$.   Let $\phi:X\to Y$ be a function.
Show that $\{\phi^{-1}[F]:F\in\Tau\}$ is a
$\sigma$-algebra of subsets of $X$.

","\sqheader 111Xd Misalkan $X$ dan $Y$ adalah himpunan dan $\Tau$ suatu
aljabar-$\sigma$ pada $Y$. Misalkan
$\phi:X\to Y$ suatu fungsi. Tunjukkan bahwa
$\{\phi^{-1}[F]:F\in\Tau\}$ adalah aljabar-$\sigma$ pada $X$.

",a255a15dcd5273ccecc80e645621535fcf40afb2e1be1fd09328ec532a1f59e0,81d5d65681da28dccf90948e22569b5375e21590a3092643a8d060ab761772bc,true,source uses the sqheader importance form,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111XE,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111XE,5,111Xe,111Xe,"\spheader 111Xe Let $X$ be a set, $\Cal A$ a family of subsets of $X$,
and $\Sigma$ the $\sigma$-algebra of subsets of $X$ generated by $\Cal
A$.   Suppose that $Y$ is another set and $\phi:Y\to X$ a function.   Show
that $\{\phi^{-1}[E]:E\in\Sigma\}$ is the $\sigma$-algebra of subsets of
$Y$ generated by $\{\phi^{-1}[A]:A\in\Cal A\}$.

","\spheader 111Xe Misalkan $X$ suatu himpunan, $\Cal A$ suatu keluarga
subhimpunan $X$, dan $\Sigma$ aljabar-$\sigma$ pada $X$ yang
dibangkitkan oleh $\Cal A$. Misalkan
$Y$ suatu himpunan lain dan $\phi:Y\to X$ suatu fungsi. Tunjukkan bahwa
$\{\phi^{-1}[E]:E\in\Sigma\}$ adalah aljabar-$\sigma$ pada $Y$ yang
dibangkitkan oleh
$\{\phi^{-1}[A]:A\in\Cal A\}$.

",684ac26c9012ca9d98fc430c22f09209af5ecb46002a99a9e21e94913014ed08,22f265470716e5ca49f4063cce431802edcaf30a758aa3e0840ae3f41d5cfb7a,false,no source importance mark,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111XF,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111XF,6,111Xf,111Xf,"\spheader 111Xf Let $X$ be a set, $\Cal A$ a family of subsets of $X$,
and $\Sigma$ the $\sigma$-algebra of subsets of $X$ generated by $\Cal
A$.   Suppose that $Y\subseteq X$.   Show that $\{E\cap Y:E\in\Sigma\}$
is the $\sigma$-algebra of subsets of $Y$ generated by 
$\{A\cap Y:A\in\Cal A\}$.

","\spheader 111Xf Misalkan $X$ suatu himpunan, $\Cal A$ suatu keluarga
subhimpunan $X$, dan $\Sigma$ aljabar-$\sigma$ pada $X$ yang
dibangkitkan oleh $\Cal A$. Misalkan
$Y\subseteq X$. Tunjukkan bahwa $\{E\cap Y:E\in\Sigma\}$ adalah
aljabar-$\sigma$ pada $Y$ yang dibangkitkan oleh
$\{A\cap Y:A\in\Cal A\}$.

",44fe0d834b85e0cedf82c88dce825f76663dd8f194a9b3bce94b1c8b0fe8a432,bda7d3d499335bceedb0954406faad5a066c8a4e815f75b2805067e8c7901e89,false,no source importance mark,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111YA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111YA,7,111Y,111Ya,"\leader{111Y}{Further exercises (a)} In $\BbbR^r$, where $r\ge 1$, show
that $G+a=\{x+a:x\in G\}$ is open whenever $G\subseteq\BbbR^r$ is open
and $a\in\BbbR^r$.   Hence show that $E+a$ is a Borel set whenever
$E\subseteq\BbbR^r$ is a Borel set and $a\in\BbbR^r$.    

","\leader{111Y}{Latihan lanjutan (a)} Dalam $\BbbR^r$, dengan $r\ge 1$,
tunjukkan bahwa $G+a=\{x+a:x\in G\}$ terbuka setiap kali
$G\subseteq\BbbR^r$ terbuka dan $a\in\BbbR^r$. Selanjutnya, tunjukkan
bahwa $E+a$ adalah himpunan Borel setiap kali $E\subseteq\BbbR^r$
adalah himpunan Borel dan $a\in\BbbR^r$. 

",39c5b74b0f44cb9ce6f15f3ad2a0c87df8b05655d8feb135506adfe3f21d4cd5,9d162aa15462924ea499148dd2a150636c26d0c0949973eb328abfdb1daa6ad8,false,no source importance mark,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111YB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111YB,8,111Yb,111Yb,"\header{111Yb}{\bf (b)} Let $X$ be a set, $\Sigma$ a $\sigma$-algebra of
subsets of $X$ and $A$ any subset of $X$.   Show that $\{(E\cap
A)\cup(F\setminus A):E,\,F\in\Sigma\}$ is a $\sigma$-algebra of subsets
of $X$, the $\sigma$-algebra generated by $\Sigma\cup\{A\}$.

","\header{111Yb}{\bf (b)} Misalkan $X$ suatu himpunan, $\Sigma$ suatu
aljabar-$\sigma$ pada $X$, dan $A$ sembarang
subhimpunan $X$. Tunjukkan bahwa $\{(E\cap
A)\cup(F\setminus A):E,\,F\in\Sigma\}$ adalah aljabar-$\sigma$ pada
$X$, yaitu aljabar-$\sigma$ yang dibangkitkan
oleh $\Sigma\cup\{A\}$.

",6f31407754fb399904e10da010f8ee80d0555c8d7f24b580d6d660232a175277,a02bed88223dedae92d4ba6a81993ab6bad5d254bc97e4f62b8305c3a40510de,false,no source importance mark,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111YC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111YC,9,111Yc,111Yc,"\header{111Yc}{\bf (c)} Let $G\subseteq\BbbR^2$ be an open set.   Show
that all the horizontal and vertical sections

\Centerline{$\{\xi:(\xi,\eta)\in G\}$,
\quad$\{\xi:(\eta,\xi)\in G\}$}

\noindent of $G$ are open subsets of $\Bbb R$.

","\header{111Yc}{\bf (c)} Misalkan $G\subseteq\BbbR^2$ suatu himpunan
terbuka. Tunjukkan bahwa semua penampang horizontal dan vertikal

\Centerline{$\{\xi:(\xi,\eta)\in G\}$,
\quad$\{\xi:(\eta,\xi)\in G\}$}

\noindent dari $G$ merupakan subhimpunan terbuka dari $\Bbb R$.

",d8300979beb0f18ec96e9746d6b7e92eb47a147b391cb3fd7a18cee33565a119,5377221d39139268bac582c459c673266c750bed3e4658d8a7f73fd98733995a,false,no source importance mark,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,exercise,O007-FREMLIN-V1-S111-EXERCISE-111YD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111YD,10,111Yd,111Yd,"\header{111Yd}{\bf (d)} Let $E\subseteq\BbbR^2$ be a Borel set.   Show
that all the horizontal and vertical sections

\Centerline{$\{\xi:(\xi,\eta)\in E\}$,
\quad$\{\xi:(\eta,\xi)\in E\}$}

\noindent of $E$ are Borel subsets of $\Bbb R$.   

","\header{111Yd}{\bf (d)} Misalkan $E\subseteq\BbbR^2$ suatu himpunan
Borel. Tunjukkan bahwa semua penampang horizontal dan vertikal

\Centerline{$\{\xi:(\xi,\eta)\in E\}$,
\quad$\{\xi:(\eta,\xi)\in E\}$}

\noindent dari $E$ merupakan subhimpunan Borel dari $\Bbb R$.


",477e0e507042e06b4722304756ce48e5a3c83763dcf14b65155c70a046f14e7a,02810ca03b1d244577d848aac933f59e23ace098c74c37826dce8fefc5ea884e,false,no source importance mark,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""complete exercise prompt with any Hint macro separated into a first-class hint record"",""kind"":""source-derived-exercise-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
