schema_version,record_type,id,unit_id,segment_id,source_anchor,semantic_anchor,association_locator,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,rights_id,provenance
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111DA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DA,111Da,111Da,result 111Da,107,113,"\Prf\ For
if $E$, $F\in\Sigma$, set $E_0=E$, $E_n=F$ for $n\ge 1$;  then
$\langle E_n\rangle_{n\in\Bbb N}$ is a sequence in $\Sigma$ and $E\cup
F=\bigcup_{n\in\Bbb N}E_n\in\Sigma$.\ \Qed","\Prf\ Sebab, jika $E$, $F\in\Sigma$, tetapkan $E_0=E$,
$E_n=F$ untuk $n\ge 1$; maka $\langle E_n\rangle_{n\in\Bbb N}$ adalah
barisan di dalam $\Sigma$ dan $E\cup
F=\bigcup_{n\in\Bbb N}E_n\in\Sigma$.\ \Qed",c5d24a813a4f7dcfe5e8003a04868f4f96ec79cc44501f66e75e39ac3bec1412,228f31c81811e25f9736a914bf7a1974c87fe00d5f4741376625c9568466fa7c,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111DB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DB,111Db,111Db,result 111Db,114,121,"\Prf\ By
(ii) of the definition in 111A, $X\setminus E$ and $X\setminus
F\in\Sigma$;  by (a) of this paragraph, $(X\setminus E)\cup(X\setminus
F)\in\Sigma$;  by 111A(ii) again, $X\setminus((X\setminus
E)\cup(X\setminus F))\in\Sigma$;  but this is just $E\cap F$.\ \Qed","\Prf\ Menurut (ii) dalam definisi 111A, $X\setminus E$ dan
$X\setminus F\in\Sigma$; menurut (a) pada paragraf ini,
$(X\setminus E)\cup(X\setminus F)\in\Sigma$; kembali menurut 111A(ii),
$X\setminus((X\setminus E)\cup(X\setminus F))\in\Sigma$; tetapi
himpunan terakhir ini tidak lain adalah $E\cap F$.\ \Qed",3438b9b9dbc4b37f85e4e74553061d7eeb135236bb6f1b20ce912d56cc0494b1,718ea6da92b8096afe5751411f1ec540a6bede35818dc8289d713df28e0a70ed,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111DC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DC,111Dc,111Dc,result 111Dc,123,130,\Prf\ $E\setminus F=E\cap(X\setminus F)$.\ \Qed,\Prf\ $E\setminus F=E\cap(X\setminus F)$.\ \Qed,5fd6726e605e92839021eebf9967479838799aa192686298dbf6b528e5c7f1a9,5fd6726e605e92839021eebf9967479838799aa192686298dbf6b528e5c7f1a9,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111EB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111EB,111Eb,111Eb,construction inside 111Eb,185,193,"\Prf\ There are many ways of doing this;  one is to set

$$\eqalign{k_n&=\Bover{n}2\text{ for even }n,\cr
&=-\Bover{n+1}2\text{ for odd }n,\cr
q_n&=\Bover{n-m^3-m^2}{m+1}
  \text{ if }m\in\Bbb N\text{ and }m^3\le n<(m+1)^3.\cr}$$

\noindent (You should check carefully that these formulae do indeed do
what I claim they do.) \QeD","\Prf\ Ada banyak cara untuk melakukannya; salah satunya ialah
menetapkan

$$\eqalign{k_n&=\Bover{n}2\text{ untuk }n\text{ genap},\cr
&=-\Bover{n+1}2\text{ untuk }n\text{ ganjil},\cr
q_n&=\Bover{n-m^3-m^2}{m+1}
  \text{ jika }m\in\Bbb N\text{ dan }m^3\le n<(m+1)^3.\cr}$$

\noindent (Anda sebaiknya memeriksa dengan saksama bahwa rumus-rumus ini
benar-benar bekerja seperti yang saya nyatakan.) \QeD",9a65a89c032a08a79c6832cdce01be42a5771584ffbe9d3e0f01ca6cd2ccb1d8,c66758b60a0a9cddff76b614dc16e43cec3c6f3ee08f92018dade6d2efd2340a,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111FA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FA,111F,111Fa,result in implicit clause 111Fa,223,232,"\Prf\ For if
$n\mapsto k_n:\Bbb N\to K$ is a surjection, then $E'_n=E_{k_n}\in\Sigma$ for every
$n\in\Bbb N$, and $\bigcup_{k\in K}E_k=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$.   This
leaves out the case $K=\emptyset$;  but in this case the natural
interpretation of $\bigcup_{k\in K}E_k$ is

\Centerline{$\{x:\exists\enskip k\in \emptyset,\,x\in E_k\}$}

\noindent which is itself $\emptyset$, and therefore belongs to $\Sigma$
by clause (i) of 111A.\ \QeD","\Prf\ Sebab, jika $n\mapsto k_n:\Bbb N\to K$ adalah suatu
surjeksi, maka $E'_n=E_{k_n}\in\Sigma$ untuk setiap $n\in\Bbb N$, dan
$\bigcup_{k\in K}E_k=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$. Ini belum
mencakup kasus $K=\emptyset$; tetapi dalam kasus ini, penafsiran alami
untuk $\bigcup_{k\in K}E_k$ ialah

\Centerline{$\{x:\exists\enskip k\in \emptyset,\,x\in E_k\}$}

\noindent yang juga merupakan $\emptyset$, dan karenanya termasuk dalam
$\Sigma$ menurut syarat (i) dari 111A.\ \QeD",336353ea7a0a67dac914c3de89f924fbb1f714724d5292cc15f132ab1cc95e4e,e127428e5c6f55ae2ae40e9092a4594e6711ece0c4ae27b6553be2005319ae2a,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111FB-01,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FB,111Fb,111Fb,clause (i) of 111Fb; no synthetic source paragraph ID,248,257,"\Prf\ If
$L=\emptyset$, this is
immediate.   Otherwise, take any $l^*\in L$, and a surjection
$n\mapsto k_n:\Bbb N\to K$ (of course $K$ also is not empty, as $l^*\in K$);  set
$l_n=k_n$ if $k_n\in L$, $l^*$ otherwise;  then $n\mapsto l_n:\Bbb N\to
L$ is a surjection.\ \Qed","\Prf\ Jika $L=\emptyset$, hal ini langsung jelas.
Jika tidak, ambil sembarang $l^*\in L$ dan suatu surjeksi
$n\mapsto k_n:\Bbb N\to K$ (tentu saja $K$ juga tidak kosong, sebab
$l^*\in K$); tetapkan $l_n=k_n$ jika $k_n\in L$, dan $l^*$ jika tidak;
maka $n\mapsto l_n:\Bbb N\to L$ adalah suatu surjeksi.\ \Qed",6149b31006acb462c9105e94f58f5920745484c704d33f0c6dd953743a5ff2d4,0c1bcf827ae78958a267b04216be70e43b3ad56b29fb1a8eafac9b0826bae123,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111FB-02,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FB,111Fb,111Fb,clause (ii) of 111Fb; no synthetic source paragraph ID,258,266,"\Prf\ For each $n\in\Bbb N$,
let $k_n$,
$l_n\in\Bbb N$ be such that $n+1=2^{k_n}(2l_n+1)$;  that is, $k_n$ is
the power of $2$ in the prime factorisation of $n+1$, and $2l_n+1$ is
the (necessarily odd) number $(n+1)/2^{k_n}$.   Now
$n\mapsto(k_n,l_n)$ is a
surjection from $\Bbb N$ to $\Bbb N\times\Bbb N$.\ \Qed","\Prf\ Untuk setiap $n\in\Bbb N$,
misalkan $k_n$, $l_n\in\Bbb N$ sedemikian sehingga
$n+1=2^{k_n}(2l_n+1)$; artinya, $k_n$ adalah pangkat $2$ dalam
faktorisasi prima $n+1$, dan $2l_n+1$ adalah bilangan (yang pasti ganjil)
$(n+1)/2^{k_n}$. Sekarang, $n\mapsto(k_n,l_n)$ adalah suatu surjeksi
dari $\Bbb N$ ke $\Bbb N\times\Bbb N$.\ \Qed",6ba1ca77602b808848c622b71ae3f167f407329192576c33158c0d7b58899e8c,d2fa37f7531fc010e72f8f19c58ea1cf57e3bfe3bf16af2350ceaa6cee27559e,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111FB-03,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FB,111Fb,111Fb,clause (iii) of 111Fb; no synthetic source paragraph ID,272,279,"\Prf\ If either $K$ or $L$ is empty, so is
$K\times
L$, so in this case $K\times L$ is certainly countable.   Otherwise, let
$\phi:\Bbb N\to K$ and $\psi:\Bbb N\to L$ be surjections;  then we have
a surjection $\theta:\Bbb N\times\Bbb N\to K\times L$ defined by setting
$\theta(m,n)=(\phi(m),\psi(n))$ for all $m$, $n\in\Bbb N$.   Now we know
from (ii) just above that there is also a surjection
$\chi:\Bbb N\to\Bbb N\times\Bbb N$, so that
$\theta\chi:\Bbb N\to K\times L$ is a
surjection, and $K\times L$ must be countable.\ \Qed","\Prf\ Jika $K$ atau $L$
kosong, maka $K\times L$ kosong, sehingga dalam kasus ini $K\times L$
tentu terhitung. Jika tidak, misalkan $\phi:\Bbb N\to K$ dan
$\psi:\Bbb N\to L$ adalah surjeksi; maka kita mempunyai surjeksi
$\theta:\Bbb N\times\Bbb N\to K\times L$ yang didefinisikan dengan
menetapkan $\theta(m,n)=(\phi(m),\psi(n))$ untuk semua $m$,
$n\in\Bbb N$. Dari (ii) tepat di atas, kita tahu bahwa ada pula
surjeksi $\chi:\Bbb N\to\Bbb N\times\Bbb N$, sehingga
$\theta\chi:\Bbb N\to K\times L$ adalah suatu surjeksi, dan
$K\times L$ pasti terhitung.\ \Qed",d957d89a7ae082979364b78a4e3ea0c43e6c6ae69a9879256ee3afa9df361bc2,84909f53d4e7517155b28f553c8673232c3199b9c0637c42d3526004132d1cf6,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111FC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FC,111Fc,111Fc,result 111Fc,300,308,"\Prf\ Let
$n\mapsto k_n:\Bbb N\to K$ be
a surjection;  then
$\bigcap_{k\in K}E_k=\bigcap_{n\in\Bbb N}E_{k_n}\in\Sigma$, as in 111Dd.\ \Qed","\Prf\ Misalkan
$n\mapsto k_n:\Bbb N\to K$ adalah suatu surjeksi; maka
$\bigcap_{k\in K}E_k=\bigcap_{n\in\Bbb N}E_{k_n}\in\Sigma$, seperti
pada 111Dd.\ \Qed",b39a3ef630ce8e3f83b55eef0f7ff82dee8898ffed50c31f717b69cb744ef0d9,ececa52bc25b01093f730c10893200848ec04e6e35cc2e65b43f7149a3e80f3b,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,proof,O007-FREMLIN-V1-S111-PROOF-111FD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FD,111Fd,111Fd,result 111Fd,324,331,"\Prf\ Set
$F_{qm}=\bigcap_{n\ge m}E_{qn}=\bigcap_{n\in\Bbb N}E_{q,m+n}$ for $q\in\Bbb Q$
and $m\in\Bbb N$;
then every $F_{qm}$ belongs to $\Sigma$, by 111Dd or (c) above.   Set
$G_q=\bigcup_{m\in\Bbb N}F_{qm}$ for $q\in\Bbb Q$;  then every $G_q$
belongs to $\Sigma$, by 111A(iii).   Set
$K=\{q:q\in\Bbb Q,\,q<\sqrt{2}\}$;
then $K$ is countable, by 111E and (b-i) of this paragraph.   So
$\bigcap_{q\in K}G_q$ belongs to $\Sigma$, by (c).   But
$E=\bigcap_{q\in K}G_q$.\ \Qed","\Prf\ Tetapkan
$F_{qm}=\bigcap_{n\ge m}E_{qn}=\bigcap_{n\in\Bbb N}E_{q,m+n}$ untuk
$q\in\Bbb Q$ dan $m\in\Bbb N$; maka setiap $F_{qm}$ termasuk dalam
$\Sigma$, menurut 111Dd atau (c) di atas. Tetapkan
$G_q=\bigcup_{m\in\Bbb N}F_{qm}$ untuk $q\in\Bbb Q$; maka setiap $G_q$
termasuk dalam $\Sigma$, menurut 111A(iii). Tetapkan
$K=\{q:q\in\Bbb Q,\,q<\sqrt{2}\}$; maka $K$ terhitung, menurut 111E dan
(b-i) pada paragraf ini. Jadi, $\bigcap_{q\in K}G_q$ termasuk dalam
$\Sigma$, menurut (c). Tetapi $E=\bigcap_{q\in K}G_q$.\ \Qed",8f71ad5bc0b9b6cccf47ac208544a03bb5cd16a04627a3cc82987f4657fd26c5,0b8cdb38d23049e2d165094a7bf676218c0e53fc205e1fd13b41fb6572e6f03b,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""ordered prooflet macro associated without inventing a Fremlin paragraph identifier"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
