schema_version,record_type,id,unit_id,rights_id,segment_id,source_anchor,semantic_anchor,association_locator,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,provenance
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121A-I,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121A-PROOF-I,121A,121A-proof-i,printed proof clause (i) inside proof macro for 121A,38,39,"{\bf (i)} $\emptyset=\emptyset\cap D\in\Sigma_D$ because
$\emptyset\in\Sigma$.
     
\medskip
     
","{\bf (i)} $\emptyset=\emptyset\cap D\in\Sigma_D$ karena
$\emptyset\in\Sigma$.

\medskip

",d445c1c663ab3c992a0a40d061e88d1fc87d8f0be2565fe9b59dd793af452ecc,4ef52f33fa9babffdb0d090c7f9662d401fc5a0eec5be9508aca9ee4fdb2ef1a,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121A-II,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121A-PROOF-II,121A,121A-proof-ii,printed proof clause (ii) inside proof macro for 121A,43,44,"{\bf (ii)} If $F\in\Sigma_D$, there is an $E\in\Sigma$ such that
$F=E\cap D$;  now $D\setminus F=(X\setminus E)\cap D\in\Sigma_D$ because
$X\setminus E\in\Sigma$.
     
\medskip
     
","{\bf (ii)} Jika $F\in\Sigma_D$, terdapat $E\in\Sigma$ sedemikian
sehingga $F=E\cap D$; sekarang
$D\setminus F=(X\setminus E)\cap D\in\Sigma_D$ karena
$X\setminus E\in\Sigma$.

\medskip

",e65615a5d931fdc8327018e5c7543b1ac5d30dcca922f11ea35f4ba49549e322,cbc6b241321c5b419da97ae2d179029591bc099f824d43a7155b3ae2fec2388e,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121A-III,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121A-PROOF-III,121A,121A-proof-iii,printed proof clause (iii) inside proof macro for 121A,49,51,"{\bf (iii)} If $\langle F_n\rangle_{n\in\Bbb N}$ is any sequence in
$\Sigma_D$, then for each $n\in\Bbb N$ we may choose an $E_n\in\Sigma$
such that $F_n=E_n\cap D$;  now
$\bigcup_{n\in\Bbb N}F_n=(\bigcup_{n\in\Bbb N}E_n)\cap D\in\Sigma_D$ because
$\bigcup_{n\in\Bbb N}E_n\in\Sigma$.
","{\bf (iii)} Jika $\langle F_n\rangle_{n\in\Bbb N}$ adalah sembarang
barisan di dalam $\Sigma_D$, maka untuk setiap $n\in\Bbb N$ kita dapat
memilih $E_n\in\Sigma$ sedemikian sehingga $F_n=E_n\cap D$; sekarang
$\bigcup_{n\in\Bbb N}F_n=(\bigcup_{n\in\Bbb N}E_n)\cap D\in\Sigma_D$
karena $\bigcup_{n\in\Bbb N}E_n\in\Sigma$.
",1f083a44224e2c0adb029c3c6f2ad26c7f4b77b0b2ed5805e532b1d14f8d5bab,6779ebaaf7e1cf34a0fa8375769b9b494de7d8039d47ae2a59a3c39247dec4b9,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121B-I-II,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B-PROOF-I-TO-II,121B,121B-proof-i-to-ii,printed proof clause (i)$\Rightarrow$(ii) inside proof macro for 121B,76,81,"{\bf (i)$\Rightarrow$(ii)} Assume (i), and let
$a\in\Bbb R$.   Then
     
\Centerline{$\{x:f(x)\le a\}
=\bigcap_{n\in\Bbb N}\{x:f(x)<a+2^{-n}\}\in\Sigma_D$}
     
\noindent because $\{x:f(x)<a+2^{-n}\}\in\Sigma_D$ for every $n$ and
$\Sigma_D$ is closed under countable intersections (111Dd).
Because $a$ is arbitrary, (ii) is true.
     
\wheader{121B}{4}{2}{2}{72pt}
     
","{\bf (i)$\Rightarrow$(ii)} Andaikan (i), dan misalkan
$a\in\Bbb R$. Maka

\Centerline{$\{x:f(x)\le a\}
=\bigcap_{n\in\Bbb N}\{x:f(x)<a+2^{-n}\}\in\Sigma_D$}

\noindent karena $\{x:f(x)<a+2^{-n}\}\in\Sigma_D$ untuk setiap $n$
dan $\Sigma_D$ tertutup terhadap irisan terhitung (111Dd).
Karena $a$ sebarang, (ii) benar.

\wheader{121B}{4}{2}{2}{72pt}

",8455d6ef119f1e53215997ea496d5da3419f9bdfb25b88cd5051efa29fca937c,ce41c852b49ae924043b3e566ffac6cd4aab61ebe2401c02fa5b35b0da254da9,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121B-II-III,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B-PROOF-II-TO-III,121B,121B-proof-ii-to-iii,printed proof clause (ii)$\Rightarrow$(iii) inside proof macro for 121B,88,93,"{\bf (ii)$\Rightarrow$(iii)} Assume (ii), and let $a\in\Bbb R$.   Then
     
\Centerline{$\{x:f(x)>a\}=D\setminus\{x:f(x)\le a\}\in\Sigma_D$}
     
\noindent because $\{x:f(x)\le a\}\in\Sigma_D$ and $\Sigma_D$ is closed
under complementation.   Because $a$ is arbitrary, (iii) is
true.
     
\medskip
     
","{\bf (ii)$\Rightarrow$(iii)} Andaikan (ii), dan misalkan
$a\in\Bbb R$. Maka

\Centerline{$\{x:f(x)>a\}=D\setminus\{x:f(x)\le a\}\in\Sigma_D$}

\noindent karena $\{x:f(x)\le a\}\in\Sigma_D$ dan $\Sigma_D$
tertutup terhadap pengambilan komplemen. Karena $a$ sebarang, (iii)
benar.

\medskip

",e88aa822c10863e734e77ddead09a5d246df8c9aa55d73272ad2bc31ebe00184,d6ea5ba91208e31abd7ba0688c1747160f0878b5262eaf91abf4ae2f52d4087f,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121B-III-IV,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B-PROOF-III-TO-IV,121B,121B-proof-iii-to-iv,printed proof clause (iii)$\Rightarrow$(iv) inside proof macro for 121B,98,104,"{\bf (iii)$\Rightarrow$(iv)} Assume (iii), and let $a\in\Bbb R$.   Then
     
\Centerline{$\{x:f(x)\ge a\}
=\bigcap_{n\in\Bbb N}\{x:f(x)>a-2^{-n}\}\in\Sigma_D$}
     
\noindent because $\{x:f(x)>a-2^{-n}\}\in\Sigma_D$ for every $n$ and
$\Sigma_D$ is closed under countable intersections.
Because $a$ is arbitrary, (iv) is true.
     
\medskip
     
","{\bf (iii)$\Rightarrow$(iv)} Andaikan (iii), dan misalkan
$a\in\Bbb R$. Maka

\Centerline{$\{x:f(x)\ge a\}
=\bigcap_{n\in\Bbb N}\{x:f(x)>a-2^{-n}\}\in\Sigma_D$}

\noindent karena $\{x:f(x)>a-2^{-n}\}\in\Sigma_D$ untuk setiap $n$
dan $\Sigma_D$ tertutup terhadap irisan terhitung.
Karena $a$ sebarang, (iv) benar.

\medskip

",6019648d574af00326b859d135ffbeddffcb656df047fc30be77c492adfff3cf,3fd61365f2ef646dcebab862e77c9acbb09fa17f62722a330187057433d033df,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121B-IV-I,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B-PROOF-IV-TO-I,121B,121B-proof-iv-to-i,printed proof clause (iv)$\Rightarrow$(i) inside proof macro for 121B,109,116,"{\bf (iv)$\Rightarrow$(i)} Assume (iv), and let $a\in\Bbb R$.   Then
     
\Centerline{$\{x:f(x)<a\}=D\setminus\{x:f(x)\ge a\}\in\Sigma_D$}
     
\noindent because $\{x:f(x)\ge a\}\in\Sigma_D$ and $\Sigma_D$ is closed
under complementation.   Because $a$ is arbitrary, (i) is
true.
","{\bf (iv)$\Rightarrow$(i)} Andaikan (iv), dan misalkan
$a\in\Bbb R$. Maka

\Centerline{$\{x:f(x)<a\}=D\setminus\{x:f(x)\ge a\}\in\Sigma_D$}

\noindent karena $\{x:f(x)\ge a\}\in\Sigma_D$ dan $\Sigma_D$
tertutup terhadap pengambilan komplemen. Karena $a$ sebarang, (i)
benar.
",fa4b7fe3b86efbed96cf5c03ffcbad73922d54265ada23a232e1854a26ecf86b,1529a65ac281f2111012dd533c85db90c95755c4cc4f01e97c1037b7cfcb52a9,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121DA,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121DA,121D,121Da,printed proof clause (a) inside proof macro for 121D,153,163,"{\bf (a)} This is immediate from the definitions in 121C,
if we recall that the Borel $\sigma$-algebra is included in the Lebesgue
$\sigma$-algebra (114G, 115G).
     
\medskip
     
","{\bf (a)} Hal ini langsung mengikuti definisi dalam 121C,
jika kita mengingat bahwa aljabar-$\sigma$ Borel termuat dalam
aljabar-$\sigma$ Lebesgue (114G, 115G).

\medskip

",f5cf8c4e62e8c984a4cba16f82f386039333f309dfd9b70667f50b1dada922c0,40e425da47853261bbc79635f0a96d4b538f9c2d4b7dbc84729c670a476c8218,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121DB-SETUP,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121DB,121D,121Db,printed proof clause (b) inside proof macro for 121D,159,169,"{\bf (b)} Take $a\in\Bbb R$.   Set
     
\Centerline{$\Cal G=\{G:G\subseteq\BbbR^r\text{ is
open},\,g(x)<a\Forall x\in G\cap D\}$,}
     
\Centerline{$G_0=\bigcup\Cal G
=\{x:\exists\enskip G\in\Cal G,\,x\in G\}$.}
     
\noindent Then $G_0$ is a union of open sets, therefore open (1A2Bd).
Next,
     
\Centerline{$\{x:g(x)<a\}=G_0\cap D$.}
     
\noindent\Prf\ ","{\bf (b)} Ambil $a\in\Bbb R$. Tetapkan

\Centerline{$\Cal G=\{G:G\subseteq\BbbR^r\text{ terbuka},
\,g(x)<a\Forall x\in G\cap D\}$,}

\Centerline{$G_0=\bigcup\Cal G
=\{x:\exists\enskip G\in\Cal G,\,x\in G\}$.}

\noindent Maka $G_0$ adalah gabungan himpunan-himpunan terbuka, sehingga
terbuka (1A2Bd). Selanjutnya,

\Centerline{$\{x:g(x)<a\}=G_0\cap D$.}

\noindent\Prf\ ",219721fd0c119ffdb7b616d86059723186ad7ba38653927a8a71dcfbf474e101,3f68b7492024f14ef734350ed5ec6897e42d71d3d2093eda9b18f63b242ee3b8,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,proof,O007-FREMLIN-V1-S121-PROOF-121DB-I,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121DB,121D,121Db,printed proof clause (i) inside proof macro for 121D,172,182,"{\bf (i)} If $g(x)<a$, then (because $g$ is
continuous) there is a $\delta>0$ such that $|g(y)-g(x)|<a-g(x)$
whenever $y\in D$ and $\|y-x\|<\delta$.   But
$\{y:\|y-x\|<\delta\}$ is open (1A2D),  so belongs to $\Cal G$ and is
included in
$G_0$, and $x\in G_0\cap D$.   ","{\bf (i)} Jika $g(x)<a$, maka (karena $g$ kontinu)
terdapat $\delta>0$ sedemikian sehingga $|g(y)-g(x)|<a-g(x)$ setiap
kali $y\in D$ dan $\|y-x\|<\delta$. Tetapi
$\{y:\|y-x\|<\delta\}$ terbuka (1A2D), sehingga termasuk dalam
$\Cal G$ dan termuat dalam $G_0$, serta $x\in G_0\cap D$.
",38549979f0c281803cc5cf3ff22b9756627f81f18618783b75c78f0d16d99a31,328c098fc3839f639ca0b5ea9214af78f1087684f38447a73b9a820a50c768a0,"{""basis"":""proof macro split only at printed structural clause labels; nested unlabelled Prf blocks remain inside their containing clause"",""kind"":""source-derived-proof-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
