schema_version,record_type,id,unit_id,rights_id,segment_id,source_anchor,semantic_anchor,source_label,target_label,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,provenance
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121A,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121A,121A,121A,Subspace sigma-algebra,Aljabar-sigma subruang,"\leader{121A}{Lemma} Let $X$ be a set and $\Sigma$ a $\sigma$-algebra of
subsets of $X$.   Let $D$ be any subset of $X$ and write
     
\Centerline{$\Sigma_D=\{E\cap D:E\in\Sigma\}$.}
     
\noindent Then $\Sigma_D$ is a $\sigma$-algebra of subsets of $D$.
     
","\leader{121A}{Lema} Misalkan $X$ suatu himpunan dan $\Sigma$ suatu
aljabar-$\sigma$ atas subhimpunan-subhimpunan $X$. Misalkan $D$
sembarang subhimpunan $X$ dan tuliskan

\Centerline{$\Sigma_D=\{E\cap D:E\in\Sigma\}$.}

\noindent Maka $\Sigma_D$ adalah aljabar-$\sigma$ atas
subhimpunan-subhimpunan $D$.

",ca775c1112bd38bf0f1ebd2d1e496f88de958c1dfde54bec36cced9eeb001c13,78abd6261529e23b656e1d409e7bd18c63db640a75b5cf1843466c8952c057a3,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121B,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B,121B,121B,Equivalent measurability tests,Uji keterukuran yang ekuivalen,"\leader{121B}{Proposition} Let $X$ be a set, $\Sigma$ a $\sigma$-algebra
of subsets of $X$, and $D$ a subset of $X$.   Write $\Sigma_D$ for the
subspace $\sigma$-algebra of subsets of $D$.   Then for any function
$f:D\to\Bbb R$ the following assertions are equiveridical\cmmnt{, that is, if one of them is true so are all the others}:
     
\quad(i) $\{x:f(x)<a\}\in\Sigma_D$ for every $a\in\Bbb R$;
     
\quad(ii) $\{x:f(x)\le a\}\in\Sigma_D$ for every $a\in\Bbb R$;
     
\quad(iii) $\{x:f(x)>a\}\in\Sigma_D$ for every $a\in\Bbb R$;
     
\quad(iv) $\{x:f(x)\ge a\}\in\Sigma_D$ for every $a\in\Bbb R$.
     
","\leader{121B}{Proposisi} Misalkan $X$ suatu himpunan, $\Sigma$ suatu
aljabar-$\sigma$ atas subhimpunan-subhimpunan $X$, dan $D$ suatu
subhimpunan $X$. Tuliskan $\Sigma_D$ untuk aljabar-$\sigma$ subruang
atas subhimpunan-subhimpunan $D$. Maka, untuk setiap fungsi
$f:D\to\Bbb R$, pernyataan-pernyataan berikut ekuivalen\cmmnt{, yakni,
jika salah satunya benar maka semuanya benar}:

\quad(i) $\{x:f(x)<a\}\in\Sigma_D$ untuk setiap $a\in\Bbb R$;

\quad(ii) $\{x:f(x)\le a\}\in\Sigma_D$ untuk setiap $a\in\Bbb R$;

\quad(iii) $\{x:f(x)>a\}\in\Sigma_D$ untuk setiap $a\in\Bbb R$;

\quad(iv) $\{x:f(x)\ge a\}\in\Sigma_D$ untuk setiap $a\in\Bbb R$.

",bdea8404a78a032f966d4bf1e1a78403f0eeeed30c2733497d2b2ae053d58a7a,3224dd669efa6fe51d349afae06be27b92d41dbe2b0e066cd3281e03baaa77d0,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121H,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121H,121H,121H,Domains of measurable operations are measurable,Domain operasi terukur adalah terukur,"\leader{121H}{Proposition}  Let $X$ be a set and $\Sigma$ a
$\sigma$-algebra
of subsets of $X$;  let $f$, $g$ and $f_n$, for $n\in\Bbb N$, be
$\Sigma$-measurable real-valued functions whose domains belong to
$\Sigma$.   Then all the functions
     
\Centerline{$f+g$, \quad$f\times g$, \quad$f/g$,}
     
\Centerline{$\sup_{n\in\Bbb N}f_n$, \quad$\inf_{n\in\Bbb N}f_n$,
\quad$\lim_{n\to\infty}f_n$, \quad$\limsup_{n\to\infty}f_n$,
\quad$\liminf_{n\to\infty}f_n$}
     
\noindent have domains belonging to $\Sigma$.   Moreover, if $h$ is a
Borel measurable real-valued function defined on a Borel subset of
$\Bbb R$, then $\dom hf\in\Sigma$.
     
","\leader{121H}{Proposisi} Misalkan $X$ suatu himpunan dan $\Sigma$
suatu aljabar-$\sigma$ atas subhimpunan-subhimpunan $X$; misalkan
$f$, $g$, dan $f_n$, untuk $n\in\Bbb N$, adalah fungsi-fungsi bernilai
real yang $\Sigma$-terukur dan domainnya termasuk dalam $\Sigma$. Maka
semua fungsi

\Centerline{$f+g$, \quad$f\times g$, \quad$f/g$,}

\Centerline{$\sup_{n\in\Bbb N}f_n$, \quad$\inf_{n\in\Bbb N}f_n$,
\quad$\lim_{n\to\infty}f_n$, \quad$\limsup_{n\to\infty}f_n$,
\quad$\liminf_{n\to\infty}f_n$}

\noindent mempunyai domain yang termasuk dalam $\Sigma$. Selain itu,
jika $h$ adalah fungsi bernilai real terukur Borel yang didefinisikan
pada suatu subhimpunan Borel dari $\Bbb R$, maka $\dom hf\in\Sigma$.

",021220c85c017a08e475699cde0ee800692446a31c14ecb4b4ad7c0e10f0217a,0d5dfc68bafeda4c4acab746814bae372d0a9163d78e01e251737d51b7f5922c,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121I,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121I,*121I,121I,Measurable extension theorem,Teorema perluasan terukur,"\leader{*121I}{}\cmmnt{ I end this section with two results which can be safely passed by on first reading, but which you will need at some point
to master if you wish to go farther into measure theory than the present
chapter, as both are essential parts of the concept of `measurable
function'.
     
\medskip
     
\noindent}{\bf Proposition} Let $X$ be a set and $\Sigma$ a
$\sigma$-algebra of subsets of $X$.   Let $D$ be a subset of $X$ and
$f:D\to\Bbb R$ a function.   Then $f$ is measurable iff there is a
measurable function $h:X\to\Bbb R$ extending $f$.
     
","\leader{*121I}{}\cmmnt{ Saya mengakhiri bagian ini dengan dua hasil
yang dapat dilewati dengan aman pada pembacaan pertama, tetapi yang pada
suatu saat perlu Anda kuasai jika ingin melangkah lebih jauh dalam teori
ukuran daripada bab ini, karena keduanya merupakan bagian-bagian hakiki
dari konsep `fungsi terukur'.

\medskip

\noindent}{\bf Proposisi} Misalkan $X$ suatu himpunan dan $\Sigma$
suatu aljabar-$\sigma$ atas subhimpunan-subhimpunan $X$. Misalkan $D$
suatu subhimpunan $X$ dan $f:D\to\Bbb R$ suatu fungsi. Maka $f$ terukur
jika dan hanya jika terdapat fungsi terukur $h:X\to\Bbb R$ yang
memperluas $f$.

",8d55e19d8371ae3f30101d3381d4c4612472cbcbbe70a046fc7f16a3fd92aa82,b929cf3d69360dfac5af84b6dfa7eb6aaddf64f9441b45879e49ac1f91b09d1a,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121J,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121J,*121J,121J,Coordinate half-spaces generate the Borel sigma-algebra,Setengah-ruang koordinat membangkitkan aljabar-sigma Borel,"\leader{*121J}{}\cmmnt{ The next proposition may illuminate 121E, as well as
being indispensable for the work of Volume 2.   I start with a useful
description of the Borel sets of $\BbbR^r$.
     
\medskip
     
\noindent}{\bf Lemma} Let $r\ge 1$ be an integer, and write $\Cal J$ for
the family of subsets of $\BbbR^r$ of the form
$\{x:\xi_i\le\alpha\}$ where $i\le r$, $\alpha\in\Bbb R$, writing
$x=(\xi_1,\ldots,\xi_r)$, as in \S115.   Then the
$\sigma$-algebra of subsets of $\BbbR^r$ generated by $\Cal J$ is
precisely the $\sigma$-algebra $\Cal B$ of Borel subsets of $\BbbR^r$.
     
","\leader{*121J}{}\cmmnt{ Proposisi berikut dapat memperjelas 121E,
sekaligus sangat diperlukan bagi pekerjaan dalam Jilid 2. Saya mulai
dengan suatu deskripsi berguna tentang himpunan-himpunan Borel dalam
$\BbbR^r$.

\medskip

\noindent}{\bf Lema} Misalkan $r\ge 1$ suatu bilangan bulat, dan
tuliskan $\Cal J$ untuk keluarga subhimpunan-subhimpunan $\BbbR^r$
yang berbentuk $\{x:\xi_i\le\alpha\}$, dengan $i\le r$,
$\alpha\in\Bbb R$, serta $x=(\xi_1,\ldots,\xi_r)$, seperti dalam
\S115. Maka aljabar-$\sigma$ atas subhimpunan-subhimpunan $\BbbR^r$
yang dibangkitkan oleh $\Cal J$ tepat sama dengan aljabar-$\sigma$
$\Cal B$ dari subhimpunan-subhimpunan Borel $\BbbR^r$.

",bd08c5b20f808ecd17e79e077c606d2f10ec95a338a0239195cb1fb929372bbb,6a42ffe8e11a6720c690e3c9a87cfa52b206d329fde58fcbc53d3ef9785fb338,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121DA,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121DA,121D,121Da,Borel measurable implies Lebesgue measurable,Terukur Borel mengakibatkan terukur Lebesgue,"(a) If $g$ is Borel measurable it is Lebesgue measurable.
     
","(a) Jika $g$ terukur Borel, maka fungsi tersebut terukur Lebesgue.

",b3e97ed7500679190be3d2bbcd78b335266f14804308cd0de44c66e2108c3bc0,e849913c176a18138f7152b26f701b1c88f41e4ea4512112a455cd88ea5ce0df,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121DB,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121DB,121D,121Db,Continuous implies Borel measurable,Kontinu mengakibatkan terukur Borel,"(b) If $g$ is continuous it is Borel measurable.
     
","(b) Jika $g$ kontinu, maka fungsi tersebut terukur Borel.

",d159f7aee902ad504e8db90bbc9d5068b5c15ac80648968c0f294daa5c859d38,f7dcac793df352967856c21c83e0e7784c26cd5fba8a45d6e35d016ead7707c9,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121DC,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121DC,121D,121Dc,Monotone implies Borel measurable,Monoton mengakibatkan terukur Borel,"(c) If $r=1$ and $g$ is monotonic it is Borel measurable.
     
","(c) Jika $r=1$ dan $g$ monoton, maka fungsi tersebut terukur Borel.

",4e9cee82b92d626578225264aaa91a88527f8ceefd28c4d17446fc75ba521885,79602a16cbd0fa97b93db927df9b6f75fc20f34bfb084f0b9b557a9c242178ff,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121EA,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121EA,121E,121Ea,Constant functions are measurable,Fungsi konstan terukur,"(a) If $f$ is constant it is
measurable.
     
","(a) Jika $f$ konstan, maka fungsi tersebut terukur.

",b62506105a3bae7e10d1d21b3a35077446f33fa8b64f03847ac50eec85363873,8272f1753213c466fac66b1049faa603d09187fb0c7c9c7fa22911c2d709c830,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,result,O007-FREMLIN-V1-S121-RESULT-121EB,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121EB,121E,121Eb,Sums of measurable functions,Jumlah fungsi terukur,"(b) If $f$ and $g$ are measurable, so is $f+g$, where
$(f+g)(x)=f(x)+g(x)$ for $x\in
\dom f\cap\dom g$.
     
","(b) Jika $f$ dan $g$ terukur, maka $f+g$ juga terukur, dengan
$(f+g)(x)=f(x)+g(x)$ untuk $x\in\dom f\cap\dom g$.

",1b3ced8348d6df909c0b2ea8e9160dba3e83bc76468209097d4005fe66743fa8,4f6aebd2ccbac4ad32e77d99f7617283bde7e88ebb51d44e1b6195f268fefca7,"{""basis"":""formal result statement bounded before its proof or at an exact printed statement part"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
