schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,semantic_anchor,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,importance,importance_basis,provenance
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135XA,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135XA,1,135X,135Xa,"\leader{135X}{Basic exercises (a)}  We say that a set
$G\subseteq[-\infty,\infty]$ is {\bf open} if (i) $G\cap \Bbb R$ is open
in the usual sense as a subset of $\Bbb R$ (ii) if $\infty\in G$, then
there is some $a\in\Bbb R$ such that $\ocint{a,\infty}\subseteq G$ (iii)
if $-\infty\in G$ then there is some $a\in\Bbb R$ such that
$\coint{-\infty,a}\subseteq G$.    Show that the family $\frak T$ of
open subsets of $[-\infty,\infty]$ has the properties corresponding to
(a)-(d) of 1A2B.

","\leader{135X}{Latihan dasar (a)} Kita mengatakan bahwa suatu himpunan
$G\subseteq[-\infty,\infty]$ bersifat {\bf terbuka} jika (i)
$G\cap \Bbb R$ terbuka dalam arti biasa sebagai subhimpunan $\Bbb R$
(ii) jika $\infty\in G$, maka terdapat suatu $a\in\Bbb R$ sedemikian
sehingga $\ocint{a,\infty}\subseteq G$ (iii) jika $-\infty\in G$ maka
terdapat suatu $a\in\Bbb R$ sedemikian sehingga
$\coint{-\infty,a}\subseteq G$. Tunjukkan bahwa keluarga $\frak T$ dari
subhimpunan-subhimpunan terbuka $[-\infty,\infty]$ mempunyai sifat-sifat
yang bersesuaian dengan (a)-(d) dari 1A2B.

",3f2f1a130f3e92b68c25aa88bf1d87c3960817f51be6bff7473ddcf4efb88909,7ef6ef3d163b426b4c51d1759291478be82ceb838e3dc0c4f58c057a233383fe,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135XB,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135XB,2,135Xb,135Xb,"\header{135Xb}{\bf (b)} Show that the Borel sets of $[-\infty,\infty]$
as defined in 135C are precisely the members of the $\sigma$-algebra of
subsets of
$[-\infty,\infty]$ generated by the open sets as defined in 135Xa.

","\header{135Xb}{\bf (b)} Tunjukkan bahwa himpunan-himpunan Borel dari
$[-\infty,\infty]$ sebagaimana didefinisikan dalam 135C tepat merupakan
anggota-anggota aljabar-$\sigma$ atas subhimpunan-subhimpunan
$[-\infty,\infty]$ yang dibangkitkan oleh himpunan-himpunan terbuka
sebagaimana didefinisikan dalam 135Xa.

",481a4beb237ae8dd61901dc336bf4a2fce96cd44031bf7ef581af87a259a0f65,4201fdefbfbd1e05833132cef3f42b6909a69e2f97007c87fba862d660b24e13,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135XC,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135XC,3,135Xc,135Xc,"\sqheader 135Xc Define $\phi:[-\infty,\infty]\to[-1,1]$ by
setting

\Centerline{$\phi(-\infty)=-1$, \quad $\phi(x)=\tanh x
=\Bover{e^{2x}-1}{e^{2x}+1}$ if $-\infty<x<\infty$, \quad
$\phi(\infty)=1$.}

\noindent Show that (i) $\phi$ is an order-isomorphism between
$[-\infty,\infty]$ and $[-1,1]$ (ii) for any sequence $\sequencen{u_n}$ in $[-\infty,\infty]$, $\sequencen{u_n}\to u$ iff
$\sequencen{\phi(u_n)}\to\phi(u)$  (iii) for any set
$E\subseteq [-\infty,\infty]$, $E$ is Borel in $[-\infty,\infty]$ iff
$\phi[E]$ is a Borel subset of $\Bbb R$ (iv) a real-valued function
$h$ defined on a subset of $[-\infty,\infty]$ is Borel measurable iff
$h\phi^{-1}$ is Borel measurable.

","\sqheader 135Xc Definisikan $\phi:[-\infty,\infty]\to[-1,1]$ dengan
menetapkan

\Centerline{$\phi(-\infty)=-1$, \quad $\phi(x)=\tanh x
=\Bover{e^{2x}-1}{e^{2x}+1}$ jika $-\infty<x<\infty$, \quad
$\phi(\infty)=1$.}

\noindent Tunjukkan bahwa (i) $\phi$ merupakan isomorfisme urutan antara
$[-\infty,\infty]$ dan $[-1,1]$ (ii) untuk sembarang barisan
$\sequencen{u_n}$ dalam $[-\infty,\infty]$, $\sequencen{u_n}\to u$ jika
dan hanya jika $\sequencen{\phi(u_n)}\to\phi(u)$ (iii) untuk sembarang
himpunan $E\subseteq [-\infty,\infty]$, $E$ bersifat Borel dalam
$[-\infty,\infty]$ jika dan hanya jika $\phi[E]$ merupakan subhimpunan
Borel dari $\Bbb R$ (iv) suatu fungsi bernilai real $h$ yang terdefinisi
pada subhimpunan dari $[-\infty,\infty]$ bersifat terukur Borel jika dan hanya
jika $h\phi^{-1}$ bersifat terukur Borel.

",af9834033eadfb8f8a334324623d7d4d443f4298675df37f3bdfdd75e48b10a1,3c27cf7c983a70fad6ab63151f13eec7c4ffa43aa4a1482449f71edd2d01c695,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135XD,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135XD,4,135Xd,135Xd,"\sqheader 135Xd Let $X$ be a set, $\Sigma$ a
$\sigma$-algebra of subsets of $X$ and $f$ a function from a subset of $X$
to $[-\infty,\infty]$.   Show that $f$ is measurable iff the composition
$\phi f$ is measurable, where $\phi$ is the function of 135Xc.   Use
this to reduce 135Ef and 135Eg to the corresponding results in
\S121.

","\sqheader 135Xd Misalkan $X$ suatu himpunan, $\Sigma$ suatu
aljabar-$\sigma$ atas subhimpunan-subhimpunan $X$ dan $f$ suatu fungsi dari
subhimpunan dari $X$ ke $[-\infty,\infty]$. Tunjukkan bahwa $f$ terukur jika dan
hanya jika komposisi $\phi f$ terukur, dengan $\phi$ fungsi dari 135Xc.
Gunakan hal ini untuk mereduksi 135Ef dan 135Eg menjadi hasil-hasil yang
bersesuaian dalam \S121.

",b93a83eebcb04cfd6647045e09bfb21af2169d15635e4e9a7409a0d8c340da72,d02e34932962b73ffe45d45c5d2c467d1eca677c31df8ebf54ca1c3013de1899,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135XE,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135XE,5,135Xe,135Xe,"\header{135Xe}{\bf (e)} Let $\phi:[-\infty,\infty]\to[-1,1]$ be the
function described in 135Xc.   Show that the functions

\Centerline{$(t,u)\mapsto\phi(\phi^{-1}(t)+\phi^{-1}(u)):
[-1,1]^2\setminus\{(-1,1),(1,-1)\}\to[-1,1]$,}

\Centerline{$(t,u)\mapsto\phi(\phi^{-1}(t)\phi^{-1}(u)):
[-1,1]^2\to[-1,1]$,}

\Centerline{$(t,u)\mapsto\phi(\phi^{-1}(t)/\phi^{-1}(u)):
\bigl([-1,1]\times([-1,1]\setminus\{0\})\bigr)
\setminus\{(\pm 1,\pm 1)\}\to[-1,1]$}

\noindent are Borel measurable.   Use this with 121K to prove 135Ee.

","\header{135Xe}{\bf (e)} Misalkan $\phi:[-\infty,\infty]\to[-1,1]$ fungsi
yang dijelaskan dalam 135Xc. Tunjukkan bahwa fungsi-fungsi

\Centerline{$(t,u)\mapsto\phi(\phi^{-1}(t)+\phi^{-1}(u)):
[-1,1]^2\setminus\{(-1,1),(1,-1)\}\to[-1,1]$,}

\Centerline{$(t,u)\mapsto\phi(\phi^{-1}(t)\phi^{-1}(u)):
[-1,1]^2\to[-1,1]$,}

\Centerline{$(t,u)\mapsto\phi(\phi^{-1}(t)/\phi^{-1}(u)):
\bigl([-1,1]\times([-1,1]\setminus\{0\})\bigr)
\setminus\{(\pm 1,\pm 1)\}\to[-1,1]$}

\noindent bersifat terukur Borel. Gunakan hasil ini bersama 121K untuk
membuktikan 135Ee.

",2e2caa2381328a19d3126c2fa7954b4e1bf7884251e6b563cfd823bac680f1d9,7790967cad78b516cbeaff5158b86c4b51af38e90d29eddf5a08c56869179c9f,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135XF,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135XF,6,135Xf,135Xf,"\header{135Xf}{\bf (f)} Following the conventions of 135Ab and 135Ad,
give  full descriptions of the cases in which $uu'/vv'=(u/v)(u'/v')$ and
in which $uw/vw=u/v$.

","\header{135Xf}{\bf (f)} Dengan mengikuti konvensi-konvensi 135Ab dan 135Ad,
berikan uraian lengkap tentang kasus-kasus ketika
$uu'/vv'=(u/v)(u'/v')$ dan ketika $uw/vw=u/v$.

",545c04ef4b029b00c3983a31e0e90690b8f403b03fb04fe9c051b7d72ff7dcb5,d02f13f1f11058f70bf2031c9c1ef70740f974342f6f8199b14cc8ec57f4ccca,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135XG,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135XG,7,135Xg,135Xg,"\spheader 135Xg Let $(X,\Sigma,\mu)$ be a measure space and suppose that 
$E\in\Sigma$ has non-zero finite measure.   Let $f$ be a virtually
measurable $[-\infty,\infty]$-valued function defined on a subset of $X$ and suppose that $f(x)$ is defined and greater than $\alpha$ for almost every $x\in E$.   Show that $\int_Ef>\alpha\mu E$.
%135F

","\spheader 135Xg Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur dan andaikan
$E\in\Sigma$ mempunyai ukuran berhingga yang tak nol. Misalkan $f$ suatu
fungsi bernilai $[-\infty,\infty]$ yang terukur secara virtual dan
terdefinisi pada suatu subhimpunan dari $X$, dan andaikan $f(x)$ terdefinisi dan
lebih besar daripada $\alpha$ untuk hampir setiap $x\in E$. Tunjukkan bahwa
$\int_Ef>\alpha\mu E$.
%135F

",a098cff0d6df27fb51368d22933211d4dd809d5b6c7eb80b7148e8dcfc8087ef,f82cb3bd35da498cb1080c32a6b712c32f51fa0162191dc8696618b8bb10e09a,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135YA,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135YA,8,135Y,135Ya,"\leader{135Y}{Further exercises (a)}
%\spheader 135Ya
Let $X$ be a set and $\Sigma$ a $\sigma$-algebra of subsets of $X$.   
Show that if $f:X\to[0,\infty]$ is $\Sigma$-measurable, there is a 
sequence $\sequencen{E_n}$ in $\Sigma$ such that 
$f=\sum_{n=0}^{\infty}\Bover1{n+1}\chi E_n$.

","\leader{135Y}{Latihan lanjutan (a)}
%\spheader 135Ya
Misalkan $X$ suatu himpunan dan $\Sigma$ suatu aljabar-$\sigma$ atas
subhimpunan-subhimpunan $X$. Tunjukkan bahwa jika $f:X\to[0,\infty]$
bersifat $\Sigma$-terukur, terdapat suatu barisan $\sequencen{E_n}$ dalam
$\Sigma$ sedemikian sehingga
$f=\sum_{n=0}^{\infty}\Bover1{n+1}\chi E_n$.

",a6c168e53015d4c363d0874634899aa53eade108cfde947df6e3821f09ef1706,d0599810067c6c9cb4b0e2becb73c2beaa70c0f6534d8c33afccee6940102817,false,source further-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135YB,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135YB,9,135Yb,135Yb,"\spheader 135Yb Let $(X,\Sigma,\mu)$ be a measure space, and $f$, $g$ two
$[-\infty,\infty]$-valued functions, defined on subsets of $X$, such that
$\int f$ and $\int g$ are both defined in $[-\infty,\infty]$.   
(i) Show that
$\int f\vee g$ and $\int f\wedge g$ are defined in $[-\infty,\infty]$,
where $(f\vee g)(x)=\max(f(x),g(x))$, $(f\wedge g)(x)=\min(f(x),g(x))$ for
$x\in\dom f\cap\dom g$.   (ii) Show that 
$\int f\vee g+\int f\wedge g=\int f+\int g$ in the sense that if one of the
sums is defined in $[-\infty,\infty]$ so is the other, and they are then
equal.
%135F

","\spheader 135Yb Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur, dan $f$, $g$
dua fungsi bernilai $[-\infty,\infty]$, yang masing-masing terdefinisi pada
suatu subhimpunan dari $X$, sedemikian sehingga $\int f$ dan $\int g$
keduanya terdefinisi dalam $[-\infty,\infty]$.
(i) Tunjukkan bahwa $\int f\vee g$ dan $\int f\wedge g$ terdefinisi dalam
$[-\infty,\infty]$, dengan $(f\vee g)(x)=\max(f(x),g(x))$,
$(f\wedge g)(x)=\min(f(x),g(x))$ untuk
$x\in\dom f\cap\dom g$. (ii) Tunjukkan bahwa
$\int f\vee g+\int f\wedge g=\int f+\int g$ dalam arti bahwa jika salah
satu jumlah terdefinisi dalam $[-\infty,\infty]$, maka yang lainnya juga
terdefinisi, dan keduanya sama.
%135F

",706b1c4e474b4c7fb10b040b97eb838b03b5505f0a44cbc0ec07ee0f53dbe961,2d489abbba7e46fa708cc1fb1dfa8c9f635ca4bc7165bfce1e9107416b40f460,false,source further-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V1-S135-EXERCISE-135YC,O007-FREMLIN-V1-S135,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S135-SEG-135YC,10,135Yc,135Yc,"\spheader 135Yc\dvAnew{2007} 
Let $(X,\Sigma,\mu)$ be a measure space, 
$f:X\to[-\infty,\infty]$ a function and $g:X\to[0,\infty]$, 
$h:X\to[0,\infty]$ measurable functions.   Show that 
$\overline{\int}f\times(g+h) 
=\overline{\int}f\times g+\overline{\int}f\times h$, where here
we interpret $\infty+(-\infty)$ as $\infty$, as in 133L. 
}%end of exercises

\endnotes{
","\spheader 135Yc\dvAnew{2007}
Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur,
$f:X\to[-\infty,\infty]$ suatu fungsi dan $g:X\to[0,\infty]$,
$h:X\to[0,\infty]$ fungsi-fungsi terukur. Tunjukkan bahwa
$\overline{\int}f\times(g+h)
=\overline{\int}f\times g+\overline{\int}f\times h$, dengan di sini kita
menafsirkan $\infty+(-\infty)$ sebagai $\infty$, seperti dalam 133L.
}%end of exercises

\endnotes{
",1ebe4914935db51bf8e23dab1a4c4a4061b76977612b9e004aafddffdb0ca7a5,8a88eadb5de22b8d0bcd0a6612f33c3f03b27a9d8fd78e19b90094b19d1cda6a,false,source further-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
