schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0001,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282A,1,282A,282A,18,18,609,612,643,646,f,f,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,$,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0002,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282A,2,282A,282A,19,19,683,701,745,763,"\ocint{-\pi,\pi}","\ocint{-\pi,\pi}",e56a5045b4baf8c9daae23bdcb03f0cd97d693766eafab555a1ea5ffedb19547,e56a5045b4baf8c9daae23bdcb03f0cd97d693766eafab555a1ea5ffedb19547,e56a5045b4baf8c9daae23bdcb03f0cd97d693766eafab555a1ea5ffedb19547,$,e56a5045b4baf8c9daae23bdcb03f0cd97d693766eafab555a1ea5ffedb19547,e56a5045b4baf8c9daae23bdcb03f0cd97d693766eafab555a1ea5ffedb19547,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0003,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AA,3,282Aa,282Aa,22,21,762,765,819,822,f,f,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,$,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0004,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AA,4,282Aa,282Aa,24,23,791,843,849,901,c_k=\Bover1{2\pi}\int_{-\pi}^{\pi}f(x)e^{-ikx}dx,c_k=\Bover1{2\pi}\int_{-\pi}^{\pi}f(x)e^{-ikx}dx,e07339c1f9bd377e286bbd0c20bf17487eb48522811c15b3254e157f303aa309,e07339c1f9bd377e286bbd0c20bf17487eb48522811c15b3254e157f303aa309,e07339c1f9bd377e286bbd0c20bf17487eb48522811c15b3254e157f303aa309,$$,e07339c1f9bd377e286bbd0c20bf17487eb48522811c15b3254e157f303aa309,e07339c1f9bd377e286bbd0c20bf17487eb48522811c15b3254e157f303aa309,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0005,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AA,5,282Aa,282Aa,26,25,859,871,919,931,k\in\Bbb Z,k\in\Bbb Z,16f7557561ea690cb6cbab77e10f78d0e3307c9eaaaa2ff455725774f65e1848,16f7557561ea690cb6cbab77e10f78d0e3307c9eaaaa2ff455725774f65e1848,3e6f6517f9653633210a9969ea981fc4f3a0a40ba6b56f0124dd375f1ba2b76b,$,3e6f6517f9653633210a9969ea981fc4f3a0a40ba6b56f0124dd375f1ba2b76b,3e6f6517f9653633210a9969ea981fc4f3a0a40ba6b56f0124dd375f1ba2b76b,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0006,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AB,6,282Ab,282Ab,28,27,924,927,984,987,f,f,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,$,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0007,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AB,7,282Ab,282Ab,30,29,947,981,1010,1044,s_n(x)=\sum_{k=-n}^nc_ke^{ikx},s_n(x)=\sum_{k=-n}^nc_ke^{ikx},cf91c5e9b8ef35b578b8fab08f6f7d1a21662437f861fe6c38d861e050645b59,cf91c5e9b8ef35b578b8fab08f6f7d1a21662437f861fe6c38d861e050645b59,cf91c5e9b8ef35b578b8fab08f6f7d1a21662437f861fe6c38d861e050645b59,$$,cf91c5e9b8ef35b578b8fab08f6f7d1a21662437f861fe6c38d861e050645b59,cf91c5e9b8ef35b578b8fab08f6f7d1a21662437f861fe6c38d861e050645b59,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0008,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AB,8,282Ab,282Ab,32,31,997,1019,1062,1084,"x\in\ocint{-\pi,\pi}","x\in\ocint{-\pi,\pi}",e2a63bd1ac7c092f53017e3c039fed256a0381491d1caada3042d1ed7f7eda18,e2a63bd1ac7c092f53017e3c039fed256a0381491d1caada3042d1ed7f7eda18,e2a63bd1ac7c092f53017e3c039fed256a0381491d1caada3042d1ed7f7eda18,$,e2a63bd1ac7c092f53017e3c039fed256a0381491d1caada3042d1ed7f7eda18,e2a63bd1ac7c092f53017e3c039fed256a0381491d1caada3042d1ed7f7eda18,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0009,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AB,9,282Ab,282Ab,32,31,1021,1033,1086,1098,n\in\Bbb N,n\in\Bbb N,d213946df59f2b85be55436de61a489b7c24c216dfb26056fc2946b32c730709,d213946df59f2b85be55436de61a489b7c24c216dfb26056fc2946b32c730709,02bb197ae0de627eb1861382dcf81826f92f1895770d739be7f05b2435488186,$,02bb197ae0de627eb1861382dcf81826f92f1895770d739be7f05b2435488186,02bb197ae0de627eb1861382dcf81826f92f1895770d739be7f05b2435488186,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S282-FORMULA-0010,O007-FREMLIN-V2-S282,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S282-SEG-282AC,10,282Ac,282Ac,35,34,1088,1091,1151,1154,f,f,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,$,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,252f10c83610ebca1a059c0bae8255eba2f95be4d1d7bcfa89d7248a82d9f111,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
