schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3-INTRO,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,1,2a3,2a3-intro,2a3-intro,unmarked-unit-introduction,false,exposition,2a3-intro,2a3-intro,1,24,1,24,0,825,0,913,9533c15f98d9d63947c26850d0679a810f58cb2e7e24efdb962fb596c65d4f15,f348e7966c215fe88d70a7297ecdfe2fecfde555893ec7576bfe6f3a61da74a3,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3A,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,2,2A3A,2A3A,2A3A,explicit,false,exposition,2A3A,2A3A,25,35,25,35,825,1391,913,1565,4567825029d00a440b848bb80d0a8411aa730a48bd4c2e17b004e333f7a287d3,3c42c5ccb2ea3d1eb019b46e0c6fff38dc34c1fa244ecbef28b5a24d255f4254,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3B,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,3,2A3B,2A3B,2A3B,explicit,false,exposition,2A3B,2A3B,36,43,36,42,1391,1764,1565,1961,824f3d4587a8dd2b4ea6fd0cf3e17be5df66e0dcfed4c236710f4611ae113f43,f7a4eaf8d39d2752a6672038c45dc7517515dab47fd718e156d22740b6c2a7c9,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3BB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,4,2A3Bb,2A3Bb,2A3Bb,explicit,false,exposition,2A3Bb,2A3Bb,44,51,43,48,1764,2083,1961,2283,4b64b7665d07ebc1209bb2be44ca3e74ca56864e673ac67ca6d0b6509d015a67,62f319624d0cfcc8d43c06aa4e430e65e932153596bc75142885e593b04c191f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3BC,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,5,2A3Bc,2A3Bc,2A3Bc,explicit,false,exposition,2A3Bc,2A3Bc,52,72,49,71,2083,2918,2283,3190,e1c6d75f2e2647bd21ef01a32964523463042225f0d365afb27cb8dfa4273bec,6c57e9fbdd6a4e9a71e95669dd3f3e262cab6dee93bda6890437820cc0bdad04,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3BD,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,6,2A3Bd,2A3Bd,2A3Bd,explicit,false,exposition,2A3Bd,2A3Bd,73,102,72,103,2918,4449,3190,4744,1f468c9e706752645db1e082dcb4b34430b968b5d78a2e8b135ce87be537fc22,8dca53ff0e2007dfa486698ae0ff87fbf1dd6ea31b50b5321031b8d98be8915f,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3BE,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,7,2A3Be,2A3Be,2A3Be,explicit,false,exposition,2A3Be,2A3Be,103,111,104,112,4449,4944,4744,5218,23ac3d1e1946ade5890f796a36fd97c31ea9cdcba375334a2e6ed34d82378931,039ce6c620d214142a7909e46ee96e8fcf6acd1727784f478fb3081a3a1db719,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3BF,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,8,2A3Bf,2A3Bf,2A3Bf,explicit,false,exposition,2A3Bf,2A3Bf,112,116,113,118,4944,5214,5218,5499,8a0591bf6de17ec1fa15407fb65e5982a97a6cee282cbffb8e2b8e9c111e5dad,833bc0a3a462d978ae4bef0bbf6eec808c71650f1bc22f0498a143f4d46a2d3d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3C,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,9,2A3C,2A3C,2A3C,explicit,false,exposition,2A3C,2A3C,117,135,119,137,5214,6140,5499,6442,05fffdac83f027599a7fff0ecb7a7ccaa9badc768c36d87e9f0685fdbe2e3f91,ec0bd0530b9213637b797bc6c8a08ee6b3d1ffbfbcdb827d9b6be6f613de20a6,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3D,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,10,2A3D,2A3D,2A3D,explicit,false,exposition,2A3D,2A3D,136,147,138,149,6140,6610,6442,6993,182fb0ba02b04d95707bea29c6f6cf9f55808f7e36ef1125c4f227dc3070b3e6,46164d952ca084c588670440eef1ede042fd04c40f68f08d31ef8d508058020a,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3DB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,11,2A3Db,2A3Db,2A3Db,explicit,false,exposition,2A3Db,2A3Db,148,168,150,171,6610,7519,6993,7976,1d1bdcaa4442e9a6dfa3418a2d8d3cc612ab8775e9dacb029e4d374c3a487573,a342fe944c8874b5a1fad76a57fe0f1b96ec97f7a73bf04d2abedb73c7e14f2a,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3DC,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,12,2A3Dc,2A3Dc,2A3Dc,explicit,false,exposition,2A3Dc,2A3Dc,169,179,172,185,7519,7979,7976,8511,37437c0b8f5950fe0598b0d382469f3ee987babd40227d71d82d41d80ed87a07,e69118fddca8a6470f9df121acf646e2b104b74697d35537e0e2485db4af9b66,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3E,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,13,2A3E,2A3E,2A3E,explicit,false,exposition,2A3E,2A3E,180,189,186,195,7979,8570,8511,9171,70c2477b1beef76075cc854604c34fd19b5e1406d69dbc333ec68595c911299c,1b86b0f9b5fc1f5f4648736c8cf0ae2354e22f7a49150dffc717edf54442bac5,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3EB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,14,2A3Eb,2A3Eb,2A3Eb,explicit,false,exposition,2A3Eb,2A3Eb,190,196,196,202,8570,8886,9171,9567,e1f656dc9a5b270bcc35ab1768e90f07b9b5b13c3be365ae407f623f527c741e,ce0932e104bfe4d86eb7305cac151cfe6461ec5e4f57ba7b5e6e60f6384511c0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3F,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,15,2A3F,2A3F,2A3F,explicit,false,exposition,2A3F,2A3F,197,219,203,224,8886,9537,9567,10288,5536eaea1f5a382e798c5afae3ccf89978a31e1ae7d00f85b7f84fb404b5c023,82b2e5e0ea412e9d2e622e24040cea86e7e8c0e8e96b5ed430e61535a6bbe4d0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-APP-2A3-SEG-2A3FB,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,16,2A3Fb,2A3Fb,2A3Fb,explicit,false,exposition,2A3Fb,2A3Fb,220,246,225,251,9537,10517,10288,11321,ee7e4ed827ea7c0d531025a2ee63222623fb3b724757e7619075172b66278011,b4ff9b10293dc4408cd7b6a91070a5bef6f871a7a3d90adfbc15ce16bc57859e,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
