schema_version,record_type,id,unit_id,rights_id,source_text,target_text,source_locator,target_locator,classification,rationale,correction_applied,math_ordinal,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,source_correction,O007-CORR-0376,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,\|\phi(x)-\phi(x_0\|<\delta,\|\phi(x)-\phi(x_0)\|<\delta,authority/fremlin/source/mt2.2016/mt2a3.tex:98,source/id-ID/mt2a3.tex:99,source-notation-typo,The norm delimiter is unbalanced in the authority; the surrounding Euclidean estimate requires the closing parenthesis.,true,87,dc5d657f961f84856372df9fa3dc1458b289d809baac74770f08368521d656f3,d0b8f8ad9c4cf9ea1c1d7020e4611a2f7aa6e4d1c7e315cd6511a148bd35202c,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0377,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,"U(x;\rho'_0,\ldots,\rho'_n;\delta')\subseteq G","U(x;\rho'_0,\ldots,\rho'_n;\delta')\subseteq H",authority/fremlin/source/mt2.2016/mt2a3.tex:264,source/id-ID/mt2a3.tex:269,source-proof-logic-typo,This is the neighborhood witnessing membership in H; the authority's G contradicts the immediately paired G-neighborhood.,true,240,d49ac2431e6e29826dbd1312555aa13e5e860c6eb9c8c9fb30f44169cf073802,639127a8990a3fa27c9e4910ce42e81b13e7949ea54ddbaed4f5882793c6d8b8,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0378,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,"\theta(\phi(y),\phi(x))\le\bover12\epsilon","\theta_i(\phi(y),\phi(x))\le\bover12\epsilon",authority/fremlin/source/mt2.2016/mt2a3.tex:365,source/id-ID/mt2a3.tex:372,source-index-typo,"The condition is indexed by i; the proof selects rho_ij for each i, so theta_i is required.",true,342,d4d0157801c5d667b12d01aad51ed7cb338fee4968cd946f800d9f203aca136a,a349591b3c3b01090602a7ea3821d929282adfb661e71404e4ad251961659332,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0379,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,"U(x;\rho_0),\ldots,\rho_n;\delta)\subseteq G","U(x;\rho_0,\ldots,\rho_n;\delta)\subseteq G",authority/fremlin/source/mt2.2016/mt2a3.tex:497,source/id-ID/mt2a3.tex:505,source-neighborhood-syntax-typo,The authority has an unmatched parenthesis and comma; the neighborhood notation must list rho_0 through rho_n inside one argument.,true,470,fb3f7f836936445b44a9d7bec3797b9f0810f366f55659a3f03a9356a8b9f0ae,60d709e4629a009e1206cc3179c0ec56f677b82fa9b307e5cd5b8ee5732340cd,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0380,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,an open set G containing X,himpunan terbuka G yang memuat x,authority/fremlin/source/mt2.2016/mt2a3.tex:541,source/id-ID/mt2a3.tex:554,source-quantifier-typo,The convergence proof is centered at x; requiring an open set containing X makes no sense and contradicts the following neighborhood construction.,true,546,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,2d711642b726b04401627ca9fbac32f5c8530fb1903cc4db02258717921a4881,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0381,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,F\cup\Cal G_0\supseteq K,F\cup\bigcup\Cal G_0\supseteq K,authority/fremlin/source/mt2.2016/mt2a3.tex:704,source/id-ID/mt2a3.tex:718,source-set-union-typo,"The filter construction requires the union of the finite family of sets in Cal G_0, not the family symbol itself.",true,729,4d05985379a75bf5ec689bc96092e58ba9bf6490893bfc6039c3c5b5b79e8035,bffb8ce3e08af93f9dec880c278102a250865344efe196d2b6ec87c497467750,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0382,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,"\phi^{-1}[U(y;\theta_i;\epsilon)]=\{x:\theta(\phi(x),y)<\epsilon\}","\phi^{-1}[U(y;\theta_i;\epsilon)]=\{x:\theta_i(\phi(x),y)<\epsilon\}",authority/fremlin/source/mt2.2016/mt2a3.tex:795,source/id-ID/mt2a3.tex:814,source-index-typo,"The displayed preimage is the i-th pseudometric neighborhood, so the predicate must use theta_i.",true,838,696ac8232ef8ce045ff89b50edd70be1e493658949be24e2a9364ba79bd00001,cf5e7d809ddbed02f6765670a3f7b8efb7269f63368ab5c6efdcb1edb2a33075,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0383,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,\limsup_{x\to\Cal F}f(x)+g(x)\le\limsup_{x\to\Cal F}f(x)+\limsup_{x\to\Cal F}g(x),\limsup_{x\to\Cal F}(f(x)+g(x))\le\limsup_{x\to\Cal F}f(x)+\limsup_{x\to\Cal F}g(x),authority/fremlin/source/mt2.2016/mt2a3.tex:857,source/id-ID/mt2a3.tex:876,source-parentheses-typo,The limsup inequality applies to the sum f(x)+g(x); the source omits the grouping parentheses.,true,896,84beb4638646f8cd00c08a46d78b4603f3b617d0f35d08bb66a788b6daa1c234,443fa2c6ae71387d5b92ddda5a9b50b595ad787c45ccfad17dcfc4549be51454,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0384,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,\liminf_{x\to\Cal F}f(x)+g(x)\ge\liminf_{x\to\Cal F}f(x)+\liminf_{x\to\Cal F}g(x),\liminf_{x\to\Cal F}(f(x)+g(x))\ge\liminf_{x\to\Cal F}f(x)+\liminf_{x\to\Cal F}g(x),authority/fremlin/source/mt2.2016/mt2a3.tex:860,source/id-ID/mt2a3.tex:879,source-parentheses-typo,The liminf inequality applies to the grouped sum f(x)+g(x); the source omits the grouping parentheses.,true,897,52389081b4763933049f5f57988f77f80ff1365a3ce493022b7277afc14edce6,18d5cd114585f7e7bece09cef34ae6202f13cee50125b807c6ad2f1e6a787ca1,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0385,O007-FREMLIN-V2-APP-2A3,O007-RIGHTS-FREMLIN-DSL,b=\lim_{x\to\Cal F}(x),b=\lim_{x\to\Cal F}g(x),authority/fremlin/source/mt2.2016/mt2a3.tex:871,source/id-ID/mt2a3.tex:890,source-variable-omission,The preceding sentence introduces b as the limit of g; the authority drops g(x) inside the limit.,true,905,0219cd9010c9415be10b419df7268c56fef6b6b89a9975810db0c8447deb2dcf,6633dcdacb353a19bfdb00ff80a734ad6fe6c49f77ac959cc6b9ce53e8d5d6a0,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-COMPLETE-CORPUS-SOURCE-CORRECTIONS""]}"
