schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,correction_ids,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0001,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263-INTRO,1,263-intro,263-intro,9,9,235,244,237,246,\BbbR^r,\BbbR^r,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,$,,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0002,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263-INTRO,2,263-intro,263-intro,14,14,324,339,329,344,\eightBbb R^r,\eightBbb R^r,5b833615bf673f1db48a07fe9061e0b3d6b2e5324fba7809c52af5f40f19db02,5b833615bf673f1db48a07fe9061e0b3d6b2e5324fba7809c52af5f40f19db02,4f0e18fd08de8c6fc697952ec17db00e7c3ad3b53650043f7e9ff4646ee1d899,$,,4f0e18fd08de8c6fc697952ec17db00e7c3ad3b53650043f7e9ff4646ee1d899,4f0e18fd08de8c6fc697952ec17db00e7c3ad3b53650043f7e9ff4646ee1d899,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0003,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263-INTRO,3,263-intro,263-intro,18,18,473,482,485,494,\BbbR^r,\BbbR^r,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,$,,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0004,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263-INTRO,4,263-intro,263-intro,24,24,870,875,909,914,\mu,\mu,492247e1bab15272d1e53b8015c042bf6fa0cb8f23ec52cad93d6ba80dafb804,492247e1bab15272d1e53b8015c042bf6fa0cb8f23ec52cad93d6ba80dafb804,492247e1bab15272d1e53b8015c042bf6fa0cb8f23ec52cad93d6ba80dafb804,$,,492247e1bab15272d1e53b8015c042bf6fa0cb8f23ec52cad93d6ba80dafb804,492247e1bab15272d1e53b8015c042bf6fa0cb8f23ec52cad93d6ba80dafb804,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0005,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263-INTRO,5,263-intro,263-intro,25,25,908,917,952,961,\BbbR^r,\BbbR^r,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,$,,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0006,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263A,6,263A,263A,35,35,1226,1229,1283,1286,T,T,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,$,,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0007,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263A,7,263A,263A,35,35,1240,1251,1306,1317,r\times r,r\times r,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,9ee1ac0dea32efb0e12f4547c26a3ca0c1286f660c0d7814320dcca70fc8a3e5,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,$,,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,0beaf518c84db75843bc5b6d53866f1a11b33be1bfee919b37481ebf013af9a1,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0008,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263A,8,263A,263A,36,36,1268,1271,1328,1331,T,T,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,$,,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,e632b7095b0bf32c260fa4c539e9fd7b852d0de454e9be26f24d0d6f91d069d3,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0009,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263A,9,263A,263A,37,37,1298,1307,1361,1370,\BbbR^r,\BbbR^r,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,$,,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S263-FORMULA-0010,O007-FREMLIN-V2-S263,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S263-SEG-263A,10,263A,263A,37,37,1325,1337,1402,1414,J=|\det T|,J=|\det T|,21b1c13ddbe2fabeeda556214efd94af64eefcf0a39dadaea062584dcdb28b40,21b1c13ddbe2fabeeda556214efd94af64eefcf0a39dadaea062584dcdb28b40,24315b42ece6d334c9dd9c6aefc9628e962d61c4d5efcff49476f4348676bb64,$,,24315b42ece6d334c9dd9c6aefc9628e962d61c4d5efcff49476f4348676bb64,24315b42ece6d334c9dd9c6aefc9628e962d61c4d5efcff49476f4348676bb64,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
