schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,provenance
1.1.0,relation,O007-FREMLIN-V1-S132-REL-001,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132XA,semantic-child-of,O007-FREMLIN-V1-S132-SEG-132X,1,"{""basis"":""commented exercise header restored as an additive child"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-002,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-SEG-132YA,semantic-child-of,O007-FREMLIN-V1-S132-SEG-132Y,2,"{""basis"":""commented exercise header restored as an additive child"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-003,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-PROOF-132A,proof-of,O007-FREMLIN-V1-S132-RESULT-132A,3,"{""basis"":""complete source proof association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-004,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-PROOF-132C,proof-of,O007-FREMLIN-V1-S132-RESULT-132C,4,"{""basis"":""complete source proof association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-005,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-PROOF-132E,proof-of,O007-FREMLIN-V1-S132-RESULT-132E,5,"{""basis"":""complete source proof association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-006,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-HINT-132XA-01,hint-for,O007-FREMLIN-V1-S132-EXERCISE-132XA,6,"{""basis"":""active source Hint association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-007,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-HINT-132XA-02,hint-for,O007-FREMLIN-V1-S132-EXERCISE-132XA,7,"{""basis"":""active source Hint association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-008,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-HINT-132XA-03,hint-for,O007-FREMLIN-V1-S132-EXERCISE-132XA,8,"{""basis"":""active source Hint association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-009,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-HINT-132XA-04,hint-for,O007-FREMLIN-V1-S132-EXERCISE-132XA,9,"{""basis"":""active source Hint association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S132-REL-010,O007-FREMLIN-V1-S132,O007-FREMLIN-V1-S132-HINT-132XA-05,hint-for,O007-FREMLIN-V1-S132-EXERCISE-132XA,10,"{""basis"":""active source Hint association"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
