schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132-INTRO,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,1,132,132-intro,132-intro,unmarked-unit-introduction,false,exposition,Section introduction,Pengantar bagian,10,16,10,16,162,543,155,546,044dd67737e9cd18aa0ec2807c532c80b83a6cb1d4b02a9ebe4399c482b09cf3,6dc3803b539f312311bf1862797cf713a5b6983d156e390368be12d35fdc77ce,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132A,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,2,132A,132A,132A,explicit,false,result,Outer measure from a measure,Ukuran luar dari suatu ukuran,17,102,17,102,543,3443,546,3695,389677b28590f0543419fecc63b316289a15f26863492df4df808a297d38eaf4,dbe3ae7b3a4ef41ffc9396d558423aef4ac63ee1c65e6fffdd172423064ea665,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132B,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,3,132B,132B,132B,explicit,false,definition,Definition of the derived outer measure,Definisi ukuran luar turunan,103,125,103,124,3443,4416,3695,4737,2869b56b376ad83475772d32e61da178544ef88feb33842fca479655a02b5701,c0c2471a21f995d0bc34377c6f8060f7cd6e20b35d66683eaf946fae9223d75e,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132C,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,4,132C,132C,132C,explicit,false,result,Lebesgue outer measure,Ukuran luar Lebesgue,126,164,125,158,4416,5597,4737,5985,f1241bc9913f7ce4e02da690d361f13c58252d68c8b3f874387a35904e7be372,629e8cbff60aed8cbdbbee6656d64b7100aee762af493cd45439f6c81c0c0947,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132D,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,5,132D,132D,132D,explicit,false,definition,Measurable envelopes,Selubung terukur,165,174,159,167,5597,6076,5985,6501,f455002fef415e8ac052bd59b18cf02bac0e0b2f8bbdc582c071e0f73d132a9f,482632fdd254da02ee06664a27dd5e05c9194022890c59b431b67ef18af6cdc9,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132E,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,6,132E,132E,132E,explicit,false,result,Measurable-envelope lemma,Lemma selubung terukur,175,254,168,249,6076,9178,6501,9872,8da16b25354eeaa902a04039139529fc667a68859189c05a1ff5b51586d098d4,58eee21b0a15087575f18fe34c269e1d2d6cf0e75c4facab9762c880fc125234,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132F,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,7,132F,132F,132F,explicit,false,definition,Full outer measure,Ukuran luar penuh,255,265,250,259,9178,9679,9872,10404,6456197b7418d3b99f1338de4f4f29397f8427ac86325c89170a42a44f3b1595,fa587bb463c234a1799ee7945a6a4a46d6d24431132b4393923772c907f202cb,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132X,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,8,132X,132X,132X,explicit,false,exercise,Basic exercises,Latihan dasar,266,281,260,274,9679,10409,10404,11205,db87871d22bcb777a74f5d592c56ae6d9c38a639003053014e737d98e86fe21c,0802f066a723a8fcb80c31e84b0cadd5c08e69001f576869fb8c7679dfa0af79,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132XA,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S132-SEG-132X,9,132X,132Xa,132Xa,implicit-subanchor,true,exercise,132Xa,132Xa,266,281,260,274,9679,10409,10404,11205,db87871d22bcb777a74f5d592c56ae6d9c38a639003053014e737d98e86fe21c,0802f066a723a8fcb80c31e84b0cadd5c08e69001f576869fb8c7679dfa0af79,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132XB,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,10,132Xb,132Xb,132Xb,explicit,false,exercise,132Xb,132Xb,282,287,275,281,10409,10683,11205,11510,cac435c74f608bada97a7fd96c9b9a85570f29598cbb826f7e17e84e5f088b02,c263fb0df8c44e78aaee2221567fa5899c5ac2178df5dae9aeb9acfc213cda0f,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132XC,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,11,132Xc,132Xc,132Xc,explicit,false,exercise,132Xc,132Xc,288,293,282,286,10683,10914,11510,11750,b80cb04f674296535fbb3bbd0baf9511350a81323a98497144888e9db33514cd,036ea6d5b706faddb6c534e059f4b96462d074af94796d056ef8ed7ba8d02178,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132XD,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,12,132Xd,132Xd,132Xd,explicit,false,exercise,132Xd,132Xd,294,301,287,294,10914,11277,11750,12144,ba5cda34e8f8e4e09fd8b2cac8fb9a97df9e2a268cf521c4ac643ab7d48e6322,17f0a9477d31db322fb0c6d408ed47d785fb1d09c29dea20a27bf67dfd21980c,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S132-SEG-132XE,O007-FREMLIN-V1-S132,O007-RIGHTS-FREMLIN-DSL,,13,132Xe,132Xe,132Xe,explicit,false,exercise,132Xe,132Xe,302,307,295,300,11277,11512,12144,12399,8332daad8d0185b78a324459c0391bc8f4a2ebf635090e567692f0f1f00e5a90,34b2226c4c5edbcf9eaaa1403933e00871acf7877c9595f97a6ea30ee4d4f971,"{""basis"":""exact bounded source and target character ranges with additive S132 semantic anchors"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT132-SOURCE""]}"
