schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121-INTRO,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,,1,121,121-intro,121-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 121 and result 121A.,exposition,Section introduction,Pengantar bagian,10,30,10,29,180,1288,148,1260,c0bbcd44a07b763ff3f5b2685524f74257a81d9629665be97a63a7c039347408,f442c2ac0429cb91cab5d189a93de68bdc3a3c3ad7cbdcd9d9e67703931d9205,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121A,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,,2,121A,121A,121A,explicit,false,,result,Subspace sigma-algebra lemma,Lema aljabar-sigma subruang,31,62,30,65,1288,2457,1260,2477,5c764528c1f1eda777c4e2b1e86398113fcfa60e55b75634b2c91d396023a46a,9d907c108ac582bfdedef0e4d5fc3341aec2d03efdb0c4c6d39671f8e5845511,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121A-PROOF-I,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121A,3,121A,121A-proof-i,121A-proof-i,implicit-subanchor,false,Printed proof clause (i) inside 121A; additive semantic child only.,proof-clause,Printed proof clause,Klausa bukti tercetak,38,42,39,43,1565,1670,1572,1661,d445c1c663ab3c992a0a40d061e88d1fc87d8f0be2565fe9b59dd793af452ecc,4ef52f33fa9babffdb0d090c7f9662d401fc5a0eec5be9508aca9ee4fdb2ef1a,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121A-PROOF-II,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121A,4,121A,121A-proof-ii,121A-proof-ii,implicit-subanchor,false,Printed proof clause (ii) inside 121A; additive semantic child only.,proof-clause,Printed proof clause,Klausa bukti tercetak,43,48,44,50,1670,1860,1661,1847,e65615a5d931fdc8327018e5c7543b1ac5d30dcca922f11ea35f4ba49549e322,cbc6b241321c5b419da97ae2d179029591bc099f824d43a7155b3ae2fec2388e,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121A-PROOF-III,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121A,5,121A,121A-proof-iii,121A-proof-iii,implicit-subanchor,false,Printed proof clause (iii) inside 121A; additive semantic child only.,proof-clause,Printed proof clause,Klausa bukti tercetak,49,53,51,55,1860,2149,1847,2167,1f083a44224e2c0adb029c3c6f2ad26c7f4b77b0b2ed5805e532b1d14f8d5bab,6779ebaaf7e1cf34a0fa8375769b9b494de7d8039d47ae2a59a3c39247dec4b9,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121B,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,,6,121B,121B,121B,explicit,false,,result,Equivalent measurability tests,Uji keterukuran yang ekuivalen,63,117,66,125,2457,4471,2477,4390,72a363387c414a506ffd3f06d921dc48680659fa4531afff313cb8253a5ca9f1,d651e2a79d000a10677d6865074699638e81c726d508ddb4fc77ac35413e8036,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121B-PROOF-I-TO-II,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B,7,121B,121B-proof-i-to-ii,121B-proof-i-to-ii,implicit-subanchor,false,Printed proof clause (i)$\Rightarrow$(ii) inside 121B; additive semantic child only.,proof-clause,Printed proof clause,Klausa bukti tercetak,76,87,81,92,3088,3474,3128,3477,8455d6ef119f1e53215997ea496d5da3419f9bdfb25b88cd5051efa29fca937c,ce41c852b49ae924043b3e566ffac6cd4aab61ebe2401c02fa5b35b0da254da9,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121B-PROOF-II-TO-III,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B,8,121B,121B-proof-ii-to-iii,121B-proof-ii-to-iii,implicit-subanchor,false,Printed proof clause (ii)$\Rightarrow$(iii) inside 121B; additive semantic child only.,proof-clause,Printed proof clause,Klausa bukti tercetak,88,97,93,103,3474,3791,3477,3767,e88aa822c10863e734e77ddead09a5d246df8c9aa55d73272ad2bc31ebe00184,d6ea5ba91208e31abd7ba0688c1747160f0878b5262eaf91abf4ae2f52d4087f,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121B-PROOF-III-TO-IV,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B,9,121B,121B-proof-iii-to-iv,121B-proof-iii-to-iv,implicit-subanchor,false,Printed proof clause (iii)$\Rightarrow$(iv) inside 121B; additive semantic child only.,proof-clause,Printed proof clause,Klausa bukti tercetak,98,108,104,115,3791,4151,3767,4091,6019648d574af00326b859d135ffbeddffcb656df047fc30be77c492adfff3cf,3fd61365f2ef646dcebab862e77c9acbb09fa17f62722a330187057433d033df,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S121-SEG-121B-PROOF-IV-TO-I,O007-FREMLIN-V1-S121,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S121-SEG-121B,10,121B,121B-proof-iv-to-i,121B-proof-iv-to-i,implicit-subanchor,false,Printed proof clause (iv)$\Rightarrow$(i) inside 121B; additive semantic child only.,proof-clause,Printed proof clause,Klausa bukti tercetak,109,115,116,123,4151,4440,4091,4366,fa4b7fe3b86efbed96cf5c03ffcbad73922d54265ada23a232e1854a26ecf86b,1529a65ac281f2111012dd533c85db90c95755c4cc4f01e97c1037b7cfcb52a9,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
