schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,external_work,provenance
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-001,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111C,pedagogical-reference,O007-FREMLIN-V1-S111-SEG-111XA,1,111C,111C,111Xa,resolved-in-unit,authority/fremlin/source/mt1.2011/mt111.tex:99: time with Exercise 111Xa at some point.,,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-002,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DB,definition-reference,O007-FREMLIN-V1-S111-SEG-111A,2,111Db,111Db,111A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:115: (ii) of the definition in 111A, $X\setminus E$ and $X\setminus",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-003,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DB,definition-reference,O007-FREMLIN-V1-S111-SEG-111A,3,111Db,111Db,111A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:117: F)\in\Sigma$;  by 111A(ii) again, $X\setminus((X\setminus",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-004,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FA,definition-reference,O007-FREMLIN-V1-S111-SEG-111A,4,111F,111Fa,111A,resolved-in-unit,authority/fremlin/source/mt1.2011/mt111.tex:232: by clause (i) of 111A.\ \QeD}   \cmmnt{(In a sense this treatment of,,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-005,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FB,section-reference,,5,111Fb,111Fb,1A1,selected-corpus-pending,authority/fremlin/source/mt1.2011/mt111.tex:242: (In \S1A1 I add a few words to link this presentation to conventional,,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-006,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FC,result-reference,O007-FREMLIN-V1-S111-SEG-111DD,6,111Fc,111Fc,111Dd,resolved-in-unit,authority/fremlin/source/mt1.2011/mt111.tex:291: \header{111Fc}{\bf (c)}\dvro{ If}{ Putting 111Dd above together with,,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-007,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FC,result-reference,O007-FREMLIN-V1-S111-SEG-111DD,7,111Fc,111Fc,111Dd,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:303: $\bigcap_{k\in K}E_k=\bigcap_{n\in\Bbb N}E_{k_n}\in\Sigma$, as in 111Dd.\ \Qed}",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-008,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FD,result-reference,O007-FREMLIN-V1-S111-SEG-111DD,8,111Fd,111Fd,111Dd,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:327: then every $F_{qm}$ belongs to $\Sigma$, by 111Dd or (c) above.   Set",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-009,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FD,definition-reference,O007-FREMLIN-V1-S111-SEG-111A,9,111Fd,111Fd,111A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:329: belongs to $\Sigma$, by 111A(iii).   Set",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-010,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FD,exposition-reference,O007-FREMLIN-V1-S111-SEG-111E,10,111Fd,111Fd,111E,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:331: then $K$ is countable, by 111E and (b-i) of this paragraph.   So",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-011,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FD,local-clause-reference,O007-FREMLIN-V1-S111-SEG-111FB,11,111Fd,111Fd,111Fb(i),resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:331: then $K$ is countable, by 111E and (b-i) of this paragraph.   So",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-012,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FE,result-reference,,12,111Fe,111Fe,1A1Ha,selected-corpus-pending,authority/fremlin/source/mt1.2011/mt111.tex:339: spell one out in 1A1Ha --,,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-013,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111GE,exercise-reference,O007-FREMLIN-V1-S111-SEG-111YE,13,111Ge,111Ge,111Ye,resolved-in-unit,authority/fremlin/source/mt1.2011/mt111.tex:437: much easier;  see 111Ye.)   In fact the,,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-014,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111GE,forward-reference,,14,111Ge,111Ge,"Volume 4, Chapter 42",outside-selected-corpus-unresolved,authority/fremlin/source/mt1.2011/mt111.tex:440: describing Borel sets.   I shall return to this topic in Chapter 42 in Volume 4.,"D. H. Fremlin, Measure Theory, Volume 4, Chapter 42","{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-015,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111XC,notation-reference,,15,111Xc,111Xc,1A1B,selected-corpus-pending,authority/fremlin/source/mt1.2011/mt111.tex:483: $\sigma$-algebra of subsets of $Y$.   (See 1A1B for the notation here.),,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-016,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111-NOTES,summary-reference,O007-FREMLIN-V1-S111-SEG-111E,16,111,111,111E,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:544: section is the one introduced tangentially in 111E-111F, the idea of",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-017,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111-NOTES,summary-reference,O007-FREMLIN-V1-S111-SEG-111F,17,111,111,111F,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:544: section is the one introduced tangentially in 111E-111F, the idea of",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-018,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111-NOTES,result-reference,O007-FREMLIN-V1-S111-SEG-111DD,18,111,111,111Dd,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:555: $\bigcap_{n\in\Bbb N}E_n=X\setminus\bigcup_{n\in\Bbb N}(X\setminus E_n)$ (111Dd) are, if",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-019,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111-NOTES,definition-reference,O007-FREMLIN-V1-S111-SEG-111G,19,111,111,111G,resolved-in-unit,authority/fremlin/source/mt1.2011/mt111.tex:562: collection $\Cal A$ (111G).   The point of the definition here is that,,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-020,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111-NOTES,method-analogy-reference,O007-FREMLIN-V1-S111-SEG-111GA,20,111,111,111Ga,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:569: $u_1,\ldots,u_n$, which is the method corresponding to that of 111Ga-b;",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,xref,O007-FREMLIN-V1-S111-XREF-021,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111-NOTES,method-analogy-reference,O007-FREMLIN-V1-S111-SEG-111GB,21,111,111,111Gb,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt111.tex:569: $u_1,\ldots,u_n$, which is the method corresponding to that of 111Ga-b;",,"{""basis"":""explicit reference in the frozen source; range references are expanded into edges without changing source text"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
