schema_version,record_type,id,unit_id,rights_id,segment_id,exercise_id,source_anchor,semantic_anchor,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,hint_ordinal,provenance
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276XA-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276XA,O007-FREMLIN-V2-S276-EXERCISE-276XA,276Xa,276Xa,698,717,"see the proof of
276B.",lihat bukti 276B.,d957d92dade9563ef58d5f97f45fee89e2d22092897ea32649239beabaf4d06a,c53edfa249d3dd873b20911c378be536eb71b36089aa991f9dfffb655b4c27a6,1,"{""basis"":""active Hint macro associated with 276Xa"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276XB-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276XB,O007-FREMLIN-V2-S276-EXERCISE-276XB,276Xb,276Xb,708,726,put 276Xa together with the argument for 275D.,gabungkan 276Xa dengan argumen untuk 275D.,4b31f4804ce20a35e2c592c37b4811907314d548028851ca5dc2a673a8d2fe97,a9285e1f2c759138fdd5bbf9c038c8c19d917501bb46e0364e8839b9ddc8bc64,1,"{""basis"":""active Hint macro associated with 276Xb"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276XD-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276XD,O007-FREMLIN-V2-S276-EXERCISE-276XD,276Xd,276Xd,719,740,"276B, 274Xj.","276B, 274Xj.",327fea21c08354e8223f000d1ad960449c88501d9323c2ff2a5a225b012cb90b,327fea21c08354e8223f000d1ad960449c88501d9323c2ff2a5a225b012cb90b,1,"{""basis"":""active Hint macro associated with 276Xd"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276XE-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276XE,O007-FREMLIN-V2-S276-EXERCISE-276XE,276Xe,276Xe,725,746,"use the argument of 273Na,
with 276C in place of 273D, and setting $\tilde X_n=X'_n-Z_n$, where
$Z_n$ is an appropriate conditional expectation of $X'_n$.","gunakan
argumen 273Na, dengan 276C menggantikan 273D, dan tetapkan
$\tilde X_n=X'_n-Z_n$, dengan $Z_n$ ekspektasi bersyarat yang sesuai dari
$X'_n$.",92e6625d3646d9ccae9963c5097bf8f24404946d6c9db03a05c2006fcb2f1c72,0c484ed2e53abe141f3bf4858c70c4525014fdcab84cefebfb206f2a696d86ab,1,"{""basis"":""active Hint macro associated with 276Xe"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276XF-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276XF,O007-FREMLIN-V2-S276-EXERCISE-276XF,276Xf,276Xf,734,755,"$\sequencen{a_nX_n}$ is summable and
square-summable a.e.","$\sequencen{a_nX_n}$ dapat
dijumlahkan dan dapat dikuadrat-jumlahkan hampir di mana-mana.",edebfab0684fb4bc7f967122faea70a74c03a559b6787a734192523c231cfa47,50a29530d0ea4c1841976d86d7fbb488bc9dd3a28ccef1dc6f1931f919587379,1,"{""basis"":""active Hint macro associated with 276Xf"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276XG-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276XG,O007-FREMLIN-V2-S276-EXERCISE-276XG,276Xg,276Xg,746,766,276H.,276H.,d7cea339abcc4a74be7c8488a1a3ac04d32c1561921bf169f64d8e2d9e586b3e,d7cea339abcc4a74be7c8488a1a3ac04d32c1561921bf169f64d8e2d9e586b3e,1,"{""basis"":""active Hint macro associated with 276Xg"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276YA-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276YA,O007-FREMLIN-V2-S276-EXERCISE-276YA,276Ya,276Ya,756,776,273Nb.,273Nb.,737d82b69e4fe56010a53dd941331203784ad19c42b2d329de63464edcc38cce,737d82b69e4fe56010a53dd941331203784ad19c42b2d329de63464edcc38cce,1,"{""basis"":""active Hint macro associated with 276Ya"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276YD-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276YD,O007-FREMLIN-V2-S276-EXERCISE-276YD,276Yd,276Yd,771,792,"set
$Z_k=2^{-k}(|X_0|+\ldots+|X_{2^k-1}|)$.    Show that
$\sum_{k=0}^{\infty}\Expn(Z_k)<\infty$.   Show that $|S_n|\le 2Z_{k+1}$
if $2^k<n\le 2^{k+1}$.","tetapkan
$Z_k=2^{-k}(|X_0|+\ldots+|X_{2^k-1}|)$. Tunjukkan bahwa
$\sum_{k=0}^{\infty}\Expn(Z_k)<\infty$. Tunjukkan bahwa
$|S_n|\le 2Z_{k+1}$ jika $2^k<n\le 2^{k+1}$.",441fde05c763beacb9d9e96bb32c8f188304956b5ccfb033f6c869698ff87293,69fb290fba3c57519fae9fdd0201a11fed6ff3e4cef961cbabbcdca690adc081,1,"{""basis"":""active Hint macro associated with 276Yd"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276YE-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276YE,O007-FREMLIN-V2-S276-EXERCISE-276YE,276Ye,276Ye,781,803,"take a non-decreasing
sequence $\sequencen{\Sigma_n}$ to which $\sequencen{X_n}$ is adapted.
Set $Y_n=X_n$ when $|X_n|\le n$, $0$ otherwise.   Let $U_n$ be a
conditional expectation of $Y_n$ on $\Sigma_{n-1}$ and set
$Z_n=Y_n-U_n$.   Use ideas from 273H, 276C and 276Yd above to show that
$\bover{1}{n+1}\sum_{i=0}^nV_i\to 0$ a.e.\ for $V_i=Z_i$, $V_i=U_i$,
$V_i=X_i-Y_i$.","ambil suatu barisan
tak menurun $\sequencen{\Sigma_n}$ yang menjadi tempat penyesuaian
$\sequencen{X_n}$. Tetapkan $Y_n=X_n$ ketika $|X_n|\le n$, dan $0$ jika
tidak. Misalkan $U_n$ suatu ekspektasi bersyarat dari $Y_n$ pada
$\Sigma_{n-1}$ dan tetapkan $Z_n=Y_n-U_n$. Gunakan gagasan dari 273H,
276C, dan 276Yd di atas untuk menunjukkan bahwa
$\bover{1}{n+1}\sum_{i=0}^nV_i\to 0$ hampir di mana-mana untuk
$V_i=Z_i$, $V_i=U_i$, dan $V_i=X_i-Y_i$.",1cd5a31cc1a6ad728a35157f934a171ca97b8e0bdf34b07c4047cb23c1020169,e0324b21cff46195edd60de71ffbefefe990c1c97ab7bec7c13603eab5283c87,1,"{""basis"":""active Hint macro associated with 276Ye"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276YF-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276YF,O007-FREMLIN-V2-S276-EXERCISE-276YF,276Yf,276Yf,792,815,"arrange that
$\{\omega:X_{n+1}(\omega)\ne 0\}=E_n
\subseteq\{\omega:|X_{n+1}(\omega)-X_n(\omega)|\ge 1\}$, where
$\sequencen{E_n}$ is an independent sequence of sets and
$\mu E_n=\Bover1{n+1}$ for each $n$.","atur agar
$\{\omega:X_{n+1}(\omega)\ne 0\}=E_n
\subseteq\{\omega:|X_{n+1}(\omega)-X_n(\omega)|\ge 1\}$, dengan
$\sequencen{E_n}$ suatu barisan bebas himpunan dan
$\mu E_n=\Bover1{n+1}$ untuk setiap $n$.",278c8ab9c91feed4e4f9038b410eedc4a36e692f5157120de3db6524821aaddd,7640a2d029613ffa1e0a1578d1d2461437efd17ede05f4f38e9691fe1d14c7fd,1,"{""basis"":""active Hint macro associated with 276Yf"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V2-S276-HINT-276YG-01,O007-FREMLIN-V2-S276,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S276-SEG-276YG,O007-FREMLIN-V2-S276-EXERCISE-276YG,276Yg,276Yg,802,825,"start by devising a
uniformly bounded sequence $\sequencen{U_n}$ such that
$\lim_{n\to\infty}\Expn(|U_n|)=0$ but
$\sequencen{\bover1{n+1}(U_0+\ldots+U_n)}$ does not converge to $0$
almost everywhere.   Now repeat your construction in such a context that
the $U_n$ can be derived from an identically distributed martingale
difference sequence by the formulae of 276Ye.","mulailah dengan menyusun suatu barisan terbatas
seragam $\sequencen{U_n}$ sedemikian sehingga
$\lim_{n\to\infty}\Expn(|U_n|)=0$, tetapi
$\sequencen{\bover1{n+1}(U_0+\ldots+U_n)}$ tidak konvergen ke $0$ hampir
di mana-mana. Sekarang ulangi konstruksi Anda dalam konteks sedemikian
rupa sehingga $U_n$ dapat diturunkan dari suatu barisan selisih martingal
yang berdistribusi identik melalui rumus-rumus dalam 276Ye.",e5871d122fef362b513bcc7ce3e5f6b0336a7e9c84453c43ff247a0fd3818c6d,d71151e16aab500d2ec67d9efbd91176b697c7ac0c1083133eb474523a3e3c35,1,"{""basis"":""active Hint macro associated with 276Yg"",""kind"":""source-derived-hint-map""}"
