schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-001,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123A,result-reference,O007-FREMLIN-V1-S122-SEG-122NC,1,123A,123A,122Nc,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt123.tex:28: a conegligible set $\dom f_n\subseteq X$, as in 122Nc, and the limit","{""basis"":""literal printed source expression '122Nc'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-002,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123A,result-reference,O007-FREMLIN-V1-S121-SEG-121FA,2,123A,123A,121Fa,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt123.tex:34: \noindent as in 121Fa.}  \dvro{The}{You would miss no important idea if,"{""basis"":""literal printed source expression '121Fa'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-003,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S122-SEG-122OD,3,123A,123Aa,122Od,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt123.tex:44: that, by 122Od, $\sequencen{\int f_n}$ is a","{""basis"":""literal printed source expression '122Od'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-004,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S122-SEG-122P,4,123A,123Aa,122P,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt123.tex:52: $f_n\restr E_n$ is measurable (122P);  let $E^*$ be a measurable,"{""basis"":""literal printed source expression '122P'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-005,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S112-SEG-112CE,5,123A,123Aa,112Ce,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt123.tex:73: \noindent (112Ce).   In particular, $\mu H(a)<\infty$ for every $a$.","{""basis"":""literal printed source expression '112Ce'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-006,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S121-SEG-121EH,6,123A,123Aa,121Eh,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt123.tex:92: Because every $f_n\restr E$ is measurable (121Eh), so is","{""basis"":""literal printed source expression '121Eh'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-007,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S121-SEG-121FA,7,123A,123Aa,121Fa,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt123.tex:93: $f\restr E=\lim_{n\to\infty}f_n\restr E$ (121Fa).,"{""basis"":""literal printed source expression '121Fa'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-008,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S122-SEG-122G,8,123A,123Aa,122G,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt123.tex:101: in the proof of 122G, $H=\{x:g(x)\ne 0\}$ has finite measure, and","{""basis"":""literal printed source expression '122G'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-009,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S112-SEG-112CF,9,123A,123Aa,112Cf,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt123.tex:114: Consequently $\lim_{n\to\infty}\mu G_n=0$ (112Cf).,"{""basis"":""literal printed source expression '112Cf'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S123-XREF-010,O007-FREMLIN-V1-S123,O007-FREMLIN-V1-S123-SEG-123AA,result-reference,O007-FREMLIN-V1-S122-SEG-122JA,10,123A,123Aa,122Ja,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt123.tex:134: satisfies the conditions of Lemma 122Ja,","{""basis"":""literal printed source expression '122Ja'; ranges expand to typed atomic edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
