schema_version,record_type,id,unit_id,rights_id,segment_id,exercise_id,source_anchor,semantic_anchor,source_line_start,target_line_start,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,hint_ordinal,provenance
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134XA-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134XA,O007-FREMLIN-V1-S134-EXERCISE-134XA,134Xa,134Xa,955,946,"start with simple functions
$f$.",mulailah dengan fungsi sederhana $f$.,9879d2f6c9e923b737cd169bf1439e1e996f7598d6125a1bdc434d179994d28a,111da7d213acd0bac393f65dcde0d24f311793865f5840849d82ed0df5ec73e4,1,"{""basis"":""active Hint macro associated with 134Xa"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134XC-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134XC,O007-FREMLIN-V1-S134-EXERCISE-134XC,134Xc,134Xc,967,958,"use the
method of 134B, taking the relation $\sim$ on a suitable bounded subset
of $C$ in place of $\coint{\tbf{0},\tbf{1}}$.","gunakan metode 134B, dengan mengambil relasi $\sim$ pada subhimpunan
berbatas yang sesuai dari $C$ sebagai pengganti
$\coint{\tbf{0},\tbf{1}}$.",1e16d5c4d5a5180b0edf19b3f83df5defd68dd68309788456ecf4509851dbe98,16846a6ea764d38ae5541d1c683b2b23471dc76f9bdb6f491d1812481dbc7ed0,1,"{""basis"":""active Hint macro associated with 134Xc"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134XE-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134XE,O007-FREMLIN-V1-S134-EXERCISE-134XE,134Xe,134Xe,999,994,"apply 134Fa to each set
$E\cap B(\tbf{0},n)$.","terapkan 134Fa pada setiap himpunan $E\cap B(\tbf{0},n)$.",6b94f6deac22afb1cd43b36fb1c8e950e8bd509bf92e19f5a5f575bf38c8e1c8,7e0e256ea3fa94c3c314d698b4bf03d9e26b3ccc583af998fef5c54fda5b2849,1,"{""basis"":""active Hint macro associated with 134Xe"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134YB-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134YB,O007-FREMLIN-V1-S134-EXERCISE-134YB,134Yb,134Yb,1050,1045,"take $n_k$ such that the measure of
$\{x:\|x\|\le k,\,|f_k(x)-f_{k,n_k}(x)|\ge 2^{-k}\}$ is at most $2^{-k}$
for each $k$.","ambil $n_k$ sedemikian sehingga ukuran
$\{x:\|x\|\le k,\,|f_k(x)-f_{k,n_k}(x)|\ge 2^{-k}\}$ paling besar $2^{-k}$
untuk setiap $k$.",03d3c6212b24a59ee755833d875a02947a978bfb898ef949dbcddeefb61812b0,2ae0ac1868e94e24bea5a4196b0c42b0e8befed27c2421b3b7c77457ef29871c,1,"{""basis"":""active Hint macro associated with 134Yb"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134YC-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134YC,O007-FREMLIN-V1-S134-EXERCISE-134YC,134Yc,134Yc,1058,1052,"Deal successively with the cases (i) 
$f=\chi I$ where $I$ is a half-open interval 
(ii) $f=\chi(\bigcup_{j\le n}I_j)$ where $I_0,\ldots,I_n$ are disjoint 
half-open intervals (iii)
$f=\chi E$ where $E$ is a measurable set of finite measure (iv) $f$ is a
simple function (v) general $f$, using 134Yb at steps (iii) and (v).","Tangani secara berturut-turut kasus-kasus
(i) $f=\chi I$ dengan $I$ suatu interval setengah terbuka
(ii) $f=\chi(\bigcup_{j\le n}I_j)$ dengan $I_0,\ldots,I_n$ interval-interval
setengah terbuka yang saling lepas (iii) $f=\chi E$ dengan $E$ suatu
himpunan terukur berukuran berhingga (iv) $f$ suatu fungsi sederhana
(v) $f$ umum, dengan menggunakan 134Yb pada langkah (iii) dan (v).",0db88290d9943841d741aee31dfafe465f47f706f160e18a7c8ad8ee215219d3,5cbcc44fd0fade69a3810ce27a1dbb794b30dff977db64dcc9bda88351f11bb2,1,"{""basis"":""active Hint macro associated with 134Yc"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134YD-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134YD,O007-FREMLIN-V1-S134-EXERCISE-134YD,134Yd,134Yd,1073,1066,"for
(i)$\Rightarrow$(iii), use 134Yc and 131Ya;  for (ii)$\Rightarrow$(i)
use 121D.
This is a version of {\bf Lusin's theorem}.","untuk
(i)$\Rightarrow$(iii), gunakan 134Yc dan 131Ya; untuk (ii)$\Rightarrow$(i)
gunakan 121D.
Ini merupakan suatu versi {\bf teorema Lusin}.",94899f5daad95825a57d66748e0fbb6ed59bf27b765c57a24a4c72db15563080,5ca5de432b0bd38fe0be64951bd450b54a2233e554d2e1180b8a93593e4a50b8,1,"{""basis"":""active Hint macro associated with 134Yd"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134YE-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134YE,O007-FREMLIN-V1-S134-EXERCISE-134YE,134Ye,134Ye,1082,1075,"Show first that $[a,1]$
belongs to the domain of $\nu$ for every $a\in[0,1]$, and hence that
every half-open interval of length at most $1$ belongs to the domain of
$\nu$;  show that $\nu\coint{a,a+2^{-n}}=2^{-n}$ for every $a\in\Bbb R$,
$n\in\Bbb N$, and hence that $\nu\coint{a,b}=b-a$ whenever $a<b$.","Tunjukkan
terlebih dahulu bahwa $[a,1]$ termasuk dalam domain $\nu$ untuk setiap
$a\in[0,1]$, dan karenanya bahwa setiap interval setengah terbuka dengan
panjang paling besar $1$ termasuk dalam domain $\nu$; tunjukkan bahwa
$\nu\coint{a,a+2^{-n}}=2^{-n}$ untuk setiap $a\in\Bbb R$,
$n\in\Bbb N$, dan karenanya bahwa $\nu\coint{a,b}=b-a$ setiap kali $a<b$.",4cc9808af5a77e5412a9e5bd182b6dee2e7895a47d8fa1cf861fe25e67156e0c,7870c87c8f5181ccd6384781f55aa4d1d633ec478ebf45232a22547e4da53d9c,1,"{""basis"":""active Hint macro associated with 134Ye"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134YG-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134YG,O007-FREMLIN-V1-S134-EXERCISE-134YG,134Yg,134Yg,1099,1093,"show that the set $\Phi$ of
functions $f$ with this property satisfies the conditions of 122Yb.","tunjukkan bahwa himpunan $\Phi$ dari
fungsi-fungsi $f$ dengan sifat ini memenuhi syarat-syarat 122Yb.",6da02a05539a902a2845c07b0ab01180e9997b93db673e1eccb449a2886cfc42,25d7fdcbe2f5263e678e7b3c353ffa2fb524f0ec88b41b0ad963710d6756bfa5,1,"{""basis"":""active Hint macro associated with 134Yg"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134YL-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134YL,O007-FREMLIN-V1-S134-EXERCISE-134YL,134Yl,134Yl,1127,1123,"for each
$n\in\Bbb N$, express $[0,1]^2$ as the union of $4^n$ closed squares of
side $2^{-n}$;  call the set of these squares $\Cal D_n$.   Construct
continuous $f_n:[0,1]\to[0,1]^2$, families
$\langle I_D\rangle_{D\in\Cal D_n}$ inductively in such a way that each
$I_D$ is a closed interval of length $4^{-n}$ and 
$f_m[I_D]\subseteq D$ whenever $D\in\Cal D_n$ and $m\ge n$.
The induction will proceed more smoothly if you suppose that the path
$f_n$ enters each square in $\Cal D_n$ at a corner and leaves at an
adjacent corner.   Take $f=\lim_{n\to\infty}f_n$.  This is a special
kind of {\bf Peano} or {\bf space-filling} curve.","untuk
setiap $n\in\Bbb N$, nyatakan $[0,1]^2$ sebagai gabungan $4^n$ persegi
tertutup yang panjang sisinya $2^{-n}$; sebut himpunan persegi-persegi ini
$\Cal D_n$. Bangun fungsi-fungsi kontinu $f_n:[0,1]\to[0,1]^2$ dan
keluarga-keluarga $\langle I_D\rangle_{D\in\Cal D_n}$ secara induktif
sedemikian sehingga setiap $I_D$ merupakan interval tertutup yang panjangnya
$4^{-n}$ dan $f_m[I_D]\subseteq D$ setiap kali $D\in\Cal D_n$ dan
$m\ge n$. Induksi akan berjalan lebih lancar jika Anda mengandaikan bahwa
lintasan $f_n$ memasuki setiap persegi dalam $\Cal D_n$ pada salah satu
sudut dan keluar pada sudut yang bersebelahan. Ambil
$f=\lim_{n\to\infty}f_n$. Ini merupakan jenis khusus kurva {\bf Peano} atau
kurva {\bf pengisi ruang}.",00e6b574b7775fbb28851154b21256b07b40648f8dcb76766f248573e91d2863,ef29c6725f5a5119cc83713a333da48dc85607407983a9adc902dfd177730e5f,1,"{""basis"":""active Hint macro associated with 134Yl"",""kind"":""source-derived-hint-map""}"
1.1.0,hint,O007-FREMLIN-V1-S134-HINT-134YO-01,O007-FREMLIN-V1-S134,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S134-SEG-134YO,O007-FREMLIN-V1-S134-EXERCISE-134YO,134Yo,134Yo,1155,1151,"using the
construction suggested in 134Yl, and setting
$H=f^{-1}[([0,1]\setminus\Bbb Q)^2]$, $f\restr H$ will be an isomorphism
between $(H,\mu_{1,H})$ and $(f[H],\mu_{2,f[H]})$, writing $\mu_{1,H}$
and $\mu_{2,f[H]}$ for the subspace measures.","dengan menggunakan konstruksi yang
disarankan dalam 134Yl, dan menetapkan
$H=f^{-1}[([0,1]\setminus\Bbb Q)^2]$, $f\restr H$ akan merupakan isomorfisme
antara $(H,\mu_{1,H})$ dan $(f[H],\mu_{2,f[H]})$, dengan menuliskan
$\mu_{1,H}$ dan $\mu_{2,f[H]}$ untuk ukuran-ukuran subruang.",dbdc6e3f7a4081b5392df9f5f97610a94a0a20675eab46c69af6b9795a921a68,c8fbf4863457a3bf8bb2b92724ea9c5b1871b7cdd334378f65257e8732fcc2c2,1,"{""basis"":""active Hint macro associated with 134Yo"",""kind"":""source-derived-hint-map""}"
