schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,provenance
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0001,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5-INTRO,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5A,1,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0002,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5A,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5B,2,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0003,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5B,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5C,3,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0004,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5C,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5D,4,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0005,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5D,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5E,5,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0006,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5E,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5EB,6,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0007,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5EB,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5EC,7,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0008,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5EC,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5F,8,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0009,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5F,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5G,9,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0010,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5G,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5H,10,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0011,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5H,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5I,11,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0012,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5I,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5IA,12,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0013,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5IA,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5IB,13,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0014,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5IB,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5IC,14,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-APP-2A5-REL-0015,O007-FREMLIN-V2-APP-2A5,O007-FREMLIN-V2-APP-2A5-SEG-2A5IC,precedes,O007-FREMLIN-V2-APP-2A5-SEG-2A5ID,15,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
