schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,semantic_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-001,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S111,1,114,114-intro,111,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt114.tex:11: Following the very abstract ideas of \S\S111-113, we have an urgent","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-002,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S112,2,114,114-intro,112,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt114.tex:11: Following the very abstract ideas of \S\S111-113, we have an urgent","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-003,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S113,3,114,114-intro,113,resolved-in-corpus,"authority/fremlin/source/mt1.2011/mt114.tex:11: Following the very abstract ideas of \S\S111-113, we have an urgent","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-004,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S114-SEG-114A,4,114,114-intro,114A,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt114.tex:14: proceed to a description of this measure (114A-114E), with a few of its","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-005,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S114-SEG-114B,5,114,114-intro,114B,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt114.tex:14: proceed to a description of this measure (114A-114E), with a few of its","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-006,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S114-SEG-114C,6,114,114-intro,114C,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt114.tex:14: proceed to a description of this measure (114A-114E), with a few of its","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-007,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S114-SEG-114D,7,114,114-intro,114D,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt114.tex:14: proceed to a description of this measure (114A-114E), with a few of its","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-008,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-range-reference,O007-FREMLIN-V1-S114-SEG-114E,8,114,114-intro,114E,resolved-in-unit,"authority/fremlin/source/mt1.2011/mt114.tex:14: proceed to a description of this measure (114A-114E), with a few of its","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-009,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114-INTRO,section-reference,,9,114,114-intro,115,selected-corpus-pending,"authority/fremlin/source/mt1.2011/mt114.tex:17: The principal ideas of this section are repeated in \S115, and if","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,xref,O007-FREMLIN-V1-S114-XREF-010,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114-SEG-114AA,appendix-reference,,10,114A,114Aa,1A1A,selected-corpus-pending,"authority/fremlin/source/mt1.2011/mt114.tex:29: $\coint{a,b}=\emptyset$ (see 1A1A).}","{""basis"":""explicit printed source reference; printed ranges expanded into separate typed edges"",""kind"":""source-cross-reference"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
