schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,provenance
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0001,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114-INTRO,1,114,114-intro,6,6,137,145,134,142,\Bbb R,\Bbb R,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0002,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114-INTRO,2,114,114-intro,9,9,210,225,208,223,{\eightBbb R},{\eightBbb R},c5694360bb652a44bf469ecc52294f8b9ec014407dcfda38e072a24c5a8ba61f,c5694360bb652a44bf469ecc52294f8b9ec014407dcfda38e072a24c5a8ba61f,e9c76f0ed63d215613c3666dd9f2c01706951a3f56aae95198378fdf586a2ddb,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0003,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AA,3,114A,114Aa,25,25,969,977,989,997,\Bbb R,\Bbb R,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0004,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AA,4,114A,114Aa,26,26,999,1027,1024,1052,"\coint{a,b}=\{x:a\le x<b\}","\coint{a,b}=\{x:a\le x<b\}",cf32c62c30d60e1ced837b5f51c3a2106811febef331dfe076a8117613837ac1,cf32c62c30d60e1ced837b5f51c3a2106811febef331dfe076a8117613837ac1,06ef47408e1b817028f0a1a2be204bcd65b93f8301a1644e311558e6f6da2526,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0005,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AA,5,114A,114Aa,26,26,1035,1038,1061,1064,a,a,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0006,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AA,6,114A,114Aa,26,26,1040,1052,1066,1078,b\in\Bbb R,b\in\Bbb R,e1e59af8f16ba3e6f0c913dd4c313121f218777c1013ca372ad854fa984bc0af,e1e59af8f16ba3e6f0c913dd4c313121f218777c1013ca372ad854fa984bc0af,acf1a3309af82edc7b05470aff44b905151892a4d56ab8c2a95aea53e9b64c33,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0007,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AA,7,114A,114Aa,28,28,1083,1091,1122,1130,b\le a,b\le a,447ca43e5ef55e835a65ed66215c28109fc9d06db9102e765bfabb036b752abc,447ca43e5ef55e835a65ed66215c28109fc9d06db9102e765bfabb036b752abc,f5c5cb2382a2566d0be896a3b00f542d6596486b8f26b46d1495c95a1cf8c808,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0008,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AA,8,114A,114Aa,29,29,1123,1146,1162,1185,"\coint{a,b}=\emptyset","\coint{a,b}=\emptyset",5fff8c9ad3161ea379173ffba408e856aec822c7a6442d2636a707c882d91be0,5fff8c9ad3161ea379173ffba408e856aec822c7a6442d2636a707c882d91be0,5fff8c9ad3161ea379173ffba408e856aec822c7a6442d2636a707c882d91be0,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0009,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AB,9,114Ab,114Ab,31,31,1195,1214,1238,1257,I\subseteq \Bbb R,I\subseteq \Bbb R,3f4b3bb1a7c442b379c0f334bcf506bcd1d81f9bc580f6a2d0ce522781b2c687,3f4b3bb1a7c442b379c0f334bcf506bcd1d81f9bc580f6a2d0ce522781b2c687,1f6569a3812314869c6c4b225981af4ea8b0bbd407b523921a9c2cf702c55cee,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0010,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AB,10,114Ab,114Ab,33,33,1252,1265,1297,1310,I=\emptyset,I=\emptyset,4d1aefb109d0732160ac6d1408fd7f735e4bffc51901aa18cde3876f3cd94b6b,4d1aefb109d0732160ac6d1408fd7f735e4bffc51901aa18cde3876f3cd94b6b,4d1aefb109d0732160ac6d1408fd7f735e4bffc51901aa18cde3876f3cd94b6b,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S114-FORMULA-0011,O007-FREMLIN-V1-S114,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S114-SEG-114AB,11,114Ab,114Ab,33,33,1269,1294,1316,1341,"I=\coint{\inf I,\sup I}","I=\coint{\inf I,\sup I}",184fe54c353ae43c236bfc09c5a192e5cde96be6794ff689822c512c747b6b66,184fe54c353ae43c236bfc09c5a192e5cde96be6794ff689822c512c747b6b66,50a49fd25e8a47fc8accebba771574553c054471d7d2dedd5685e91483a5c256,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only translated prose wrappers"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
