schema_version,record_type,id,unit_id,source_term,target_term,term_kind,definition_ids,provenance
1.1.0,term,O007-FREMLIN-V2-S211-TERM-COMPLETE,O007-FREMLIN-V2-S211,complete,lengkap,preferred,"[""O007-FREMLIN-V2-S211-DEF-211A""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-PROBABILITY-SPACE,O007-FREMLIN-V2-S211,probability space,ruang peluang,preferred,"[""O007-FREMLIN-V2-S211-DEF-211B""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-TOTALLY-FINITE,O007-FREMLIN-V2-S211,totally finite,hingga total,preferred,"[""O007-FREMLIN-V2-S211-DEF-211C""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-SIGMA-FINITE,O007-FREMLIN-V2-S211,sigma-finite,sigma-hingga,preferred,"[""O007-FREMLIN-V2-S211-DEF-211D""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-STRICTLY-LOCALIZABLE,O007-FREMLIN-V2-S211,strictly localizable,dapat dilokalkan secara ketat,preferred,"[""O007-FREMLIN-V2-S211-DEF-211E""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-DECOMPOSABLE,O007-FREMLIN-V2-S211,decomposable,dapat didekomposisi,preferred,"[""O007-FREMLIN-V2-S211-DEF-211E""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-SEMI-FINITE,O007-FREMLIN-V2-S211,semi-finite,semihingga,preferred,"[""O007-FREMLIN-V2-S211-DEF-211F""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-LOCALIZABLE,O007-FREMLIN-V2-S211,localizable,dapat dilokalkan,preferred,"[""O007-FREMLIN-V2-S211-DEF-211E"",""O007-FREMLIN-V2-S211-DEF-211G""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-ESSENTIAL-SUPREMUM,O007-FREMLIN-V2-S211,essential supremum,supremum esensial,preferred,"[""O007-FREMLIN-V2-S211-DEF-211G""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-LOCALLY-DETERMINED,O007-FREMLIN-V2-S211,locally determined,ditentukan secara lokal,preferred,"[""O007-FREMLIN-V2-S211-DEF-211H""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-ATOM,O007-FREMLIN-V2-S211,atom,atom,preferred,"[""O007-FREMLIN-V2-S211-DEF-211I"",""O007-FREMLIN-V2-S211-DEF-211J"",""O007-FREMLIN-V2-S211-DEF-211K""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
1.1.0,term,O007-FREMLIN-V2-S211-TERM-ATOMLESS,O007-FREMLIN-V2-S211,atomless,tanpa atom,preferred,"[""O007-FREMLIN-V2-S211-DEF-211J""]","{""basis"":""reader terminology bound to the accepted Indonesian field-terminology decisions"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-CH21-TERMINOLOGY-DECISIONS""]}"
