schema_version,record_type,id,unit_id,rights_id,segment_id,source_anchor,source_term,target_term,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,provenance
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211A,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211A,211A,complete measure space,ruang ukur lengkap,"\leader{211A}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is ({\bf \Caratheodory}) {\bf complete} if whenever
$A\subseteq E\in\Sigma$ and $\mu E=0$ then $A\in\Sigma$\cmmnt{;  that is, if every negligible subset of $X$ is measurable}.
     
","\leader{211A}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut ({\bf \Caratheodory}) {\bf
lengkap} jika, setiap kali $A\subseteq E\in\Sigma$ dan $\mu E=0$,
berlaku $A\in\Sigma$\cmmnt{;  yaitu, jika setiap subhimpunan terabaikan
dari $X$ terukur}.
     
",39e1ca9edfcdcb9d289947f6504e1317ea29dae651438c2bf3a9ce92514d6dec,cae9dd0e777b2ad9729ca9fe84e819c9c32c89e2ce9c1d67fd57dfda335f825a,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211B,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211B,211B,probability space and probability measure,ruang peluang dan ukuran peluang,"\leader{211B}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $(X,\Sigma,\mu)$ is a {\bf probability space} if $\mu X=1$.
In this case $\mu$ is called a {\bf probability} or {\bf probability
measure}.
     
","\leader{211B}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $(X,\Sigma,\mu)$ adalah {\bf ruang peluang} jika $\mu X=1$.
Dalam hal ini $\mu$ disebut suatu {\bf peluang} atau {\bf ukuran
peluang}.
     
",fb8dd48a16838ef2ffa779d4fdeff7caaa3a41110c486460f887520a99a2aaab,5975c4f2607b929c4095b685548b784467c6f89ac99d79a54475859415781961,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211C,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211C,211C,totally finite measure space,ruang ukur hingga total,"\leader{211C}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is {\bf totally finite} if $\mu
X<\infty$.
     
","\leader{211C}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut {\bf hingga total} jika $\mu
X<\infty$.
     
",1ef69915fdfce2e47bc770b935e1f55d827fa3030421c62cea07e1cf5a9aa6a5,6e4ef827d724745fec2b4117e8cba8ec5cffac8169ab96e21226acdec488af5b,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211D,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211D,211D,sigma-finite measure space,ruang ukur sigma-hingga,"\leader{211D}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is {\bf $\sigma$-finite} if there is a
sequence $\sequencen{E_n}$ of measurable sets of finite measure such
that $X=\bigcup_{n\in\Bbb N}E_n$.
     
\cmmnt{\medskip
     
\noindent{\bf Remark} Note that in this case we can set
     
\Centerline{$F_n=E_n\setminus\bigcup_{i<n}E_i$,\quad $G_n=\bigcup_{i\le
n}E_i$}
     
\noindent for each $n$, to obtain a partition $\sequencen{F_n}$ of
$X$ (that is, a disjoint cover of $X$) into measurable sets of finite measure, and a non-decreasing sequence
$\sequencen{G_n}$ of sets of finite measure covering $X$.
}%end of comment
     
","\leader{211D}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut {\bf $\sigma$-hingga} jika
ada suatu barisan $\sequencen{E_n}$ yang terdiri atas himpunan-himpunan
terukur berukuran hingga sedemikian sehingga
$X=\bigcup_{n\in\Bbb N}E_n$.
     
\cmmnt{\medskip
     
\noindent{\bf Catatan} Perhatikan bahwa dalam hal ini kita dapat
menetapkan
     
\Centerline{$F_n=E_n\setminus\bigcup_{i<n}E_i$,\quad $G_n=\bigcup_{i\le
n}E_i$}
     
\noindent untuk setiap $n$, sehingga diperoleh suatu partisi
$\sequencen{F_n}$ dari $X$ (yaitu, suatu penutup saling lepas dari $X$)
menjadi himpunan-himpunan terukur berukuran hingga, dan suatu barisan
tak menurun $\sequencen{G_n}$ dari himpunan-himpunan berukuran hingga
yang menutupi $X$.
}%end of comment
     
",74b68049ccff4aeefb12155554b16d5fafdb08aac537a82674d75968e32248e0,f85c34079c9c8eabfa655ebca1b10f01512e4c2cf173828526f1572653367a37,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211E,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211E,211E,strictly localizable or decomposable measure space,ruang ukur yang dapat dilokalkan secara ketat atau dapat didekomposisi,"\leader{211E}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is {\bf strictly localizable} or {\bf
decomposable} if there is a partition
$\langle X_i\rangle_{i\in I}$ of $X$ into measurable sets of finite 
measure such that 
     
\Centerline{$\Sigma
=\{E:E\subseteq X,\,E\cap X_i\in\Sigma\Forall i\in I\}$,}
     
\Centerline{$\mu E=\sum_{i\in I}\mu(E\cap X_i)$ for every $E\in\Sigma$.}
     
\noindent I will call such a family $\langle X_i\rangle_{i\in I}$ a {\bf
decomposition} of $X$.
     
\cmmnt{\medskip
     
\noindent{\bf Remark} In this context, we can interpret the sum
$\sum_{i\in I}\mu(E\cap X_i)$ simply as
     
\Centerline{$\sup\{\sum_{i\in J}\mu(E\cap X_i):J$ is a finite subset of
$I\}$,}
     
\noindent taking $\sum_{i\in\emptyset}\mu(E\cap X_i)=0$, because we are
concerned only with sums of non-negative terms (cf.\ 112Bd).
}%end of comment
     
","\leader{211E}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut {\bf dapat dilokalkan secara
ketat} atau {\bf dapat didekomposisi} jika ada suatu partisi
$\langle X_i\rangle_{i\in I}$ dari $X$ menjadi himpunan-himpunan
terukur berukuran hingga sedemikian sehingga
     
\Centerline{$\Sigma
=\{E:E\subseteq X,\,E\cap X_i\in\Sigma\Forall i\in I\}$,}
     
\Centerline{$\mu E=\sum_{i\in I}\mu(E\cap X_i)$ untuk setiap $E\in\Sigma$.}
     
\noindent Saya akan menyebut keluarga demikian
$\langle X_i\rangle_{i\in I}$ suatu {\bf dekomposisi} dari $X$.
     
\cmmnt{\medskip
     
\noindent{\bf Catatan} Dalam konteks ini, kita dapat menafsirkan jumlah
$\sum_{i\in I}\mu(E\cap X_i)$ cukup sebagai
     
\Centerline{$\sup\{\sum_{i\in J}\mu(E\cap X_i):J$ adalah subhimpunan
hingga dari $I\}$,}
     
\noindent dengan mengambil
$\sum_{i\in\emptyset}\mu(E\cap X_i)=0$, karena kita hanya berurusan
dengan jumlah suku-suku nonnegatif (bdk.\ 112Bd).
}%end of comment
     
",a34ebf6be962e243b365c21836480154faa0bc5765b8641b507ab80cdfc3226b,3d7e8976ec777a7ee7945aca1c8cc054cdaff3f23398b3aa1f4cac91ff2b40cd,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211F,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211F,211F,semi-finite measure space,ruang ukur semihingga,"\leader{211F}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is {\bf semi-finite} if whenever
$E\in\Sigma$ and $\mu E=\infty$ there is an $F\subseteq E$ such that
$F\in\Sigma$ and $0<\mu F<\infty$.
     
","\leader{211F}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut {\bf semihingga} jika,
setiap kali $E\in\Sigma$ dan $\mu E=\infty$, ada suatu $F\subseteq E$
sedemikian sehingga $F\in\Sigma$ dan $0<\mu F<\infty$.
     
",12b3d04d87a8363649bfdf5f7bc33aed8695741a220abd9c27a2b6c5aa99d478,4d397f745b7accd193fa54a652de5f1707a19de6d22e32cfb5b973452bdb076a,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211G,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211G,211G,localizable measure space and essential supremum,ruang ukur yang dapat dilokalkan dan supremum esensial,"\leader{211G}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is {\bf localizable} if it
is semi-finite and, for every $\Cal E\subseteq\Sigma$, there is an
$H\in\Sigma$ such that (i) $E\setminus H$ is negligible for every
$E\in\Cal E$ (ii) if $G\in\Sigma$ and $E\setminus G$ is negligible for
every $E\in\Cal E$, then $H\setminus G$ is negligible.
It will be
convenient to call such a set $H$  {\bf an essential supremum} of 
$\Cal E$ in $\Sigma$.
     
\cmmnt{\medskip
     
\noindent{\bf Remark} The definition  here is clumsy,
because really the concept applies to measure {\it algebras}
rather than to measure {\it spaces} (see 211Ya-211Yb).   However, the
present definition  can be made to work (see 213N, 241G, 243G below) and
enables us to proceed
without a formal introduction to the concept of `measure algebra'
before the time comes to do the job properly in Volume 3.
}
     
","\leader{211G}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut {\bf dapat dilokalkan} jika
ia semihingga dan, untuk setiap $\Cal E\subseteq\Sigma$, ada suatu
$H\in\Sigma$ sedemikian sehingga (i) $E\setminus H$ terabaikan untuk
setiap $E\in\Cal E$ (ii) jika $G\in\Sigma$ dan $E\setminus G$
terabaikan untuk setiap $E\in\Cal E$, maka $H\setminus G$ terabaikan.
Akan berguna untuk menyebut himpunan demikian $H$ suatu {\bf supremum
esensial} dari $\Cal E$ dalam $\Sigma$.
     
\cmmnt{\medskip
     
\noindent{\bf Catatan} Definisi di sini agak canggung, karena
sebenarnya konsep ini berlaku bagi {\it aljabar} ukuran, bukan bagi
{\it ruang} ukur (lihat 211Ya-211Yb).   Namun, definisi yang sekarang
dapat dibuat berfungsi (lihat 213N, 241G, 243G di bawah) dan memungkinkan
kita melanjutkan tanpa pengantar formal terhadap konsep `aljabar
ukuran' sebelum tiba waktunya untuk mengerjakannya dengan semestinya
dalam Jilid 3.
}
     
",8dd79660a4c4126500e8e21af18b82c28680b998f167b3e2ef21ddfedea04a93,7075e8e0353557d7169f24c8b72a8e9e4c628aaa39f9d6f3e8365f01e08ec515,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211H,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211H,211H,locally determined measure space,ruang ukur yang ditentukan secara lokal,"\leader{211H}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is {\bf locally determined} if it is
semi-finite and
     
\Centerline{$\Sigma=\{E:E\subseteq X,\,E\cap F\in\Sigma$ whenever
$F\in\Sigma$ and $\mu F<\infty\}$\dvro{.}{;}}
     
\cmmnt{\noindent that is to say, for any $E\in\Cal PX\setminus\Sigma$
there is
an $F\in\Sigma$ such that $\mu F<\infty$ and $E\cap F\notin\Sigma$.}
     
","\leader{211H}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut {\bf ditentukan secara
lokal} jika ia semihingga dan
     
\Centerline{$\Sigma=\{E:E\subseteq X,\,E\cap F\in\Sigma$ setiap kali
$F\in\Sigma$ dan $\mu F<\infty\}$\dvro{.}{;}}
     
\cmmnt{\noindent dengan kata lain, untuk setiap
$E\in\Cal PX\setminus\Sigma$ ada suatu $F\in\Sigma$ sedemikian sehingga
$\mu F<\infty$ dan $E\cap F\notin\Sigma$.}
     
",45e0990b581e1f93d4e10342e8c099b7c27258367869bb0738a9021d7060de65,cdf18d054efe27af88de0fe82a835c66d1516ef74c807a396d7d865ebcdbbbbb,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211I,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211I,211I,atom for a measure,atom bagi suatu ukuran,"\leader{211I}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.    A
set $E\in\Sigma$ is an {\bf atom} for $\mu$ if $\mu E>0$ and
whenever $F\in\Sigma$, $F\subseteq E$ one of $F$, $E\setminus F$ is
negligible.
     
","\leader{211I}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Suatu himpunan $E\in\Sigma$ adalah sebuah {\bf atom} bagi $\mu$ jika
$\mu E>0$ dan, setiap kali $F\in\Sigma$, $F\subseteq E$, salah satu
dari $F$, $E\setminus F$ terabaikan.
     
",7b0b65c19234f88307c08673561a773c28c92a19bae0dcc7d7c1da146eb40020,b0637eb480dcfbf6549f490c9a0d67b19d7ceac55e44a2d5c3181faf4b809bfa,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
1.1.0,definition,O007-FREMLIN-V2-S211-DEF-211J,O007-FREMLIN-V2-S211,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S211-SEG-211J,211J,atomless or diffused measure space,ruang ukur tanpa atom atau terdifusi,"\leader{211J}{Definition} Let $(X,\Sigma,\mu)$ be a measure space.
Then $\mu$, or $(X,\Sigma,\mu)$, is {\bf atomless} or {\bf diffused} if 
there are no atoms for $\mu$.
\cmmnt{(Note that this is {\it not} the same thing as saying that all 
finite sets are negligible;  see 211R below.   Some authors use the word 
{\bf continuous} in this context.)}
     
","\leader{211J}{Definisi} Misalkan $(X,\Sigma,\mu)$ suatu ruang ukur.
Maka $\mu$, atau $(X,\Sigma,\mu)$, disebut {\bf tanpa atom} atau {\bf
terdifusi} jika tidak ada atom bagi $\mu$.
\cmmnt{(Perhatikan bahwa ini {\it tidak} sama dengan mengatakan bahwa
semua himpunan hingga terabaikan;  lihat 211R di bawah.   Sebagian
penulis menggunakan kata {\bf kontinu} dalam konteks ini.)}
     
",50b8f9fad5df6baead59280253a696b32bbc02d6a7faa468d1eaef666e9e75da,9ce319caedab8068125182d24f2903543b532b983cd9817a3dd0e2bba77d1bd5,"{""basis"":""definition-bearing source segment"",""kind"":""source-derived-definition-map""}"
