schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,provenance
1.1.0,relation,O007-FREMLIN-V1-S112-REL-001,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112BA,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112B,1,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-002,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112BC,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112B,2,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-003,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112CA,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112C,3,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-004,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112CB,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112C,4,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-005,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112CC,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112C,5,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-006,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112CD,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112C,6,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-007,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112CE,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112C,7,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-008,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112CF,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112C,8,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-009,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112XA,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112X,9,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-010,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-SEG-112YA,semantic-child-of,O007-FREMLIN-V1-S112-SEG-112Y,10,"{""basis"":""implicit Fremlin paragraph topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-011,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-MEASURE-SPACE,defined-at,O007-FREMLIN-V1-S112-SEG-112A,11,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-012,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-MEASURABLE-SET,defined-at,O007-FREMLIN-V1-S112-SEG-112A,12,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-013,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-MEASURE,defined-at,O007-FREMLIN-V1-S112-SEG-112A,13,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-014,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-DISJOINT,defined-at,O007-FREMLIN-V1-S112-SEG-112BB,14,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-015,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-POINT-SUPPORTED-MEASURE,defined-at,O007-FREMLIN-V1-S112-SEG-112BD,15,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-016,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-COUNTING-MEASURE,defined-at,O007-FREMLIN-V1-S112-SEG-112BD,16,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-017,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-DIRAC-MEASURE,defined-at,O007-FREMLIN-V1-S112-SEG-112BD,17,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-018,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-MEASURES-PREDICATE,defined-at,O007-FREMLIN-V1-S112-SEG-112BE,18,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-019,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-NEGLIGIBLE-NULL-SET,defined-at,O007-FREMLIN-V1-S112-SEG-112DA,19,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-020,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-NULL-IDEAL,defined-at,O007-FREMLIN-V1-S112-SEG-112DB,20,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-021,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-SIGMA-IDEAL,defined-at,O007-FREMLIN-V1-S112-SEG-112DB,21,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-022,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-CONEGLIGIBLE-SET,defined-at,O007-FREMLIN-V1-S112-SEG-112DC,22,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-023,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-ALMOST-EVERYWHERE,defined-at,O007-FREMLIN-V1-S112-SEG-112DD,23,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-024,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-COMPLETE-MEASURE-SPACE,defined-at,O007-FREMLIN-V1-S112-SEG-112DF,24,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-025,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-AE-COMPARISON,defined-at,O007-FREMLIN-V1-S112-SEG-112DG,25,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-026,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-DEF-IMAGE-MEASURE,defined-at,O007-FREMLIN-V1-S112-SEG-112XF,26,"{""basis"":""definition-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-027,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-RESULT-112CA,stated-at,O007-FREMLIN-V1-S112-SEG-112CA,27,"{""basis"":""result-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-028,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-RESULT-112CB,stated-at,O007-FREMLIN-V1-S112-SEG-112CB,28,"{""basis"":""result-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-029,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-RESULT-112CC,stated-at,O007-FREMLIN-V1-S112-SEG-112CC,29,"{""basis"":""result-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S112-REL-030,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112-RESULT-112CD,stated-at,O007-FREMLIN-V1-S112-SEG-112CD,30,"{""basis"":""result-to-segment map"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE""]}"
