schema_version,record_type,id,unit_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111-INTRO,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,1,111,111-intro,111-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 111 and the first printed paragraph anchor.,exposition,Section introduction,Pengantar bagian,10,23,10,23,155,944,150,957,55c54eb67814690da1d5cda2a7348099063c487554c2ee30a7b86856a1b0732f,88ffa3f0fa1163a3b13287296827cb5c002d2b8387c4fd1103e0f1d029d65396,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111A,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,2,111A,111A,111A,explicit,false,,definition-or-definition-group,Definition,Definisi,24,37,24,39,944,1405,957,1481,7c19719f65b0d54b7d6a33cc24570e34924d1b34752ac2f2d56e6c6294f5cc79,83be9706c104acb7eee449000a76623474819f8a0d38f4791658b9d812f6676b,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111B,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,3,111B,111B,111B,explicit,false,,exposition,Remarks,Catatan,38,45,40,47,1405,1730,1481,1846,2b5529cca4b886909f35dfacc5009516c21d710d8751e87d123fa13fd8b0d5fa,9e370079a9854154f2db355f10102c7b1e0684bb5486a3db5ef642de583a903a,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111BA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111B,4,111B,111Ba,111Ba,implicit-subanchor,false,Fremlin prints anchor 111B with an inline (a); 111Ba is the lossless semantic subanchor while 111B remains the source anchor.,exposition,Remarks,Catatan,38,45,40,47,1405,1730,1481,1846,2b5529cca4b886909f35dfacc5009516c21d710d8751e87d123fa13fd8b0d5fa,9e370079a9854154f2db355f10102c7b1e0684bb5486a3db5ef642de583a903a,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111BB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,5,111Bb,111Bb,111Bb,explicit,false,,exposition,Remark (b),Catatan (b),46,66,48,68,1730,2593,1846,2806,62e179eeaf759bbce11497ccd9b7f6f2868e63d6ff3a8a6cfd60c290be23b5fb,2bdff9b5c7f89e68a29776b1c2d46d26071ba412166dfb531148592f938b0f60,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111BC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,6,111Bc,111Bc,111Bc,explicit,false,,exposition,Remark (c),Catatan (c),67,75,69,78,2593,2986,2806,3247,1794c1b8b16a2bb08083da54f9ab80a684b52f23e43f00a54e83482ade0b149c,004b70acf6f60fe78573f46998671c916095ec322856c7d3475e858665d27467,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111C,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,7,111C,111C,111C,explicit,false,,exposition,Infinite unions and intersections,Gabungan dan irisan tak hingga,76,101,79,106,2986,4120,3247,4475,2701e11cf7d6a3d8d5471f7a13733cb4ef58469285470c3f43dd732e2f4d46bd,b7f27468a166b87edc6ed3d413654de0f0b6d1ae0408f6a70e54eb50ea95a915,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111D,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,8,111D,111D,111D,explicit,false,,result-or-result-group,Elementary properties of sigma-algebras,Sifat-sifat dasar aljabar-sigma,102,105,107,110,4120,4270,4475,4627,92502d272831e056fae7e339fd7a27c8eb135808df2c8b17dea39a79aaefe44b,499887be37485798b6ee452da3e6ca2d56611ee05c3bfac8c9e8fa78987c88b6,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111DA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,9,111Da,111Da,111Da,explicit,false,,result-or-result-group,Property (a),Sifat (a),106,112,111,118,4270,4540,4627,4919,5a55ae2db4e620eab87e9c1dced99a3c4527290ca3dfa4e7aec57251ed8c22cb,e30ac9833f9feb20f395992938a7ed351e7dfa24c7838eab7bfe5f622232f08e,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111DB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,10,111Db,111Db,111Db,explicit,false,,result-or-result-group,Property (b),Sifat (b),113,120,119,127,4540,4892,4919,5313,f5c976bcc63ec8bdfb38c7c789a969d3eb1df7943f4252ac7937861cac4469bb,2bb6718484b4e871ef8d8c86fe2f9ca2b32cd752a74eb9f0efccc92cbee417a8,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,segment,O007-FREMLIN-V1-S111-SEG-111DC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,11,111Dc,111Dc,111Dc,explicit,false,,result-or-result-group,Property (c),Sifat (c),121,125,128,132,4892,5028,5313,5453,1e583c32aee62ebcfb2998815cc4e312eee7a5fcc253d52462a2aa84052eb106,39d30f7ec53145164a9014a494488a438c3cc3e59376ef6fd16af5b0d30b3e6c,"{""basis"":""exact authority and id-ID character spans; semantic subanchors never replace the retained Fremlin anchor"",""kind"":""source-target-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
