schema_version,record_type,id,unit_id,segment_id,source_anchor,semantic_anchor,source_label,target_label,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,rights_id,provenance
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111DA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DA,111Da,111Da,Closure under finite unions,Ketertutupan terhadap gabungan hingga,"\header{111Da}{\bf (a)} $E\cup F\in\Sigma$ for all $E$, $F\in\Sigma$.
\prooflet{\Prf\ For
if $E$, $F\in\Sigma$, set $E_0=E$, $E_n=F$ for $n\ge 1$;  then
$\langle E_n\rangle_{n\in\Bbb N}$ is a sequence in $\Sigma$ and $E\cup
F=\bigcup_{n\in\Bbb N}E_n\in\Sigma$.\ \Qed}


","\header{111Da}{\bf (a)} $E\cup F\in\Sigma$ untuk semua $E$,
$F\in\Sigma$.
\prooflet{\Prf\ Sebab, jika $E$, $F\in\Sigma$, tetapkan $E_0=E$,
$E_n=F$ untuk $n\ge 1$; maka $\langle E_n\rangle_{n\in\Bbb N}$ adalah
barisan di dalam $\Sigma$ dan $E\cup
F=\bigcup_{n\in\Bbb N}E_n\in\Sigma$.\ \Qed}


",5a55ae2db4e620eab87e9c1dced99a3c4527290ca3dfa4e7aec57251ed8c22cb,e30ac9833f9feb20f395992938a7ed351e7dfa24c7838eab7bfe5f622232f08e,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111DB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DB,111Db,111Db,Closure under finite intersections,Ketertutupan terhadap irisan hingga,"\header{111Db}{\bf (b)} $E\cap F\in\Sigma$ for all $E$, $F\in\Sigma$.
\prooflet{\Prf\ By
(ii) of the definition in 111A, $X\setminus E$ and $X\setminus
F\in\Sigma$;  by (a) of this paragraph, $(X\setminus E)\cup(X\setminus
F)\in\Sigma$;  by 111A(ii) again, $X\setminus((X\setminus
E)\cup(X\setminus F))\in\Sigma$;  but this is just $E\cap F$.\ \Qed}


","\header{111Db}{\bf (b)} $E\cap F\in\Sigma$ untuk semua $E$,
$F\in\Sigma$.
\prooflet{\Prf\ Menurut (ii) dalam definisi 111A, $X\setminus E$ dan
$X\setminus F\in\Sigma$; menurut (a) pada paragraf ini,
$(X\setminus E)\cup(X\setminus F)\in\Sigma$; kembali menurut 111A(ii),
$X\setminus((X\setminus E)\cup(X\setminus F))\in\Sigma$; tetapi
himpunan terakhir ini tidak lain adalah $E\cap F$.\ \Qed}


",f5c976bcc63ec8bdfb38c7c789a969d3eb1df7943f4252ac7937861cac4469bb,2bb6718484b4e871ef8d8c86fe2f9ca2b32cd752a74eb9f0efccc92cbee417a8,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111DC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DC,111Dc,111Dc,Closure under set difference,Ketertutupan terhadap selisih himpunan,"\header{111Dc}{\bf (c)} $E\setminus F\in\Sigma$ for all $E$,
$F\in\Sigma$.
\prooflet{\Prf\ $E\setminus F=E\cap(X\setminus F)$.\ \Qed}


","\header{111Dc}{\bf (c)} $E\setminus F\in\Sigma$ untuk semua $E$,
$F\in\Sigma$.
\prooflet{\Prf\ $E\setminus F=E\cap(X\setminus F)$.\ \Qed}


",1e583c32aee62ebcfb2998815cc4e312eee7a5fcc253d52462a2aa84052eb106,39d30f7ec53145164a9014a494488a438c3cc3e59376ef6fd16af5b0d30b3e6c,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111DD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111DD,111Dd,111Dd,Closure under countable intersections,Ketertutupan terhadap irisan terhitung,"\header{111Dd}{\bf (d)} Now suppose that
$\langle E_n\rangle_{n\in\Bbb N}$ is a
sequence in $\Sigma$, and consider

$$\eqalign{\bigcap_{n\in\Bbb N}E_n
&=\{x:x\in E_n\Forall n\in\Bbb N\}\cr
&=E_0\cap E_1\cap E_2\cap\ldots\cr
&=X\setminus\bigcup_{n\in\Bbb N}(X\setminus E_n);\cr}$$

\noindent this also belongs to $\Sigma$.


\cmmnt{
","\header{111Dd}{\bf (d)} Sekarang, misalkan
$\langle E_n\rangle_{n\in\Bbb N}$ adalah barisan di dalam $\Sigma$, dan
perhatikan bahwa

$$\eqalign{\bigcap_{n\in\Bbb N}E_n
&=\{x:x\in E_n\Forall n\in\Bbb N\}\cr
&=E_0\cap E_1\cap E_2\cap\ldots\cr
&=X\setminus\bigcup_{n\in\Bbb N}(X\setminus E_n);\cr}$$

\noindent himpunan ini juga termasuk dalam $\Sigma$.


\cmmnt{
",736e51411b997ab4942fbbf8c185180a7f8f7ab763a583be78de0ab94fa09568,8763218e21ebdc65ccf5a4213ceab345f530bc546c4d736e96193f42a65f2336,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111EB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111EB,111Eb,111Eb,Surjective enumerations of Z and Q,Enumerasi surjektif Z dan Q,"\spheader 111Eb I rather hope that you
have seen enough of Cantor's theory of infinite sets to make the
following remarks a restatement of familiar material;  but if not, I
hope that they can stand as a first, and very partial, introduction to
these ideas.   The point about the first three examples is that we
can re-index the families of sets involved as simple sequences of sets.
For the first one,
this is elementary;  write $E'_n=E_{n+4}$ for $n\in\Bbb N$, and see that
$\bigcup_{n\ge 4}E_n=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$.
For the other
two, we need to know something about the sets $\Bbb Z$ and
$\Bbb Q$.   We can find sequences $\langle k_n\rangle_{n\in\Bbb N}$ of
integers, and $\langle q_n\rangle_{n\in\Bbb N}$ of rational numbers,
such that every integer appears (at least once) as a $k_n$, and
every rational number appears (at least once) as a $q_n$;  that is, the
functions $n\mapsto k_n:\Bbb N\to\Bbb Z$ and
$n\mapsto q_n:\Bbb N\to\Bbb Q$ are surjective.   \prooflet{\Prf\ There are many ways of doing this;  one is to set

$$\eqalign{k_n&=\Bover{n}2\text{ for even }n,\cr
&=-\Bover{n+1}2\text{ for odd }n,\cr
q_n&=\Bover{n-m^3-m^2}{m+1}
  \text{ if }m\in\Bbb N\text{ and }m^3\le n<(m+1)^3.\cr}$$

\noindent (You should check carefully that these formulae do indeed do
what I claim they do.) \QeD}
Now, to deal with $\bigcup_{n\in\Bbb Z}E_n$, we can set

\Centerline{$E'_n=E_{k_n}\in\Sigma$}

\noindent for $n\in\Bbb N$, so that

\Centerline{$\bigcup_{n\in\Bbb Z}E_n=\bigcup_{n\in\Bbb N}E_{k_n}
=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$,}

\noindent while for the other case we have

\Centerline{$\bigcup_{q\in\Bbb Q}E_q
=\bigcup_{n\in\Bbb N}E_{q_n}\in\Sigma$.}

Note that the first case $\bigcup_{n\ge 4}E_n$ can be thought of
as an
application of the same principle;  the map $n\mapsto n+4$ is a
surjection from $\Bbb N$ onto $\{4,5,6,7,\ldots\}$.
}%end of comment

","\spheader 111Eb Saya sangat berharap bahwa Anda telah mempelajari teori
Cantor tentang himpunan tak hingga secukupnya sehingga catatan berikut
hanya mengungkapkan kembali hal-hal yang sudah akrab; tetapi jika belum,
saya berharap catatan ini dapat menjadi pengantar pertama, meskipun
sangat terbatas, untuk gagasan-gagasan tersebut. Inti dari tiga contoh
pertama ialah bahwa kita dapat mengindeks ulang keluarga-keluarga
himpunan yang terlibat sebagai barisan himpunan biasa. Untuk contoh
pertama, caranya sederhana; tuliskan $E'_n=E_{n+4}$ untuk
$n\in\Bbb N$, lalu perhatikan bahwa
$\bigcup_{n\ge 4}E_n=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$.
Untuk dua contoh lainnya, kita perlu mengetahui sesuatu tentang
himpunan $\Bbb Z$ dan $\Bbb Q$. Kita dapat menemukan barisan bilangan
bulat $\langle k_n\rangle_{n\in\Bbb N}$ dan barisan bilangan rasional
$\langle q_n\rangle_{n\in\Bbb N}$ sedemikian sehingga setiap bilangan
bulat muncul (sekurang-kurangnya sekali) sebagai suatu $k_n$, dan setiap
bilangan rasional muncul (sekurang-kurangnya sekali) sebagai suatu
$q_n$; artinya, fungsi $n\mapsto k_n:\Bbb N\to\Bbb Z$ dan
$n\mapsto q_n:\Bbb N\to\Bbb Q$ bersifat surjektif.
\prooflet{\Prf\ Ada banyak cara untuk melakukannya; salah satunya ialah
menetapkan

$$\eqalign{k_n&=\Bover{n}2\text{ untuk }n\text{ genap},\cr
&=-\Bover{n+1}2\text{ untuk }n\text{ ganjil},\cr
q_n&=\Bover{n-m^3-m^2}{m+1}
  \text{ jika }m\in\Bbb N\text{ dan }m^3\le n<(m+1)^3.\cr}$$

\noindent (Anda sebaiknya memeriksa dengan saksama bahwa rumus-rumus ini
benar-benar bekerja seperti yang saya nyatakan.) \QeD}
Sekarang, untuk menangani $\bigcup_{n\in\Bbb Z}E_n$, kita dapat
menetapkan

\Centerline{$E'_n=E_{k_n}\in\Sigma$}

\noindent untuk $n\in\Bbb N$, sehingga

\Centerline{$\bigcup_{n\in\Bbb Z}E_n=\bigcup_{n\in\Bbb N}E_{k_n}
=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$,}

\noindent sedangkan untuk kasus yang lain kita mempunyai

\Centerline{$\bigcup_{q\in\Bbb Q}E_q
=\bigcup_{n\in\Bbb N}E_{q_n}\in\Sigma$.}

Perhatikan bahwa kasus pertama $\bigcup_{n\ge 4}E_n$ dapat dipandang
sebagai penerapan asas yang sama; pemetaan $n\mapsto n+4$ adalah
surjeksi dari $\Bbb N$ ke $\{4,5,6,7,\ldots\}$.
}%end of comment

",63852754e33a9a8d51f7b923924ca20b4e65efcc080c2b2bd3535179f80ded25,66d68bdf9de826b004e0799024afae3ff570c862d91924050ec0e094f26e2d9c,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111FA,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FA,111F,111Fa,Closure under countable-indexed unions,Ketertutupan terhadap gabungan berindeks terhitung,"\vleader{48pt}{111F}{Countable sets (a)}\cmmnt{ The common feature of the
sets
$\{n:n\ge 4\}$, $\Bbb Z$ and
$\Bbb Q$ which makes this procedure possible is that they are `countable'.
For our purposes here, the most natural definition of
countability is the following:} \dvro{A}{a} set $K$ is {\bf countable} if
either it is empty or there is a surjection from $\Bbb N$ onto $K$.   In
this case, if $\Sigma$ is a $\sigma$-algebra of sets and
$\langle  E_k\rangle_{k\in K}$ is a family in $\Sigma$ indexed by $K$, then
$\bigcup_{k\in K}E_k\in\Sigma$.   \prooflet{\Prf\ For if
$n\mapsto k_n:\Bbb N\to K$ is a surjection, then $E'_n=E_{k_n}\in\Sigma$ for every
$n\in\Bbb N$, and $\bigcup_{k\in K}E_k=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$.   This
leaves out the case $K=\emptyset$;  but in this case the natural
interpretation of $\bigcup_{k\in K}E_k$ is

\Centerline{$\{x:\exists\enskip k\in \emptyset,\,x\in E_k\}$}

\noindent which is itself $\emptyset$, and therefore belongs to $\Sigma$
by clause (i) of 111A.\ \QeD}   \cmmnt{(In a sense this treatment of
$\emptyset$
is a conventional matter;
but there are various contexts in which we shall wish to discuss
$\bigcup_{k\in K}E_k$ without checking whether $K$ actually has any
members, and we need to be clear about what we will do in such cases.)}

","\vleader{48pt}{111F}{Himpunan terhitung (a)}\cmmnt{ Ciri yang sama pada
himpunan-himpunan $\{n:n\ge 4\}$, $\Bbb Z$, dan $\Bbb Q$ yang
memungkinkan prosedur ini ialah bahwa semuanya `terhitung'. Untuk
keperluan kita di sini, definisi keterhitungan yang paling alami adalah
sebagai berikut:} \dvro{S}{s}uatu himpunan $K$ disebut {\bf terhitung}
jika himpunan tersebut kosong atau terdapat suatu surjeksi dari $\Bbb N$ ke $K$. Dalam
hal ini, jika $\Sigma$ adalah suatu aljabar-$\sigma$
dan $\langle E_k\rangle_{k\in K}$ adalah keluarga di dalam $\Sigma$
yang diindeks oleh $K$, maka $\bigcup_{k\in K}E_k\in\Sigma$.
\prooflet{\Prf\ Sebab, jika $n\mapsto k_n:\Bbb N\to K$ adalah suatu
surjeksi, maka $E'_n=E_{k_n}\in\Sigma$ untuk setiap $n\in\Bbb N$, dan
$\bigcup_{k\in K}E_k=\bigcup_{n\in\Bbb N}E'_n\in\Sigma$. Ini belum
mencakup kasus $K=\emptyset$; tetapi dalam kasus ini, penafsiran alami
untuk $\bigcup_{k\in K}E_k$ ialah

\Centerline{$\{x:\exists\enskip k\in \emptyset,\,x\in E_k\}$}

\noindent yang juga merupakan $\emptyset$, dan karenanya termasuk dalam
$\Sigma$ menurut syarat (i) dari 111A.\ \QeD} \cmmnt{(Dalam arti
tertentu, perlakuan terhadap $\emptyset$ ini merupakan masalah
kesepakatan; tetapi ada berbagai konteks tempat kita ingin membahas
$\bigcup_{k\in K}E_k$ tanpa memeriksa apakah $K$ benar-benar mempunyai
anggota, sehingga kita perlu memperjelas apa yang akan kita lakukan
dalam kasus seperti itu.)}

",97cb88357d6419a8c38f855b3568d8c34c92303cf3db821455bccf2b238e6245,ba81efc741e72f406652989cd811e5610f2e4ebbba2ed205a82a90e632100546,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111FB,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FB,111Fb,111Fb,Basic closure properties of countable sets,Sifat-sifat dasar himpunan terhitung,"\header{111Fb}{\bf (b)}\cmmnt{ There is an extensive, and enormously
important, theory concerning countable sets.   The only fragments which
I think we must have explicit at this point are the following.
(In \S1A1 I add a few words to link this presentation to conventional
approaches.)

\medskip

\quad}{\bf (i)}  If $K$ is countable and
$L\subseteq K$, then $L$ is countable.   \prooflet{\Prf\ If
$L=\emptyset$, this is
immediate.   Otherwise, take any $l^*\in L$, and a surjection
$n\mapsto k_n:\Bbb N\to K$ (of course $K$ also is not empty, as $l^*\in K$);  set
$l_n=k_n$ if $k_n\in L$, $l^*$ otherwise;  then $n\mapsto l_n:\Bbb N\to
L$ is a surjection.\ \Qed}

\medskip

\quad{\bf (ii)} The Cartesian product $\Bbb N\times\Bbb N=\{(m,n):m$,
$n\in\Bbb N\}$ is countable.   \prooflet{\Prf\ For each $n\in\Bbb N$,
let $k_n$,
$l_n\in\Bbb N$ be such that $n+1=2^{k_n}(2l_n+1)$;  that is, $k_n$ is
the power of $2$ in the prime factorisation of $n+1$, and $2l_n+1$ is
the (necessarily odd) number $(n+1)/2^{k_n}$.   Now
$n\mapsto(k_n,l_n)$ is a
surjection from $\Bbb N$ to $\Bbb N\times\Bbb N$.\ \Qed}\
\cmmnt{It will be
important to us later to know that $n\mapsto(k_n,l_n)$ is actually a
bijection, as is readily checked.}

\medskip

\quad{\bf (iii)} It follows that if $K$ and $L$ are countable sets, so
is $K\times L$.   \prooflet{\Prf\ If either $K$ or $L$ is empty, so is
$K\times
L$, so in this case $K\times L$ is certainly countable.   Otherwise, let
$\phi:\Bbb N\to K$ and $\psi:\Bbb N\to L$ be surjections;  then we have
a surjection $\theta:\Bbb N\times\Bbb N\to K\times L$ defined by setting
$\theta(m,n)=(\phi(m),\psi(n))$ for all $m$, $n\in\Bbb N$.   Now we know
from (ii) just above that there is also a surjection
$\chi:\Bbb N\to\Bbb N\times\Bbb N$, so that
$\theta\chi:\Bbb N\to K\times L$ is a
surjection, and $K\times L$ must be countable.\ \Qed}

\medskip

\quad{\bf (iv)}\dvro{ If}{ An induction on $r$ now shows
us that if} $K_1$, $K_2,\ldots,K_r$ are countable sets, so is
$K_1\times\ldots\times K_r$.   In particular,\cmmnt{ such sets as}
$\Bbb Q^r\times\Bbb Q^r$ will be countable, for any integer $r\ge 1$.


","\header{111Fb}{\bf (b)}\cmmnt{ Terdapat teori yang luas dan sangat
penting mengenai himpunan terhitung. Bagian-bagian yang menurut saya
harus dinyatakan secara eksplisit pada tahap ini hanyalah yang berikut.
(Dalam \S1A1 saya menambahkan beberapa kata untuk menghubungkan
penyajian ini dengan pendekatan-pendekatan yang lazim.)

\medskip

\quad}{\bf (i)} Jika $K$ terhitung dan $L\subseteq K$, maka $L$
terhitung. \prooflet{\Prf\ Jika $L=\emptyset$, hal ini langsung jelas.
Jika tidak, ambil sembarang $l^*\in L$ dan suatu surjeksi
$n\mapsto k_n:\Bbb N\to K$ (tentu saja $K$ juga tidak kosong, sebab
$l^*\in K$); tetapkan $l_n=k_n$ jika $k_n\in L$, dan $l^*$ jika tidak;
maka $n\mapsto l_n:\Bbb N\to L$ adalah suatu surjeksi.\ \Qed}

\medskip

\quad{\bf (ii)} Produk Kartesius $\Bbb N\times\Bbb N=\{(m,n):m$,
$n\in\Bbb N\}$ terhitung. \prooflet{\Prf\ Untuk setiap $n\in\Bbb N$,
misalkan $k_n$, $l_n\in\Bbb N$ sedemikian sehingga
$n+1=2^{k_n}(2l_n+1)$; artinya, $k_n$ adalah pangkat $2$ dalam
faktorisasi prima $n+1$, dan $2l_n+1$ adalah bilangan (yang pasti ganjil)
$(n+1)/2^{k_n}$. Sekarang, $n\mapsto(k_n,l_n)$ adalah suatu surjeksi
dari $\Bbb N$ ke $\Bbb N\times\Bbb N$.\ \Qed}\
\cmmnt{Kelak penting bagi kita untuk mengetahui bahwa
$n\mapsto(k_n,l_n)$ sebenarnya merupakan bijeksi, sebagaimana mudah
diperiksa.}

\medskip

\quad{\bf (iii)} Akibatnya, jika $K$ dan $L$ adalah himpunan terhitung,
maka $K\times L$ juga terhitung. \prooflet{\Prf\ Jika $K$ atau $L$
kosong, maka $K\times L$ kosong, sehingga dalam kasus ini $K\times L$
tentu terhitung. Jika tidak, misalkan $\phi:\Bbb N\to K$ dan
$\psi:\Bbb N\to L$ adalah surjeksi; maka kita mempunyai surjeksi
$\theta:\Bbb N\times\Bbb N\to K\times L$ yang didefinisikan dengan
menetapkan $\theta(m,n)=(\phi(m),\psi(n))$ untuk semua $m$,
$n\in\Bbb N$. Dari (ii) tepat di atas, kita tahu bahwa ada pula
surjeksi $\chi:\Bbb N\to\Bbb N\times\Bbb N$, sehingga
$\theta\chi:\Bbb N\to K\times L$ adalah suatu surjeksi, dan
$K\times L$ pasti terhitung.\ \Qed}

\medskip

\quad{\bf (iv)}\dvro{ Jika}{ Sekarang, induksi pada $r$ menunjukkan
bahwa jika} $K_1$, $K_2,\ldots,K_r$ adalah himpunan-himpunan terhitung,
maka $K_1\times\ldots\times K_r$ juga terhitung. Secara khusus,\cmmnt{
himpunan-himpunan seperti} $\Bbb Q^r\times\Bbb Q^r$ akan terhitung,
untuk setiap bilangan bulat $r\ge 1$.


",eda20b761110a9a485d17a39f3b8d8d9678bfdceec1e7594ce53a14dec0e828c,1d0ce534acfe6921adf0385b5f47e85f83224c02500c7b237ac321a20dd18e0b,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111FC,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FC,111Fc,111Fc,Closure under nonempty countable-indexed intersections,Ketertutupan terhadap irisan berindeks terhitung tak kosong,"\header{111Fc}{\bf (c)}\dvro{ If}{ Putting 111Dd above together with
these
ideas, we see that if} $\Sigma$ is a $\sigma$-algebra of sets, $K$ is a
non-empty countable
set, and $\langle E_k\rangle_{k\in K}$ is a family in $\Sigma$, then

\Centerline{$\bigcap_{k\in K}E_k=\{x:x\in E_k\Forall k\in
K\}$}

\noindent belongs to $\Sigma$.   \prooflet{\Prf\ Let
$n\mapsto k_n:\Bbb N\to K$ be
a surjection;  then
$\bigcap_{k\in K}E_k=\bigcap_{n\in\Bbb N}E_{k_n}\in\Sigma$, as in 111Dd.\ \Qed}

\cmmnt{Note that there is a difficulty with the notion of
$\bigcap_{k\in
K}E_k$ if $K=\emptyset$;  the natural interpretation of this formula is
to read it as the universal class.   So ordinarily, when there is any
possibility that $K$ might be empty, one needs some such formulation as
$X\cap\bigcap_{k\in K}E_k$.
}%end of comment

\cmmnt{","\header{111Fc}{\bf (c)}\dvro{ Jika}{ Dengan menggabungkan 111Dd di atas
dengan gagasan-gagasan ini, kita melihat bahwa jika} $\Sigma$ adalah
suatu aljabar-$\sigma$, $K$ adalah himpunan terhitung
yang tidak kosong, dan $\langle E_k\rangle_{k\in K}$ adalah keluarga di
dalam $\Sigma$, maka

\Centerline{$\bigcap_{k\in K}E_k=\{x:x\in E_k\Forall k\in
K\}$}

\noindent termasuk dalam $\Sigma$. \prooflet{\Prf\ Misalkan
$n\mapsto k_n:\Bbb N\to K$ adalah suatu surjeksi; maka
$\bigcap_{k\in K}E_k=\bigcap_{n\in\Bbb N}E_{k_n}\in\Sigma$, seperti
pada 111Dd.\ \Qed}

\cmmnt{Perhatikan bahwa terdapat kesulitan pada pengertian
$\bigcap_{k\in K}E_k$ jika $K=\emptyset$; penafsiran alami rumus ini
ialah membacanya sebagai kelas semesta. Jadi, biasanya, jika ada
kemungkinan bahwa $K$ kosong, kita memerlukan perumusan seperti
$X\cap\bigcap_{k\in K}E_k$.
}%end of comment

\cmmnt{",5396b985e24cdf71a09fd7e914051a981f5b80ff955a0fec2bbdfdcc0a8f91c0,155ab40728cbe7da1e932f830bb21e1ff4dcd0c608e6c3a25870b95e33c41efe,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111FD,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FD,111Fd,111Fd,A nested countable-operation construction,Konstruksi operasi terhitung bertingkat,"\header{111Fd}{\bf (d)} As an example of the way in which these
ideas will be used, consider the
following.   Suppose that $X$ is a set, $\Sigma$ is a $\sigma$-algebra
of subsets of $X$, and $\langle E_{qn}\rangle_{q\in\Bbb Q,n\in\Bbb N}$
is a family in $\Sigma$.   Then

\Centerline{$E
=\bigcap_{q\in\Bbb Q,q<\sqrt{2}}\bigcup_{m\in\Bbb N}\bigcap_{n\ge m}E_{qn}
=\bigcap_{q\in\Bbb Q,q<\sqrt{2}}(\bigcup_{m\in\Bbb N}(\bigcap_{n\ge m}E_{qn}))
\in\Sigma$.}

\noindent\vthsp\prooflet{\Prf\ Set
$F_{qm}=\bigcap_{n\ge m}E_{qn}=\bigcap_{n\in\Bbb N}E_{q,m+n}$ for $q\in\Bbb Q$
and $m\in\Bbb N$;
then every $F_{qm}$ belongs to $\Sigma$, by 111Dd or (c) above.   Set
$G_q=\bigcup_{m\in\Bbb N}F_{qm}$ for $q\in\Bbb Q$;  then every $G_q$
belongs to $\Sigma$, by 111A(iii).   Set
$K=\{q:q\in\Bbb Q,\,q<\sqrt{2}\}$;
then $K$ is countable, by 111E and (b-i) of this paragraph.   So
$\bigcap_{q\in K}G_q$ belongs to $\Sigma$, by (c).   But
$E=\bigcap_{q\in K}G_q$.\ \Qed}
}%end of comment

\cmmnt{","\header{111Fd}{\bf (d)} Sebagai contoh cara menggunakan
gagasan-gagasan ini, perhatikan hal berikut. Misalkan $X$ suatu
himpunan, $\Sigma$ suatu aljabar-$\sigma$ pada $X$, dan
$\langle E_{qn}\rangle_{q\in\Bbb Q,n\in\Bbb N}$ suatu
keluarga di dalam $\Sigma$. Maka

\Centerline{$E
=\bigcap_{q\in\Bbb Q,q<\sqrt{2}}\bigcup_{m\in\Bbb N}\bigcap_{n\ge m}E_{qn}
=\bigcap_{q\in\Bbb Q,q<\sqrt{2}}(\bigcup_{m\in\Bbb N}(\bigcap_{n\ge m}E_{qn}))
\in\Sigma$.}

\noindent\vthsp\prooflet{\Prf\ Tetapkan
$F_{qm}=\bigcap_{n\ge m}E_{qn}=\bigcap_{n\in\Bbb N}E_{q,m+n}$ untuk
$q\in\Bbb Q$ dan $m\in\Bbb N$; maka setiap $F_{qm}$ termasuk dalam
$\Sigma$, menurut 111Dd atau (c) di atas. Tetapkan
$G_q=\bigcup_{m\in\Bbb N}F_{qm}$ untuk $q\in\Bbb Q$; maka setiap $G_q$
termasuk dalam $\Sigma$, menurut 111A(iii). Tetapkan
$K=\{q:q\in\Bbb Q,\,q<\sqrt{2}\}$; maka $K$ terhitung, menurut 111E dan
(b-i) pada paragraf ini. Jadi, $\bigcap_{q\in K}G_q$ termasuk dalam
$\Sigma$, menurut (c). Tetapi $E=\bigcap_{q\in K}G_q$.\ \Qed}
}%end of comment

\cmmnt{",f74690f2c3adccba48c7bfaaa936ae200eaea3461a18be2b92b353c6a99d59a1,5eaa7d2a2386b444600fe2e914f9fce088f2891e8c276eb3141300c7b7a56363,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
1.0.0,result,O007-FREMLIN-V1-S111-RESULT-111FE,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111-SEG-111FE,111Fe,111Fe,R is not countable,R tidak terhitung,"\header{111Fe}{\bf (e)} And one final remark, which I give
without proof
here -- though many proofs will be implicit in the work below, and I
spell one out in 1A1Ha --

\medskip

\centerline{\bf The set $\Bbb R$ of real numbers is not countable.}

\medskip

\noindent So you must resist any temptation to look for a list $a_0$,
$a_1,\ldots$ running over the whole set of real numbers.
}%end of comment

","\header{111Fe}{\bf (e)} Dan satu catatan terakhir, yang saya
berikan di sini tanpa bukti --- walaupun banyak bukti akan tersirat
dalam pembahasan di bawah, dan satu di antaranya saya uraikan dalam
1A1Ha ---

\medskip

\centerline{\bf Himpunan $\Bbb R$ dari semua bilangan real tidak
terhitung.}

\medskip

\noindent Jadi, Anda harus menahan godaan untuk mencari suatu daftar
$a_0$, $a_1,\ldots$ yang mencakup seluruh himpunan bilangan real.
}%end of comment

",b9123f0aa8a65162e1f2127c5516bb7ccdc59ef6e620018be1e96aaf466435a9,30f0171c72d134ee25869c716dee1f0ff6afc0a4648c2b3469fdf464ae471640,O007-RIGHTS-FREMLIN-DSL,"{""basis"":""mathematical result retained at an exact source-to-target segment"",""kind"":""source-derived-result-map"",""source_resource_ids"":[""O007-RESOURCE-MT111-SOURCE""]}"
