schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123-INTRO,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,,1,123,123-intro,123-intro,unmarked-unit-introduction,false,Unnumbered prose between newsection 123 and theorem 123A.,exposition,Section introduction,Pengantar bagian,10,15,10,15,160,482,161,508,8fe043b2a7baa3605731fc83c2d72845eec6d8ed0dd25fec51d76f2c5b2b4f20,4a3640e3e6e7d7e2b771150b680600cec99d75f5272af6450a8dd32a8e63b85a,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123A,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,,2,123A,123A,123A,explicit,false,,result,B. Levi monotone convergence theorem,Teorema konvergensi monoton B. Levi,16,158,16,163,482,5592,508,5975,2cfb56dae114fa2bd7c8bcfce821ee42003841edf7d7468682fd5dd636c8370f,1df363ff503beb4f76039b60af45a87feb5c95c91cae6f51eda918e19ca914ad,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123AA,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S123-SEG-123A,3,123A,123Aa,123Aa,implicit-subanchor,false,Printed proof part (a) inside 123A restored as 123Aa.,proof-clause,B. Levi proof part (a),Bagian (a) bukti teorema B. Levi,41,144,42,147,1540,5066,1650,5411,5d685e1822d8159802196d17aa6eeac0a7f803f15564978ce936d6ef7c23ee14,822eefafee3e69151a65fa61fbbdbd59164751a865dd57aba4f248728fa272a1,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123AB,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S123-SEG-123A,4,123A,123Ab,123Ab,implicit-subanchor,false,Printed proof part (b) inside 123A restored as 123Ab.,proof-clause,B. Levi proof part (b),Bagian (b) bukti teorema B. Levi,145,156,148,161,5066,5568,5411,5951,9f159692ef5d911813ae762b619115584281b6ed75979bb056c6e77e735c965b,62bd6b4506f8c3a85abc2c1cc0b52be7432adc926080cf612d0d6e7d11e92d05,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123B,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,,5,123B,123B,123B,explicit,false,,result,Fatou lemma,Lema Fatou,159,189,164,197,5592,6990,5975,7415,7aec333b908fb6d95780b699f5be0931c28d1730fc639f9a18b4537edf2add0f,641ba26a2a5c9375256fc7273241359799c6feaf59ed1c77cf04fcd8385eaddf,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123C,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,,6,123C,123C,123C,explicit,false,,result,Lebesgue dominated convergence theorem,Teorema Konvergensi Terdominasi Lebesgue,190,235,198,243,6990,8643,7415,9183,584e030c48dd92448f1240b324dfaa8f660c7c22aa82a7ecb3c9b77f559eaff5,379379ea325a059fa8ede71e06e8372765af61bf0268bda33b4edca0e3e67486,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123D,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,,7,123D,123D,123D,explicit,false,,result,Differentiation under the integral sign,Diferensiasi di bawah tanda integral,236,298,244,311,8643,10745,9183,11442,a92b948a5cca3199080ad21fffeadfb6784aa9bf3650e7cb775e4c2aaf94d3e8,dc8bbc60c8c36c5c60d43ab054cc906fa90dc09e2a02456dc59e883b84a32d52,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123DA,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S123-SEG-123D,8,123D,123Da,123Da,implicit-subanchor,false,Printed proof part (a) inside 123D restored as 123Da.,proof-clause,Differentiation corollary proof part (a),Bagian (a) bukti korolari diferensiasi,261,282,270,295,9505,10394,10096,11069,6cb7be5d56008d39f19a10ecac4691345aa6cf4897063bc92c0982137b854443,8b36d287786d3a3b71d5b08d637cd078c4cc05ace0d1f0bc5606aa58dd5ec720,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123DB,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S123-SEG-123D,9,123D,123Db,123Db,implicit-subanchor,false,Printed proof part (b) inside 123D restored as 123Db.,proof-clause,Differentiation corollary proof part (b),Bagian (b) bukti korolari diferensiasi,283,288,296,301,10394,10542,11069,11224,b176dfb9447c8f4e22de3addaa092a13bab9874058ef412baa9abddfe0266161,e10c9603e3a075d23ac73d4a1acbed9e562f87e85b3cfbba3f74afac032b34d3,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-S123-SEG-123X,O007-FREMLIN-V1-S123,O007-RIGHTS-FREMLIN-DSL,,10,123X,123X,123X,explicit,false,,exercise,Basic exercises,Latihan dasar,299,307,312,321,10745,11195,11442,11911,e7c81d713c72b5655384f2f65826b332039957ef052c0de66d9aebad9a492d09,04bc495ed1c30134baf4363b12a5a9a4c85df4042282baf03d87ff4151d560b0,"{""basis"":""exact bounded source and target character ranges; printed clause topology is restored without inventing a source ID"",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT123-SOURCE""]}"
