schema_version,record_type,id,unit_id,rights_id,segment_id,relation_type,order,source_anchor,target_reference,resolution_status,source_locator,target_locator,provenance
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0001,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,1,mt10,114,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:257,source/id-ID/mt10.tex:256,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0002,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,2,mt10,115,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:257,source/id-ID/mt10.tex:256,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0003,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,3,mt10,115,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:258,source/id-ID/mt10.tex:257,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0004,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,4,mt10,114,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:259,source/id-ID/mt10.tex:259,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0005,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,5,mt10,132E,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:341,source/id-ID/mt10.tex:343,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0006,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,6,mt10,121A,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:346,source/id-ID/mt10.tex:348,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0007,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,7,mt10,121,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:347,source/id-ID/mt10.tex:349,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT10-XREF-0008,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,refers-to-volume1-anchor,8,mt10,133,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt10.tex:401,source/id-ID/mt10.tex:404,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT01-XREF-0001,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,refers-to-volume1-anchor,1,mt01,111,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt01.tex:9,source/id-ID/mt01.tex:10,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT01-XREF-0002,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,refers-to-volume1-anchor,2,mt01,112,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt01.tex:14,source/id-ID/mt01.tex:15,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT01-XREF-0003,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,refers-to-volume1-anchor,3,mt01,113,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt01.tex:19,source/id-ID/mt01.tex:20,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT01-XREF-0004,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,refers-to-volume1-anchor,4,mt01,114,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt01.tex:24,source/id-ID/mt01.tex:25,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT01-XREF-0005,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,refers-to-volume1-anchor,5,mt01,115,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt01.tex:28,source/id-ID/mt01.tex:29,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT01-XREF-0006,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,refers-to-volume1-anchor,6,mt01,121,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt01.tex:38,source/id-ID/mt01.tex:39,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
1.1.0,xref,O007-FREMLIN-V1-FRONT-MT01-XREF-0007,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,refers-to-volume1-anchor,7,mt01,122,resolved-in-corpus,authority/fremlin/source/mt1.2011/mt01.tex:43,source/id-ID/mt01.tex:44,"{""basis"":""Ordered Volume I reference preserved in the id-ID target."",""kind"":""source-target-xref-map""}"
