schema_version,record_type,id,unit_id,rights_id,artifact_kind,local_path,bytes,sha256,verification_status,provenance
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT10-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt10.tex,13705,583e6a9e306d6eb4776df5260d04f8296cf27bb97aa740d8003802c12f5de452,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT10-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT10-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt10.tex,14003,e5d7a1cb3403ad14ac188e64fa19f1efbb6964df5a9af7793ee03d338b606faf,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT10-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT01-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt01.tex,3628,ac7473c0f35a20fe4ddfd50036c7c50ee094495c65c5965b593623927835cdd4,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT01-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT01-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt01.tex,3568,b69ed5a8a197245980eb58894efa21b1bb1f6890a6552ca75603d4131c4826cc,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT01-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT1-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-FRONT-MT1,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt1.tex,7144,c58c27434928c83ab4bd5727dfeeb538d6144dca0bbf1475963ed2bff7baad3b,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT1-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-FRONT-MT1,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt1.tex,7839,28a591d994dd026bf4a39f66d53d827d4afb928b1ff8474e1a2668d09a697146,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT1-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT11-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-FRONT-MT11,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt11.tex,5875,d077c5498e6a5a1136e41b7b8eaf07a7c6b576af2c32abbbd304aec3f7c3f90b,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT11-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT11-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-FRONT-MT11,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt11.tex,6162,e4d8113141fa9651eee18c82705243dd2fa6f9a2ca3dc5e0f1dc8c96c5d1d3af,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT11-TARGET""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT12-ARTIFACT-FROZEN_AUTHORITY_TEX,O007-FREMLIN-V1-FRONT-MT12,O007-RIGHTS-FREMLIN-DSL,frozen-authority-tex,authority/fremlin/source/mt1.2011/mt12.tex,1603,bf1f5adf81e557f8958b38edd8c59f4170c8686614878c4104814c1d22548e59,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT12-SOURCE""]}"
1.1.0,artifact,O007-FREMLIN-V1-FRONT-MT12-ARTIFACT-ID_ID_TRANSLATED_EDITABLE_SOURCE,O007-FREMLIN-V1-FRONT-MT12,O007-RIGHTS-FREMLIN-DSL,id-ID-translated-editable-source,source/id-ID/mt12.tex,1686,822993fe5645b2e5b0b02dfe95f8b6cf7d52a08c37966c44be28229a64b6a38a,exact local bytes and SHA-256 verified,"{""basis"":""Exact closure input identity."",""kind"":""artifact-identity"",""source_resource_ids"":[""O007-RESOURCE-MT12-TARGET""]}"
