schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,correction_ids,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT10-FORMULA-0001,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,1,mt10,O007-FREMLIN-V1-FRONT-MT10-COMPLETE-FILE,328,329,10273,10282,10381,10390,\pmb{>},\pmb{>},b67713980e18668220318c063c5527913bfdd7093a1cf6a15fa9d84ec30d97c1,b67713980e18668220318c063c5527913bfdd7093a1cf6a15fa9d84ec30d97c1,b67713980e18668220318c063c5527913bfdd7093a1cf6a15fa9d84ec30d97c1,$,,b67713980e18668220318c063c5527913bfdd7093a1cf6a15fa9d84ec30d97c1,b67713980e18668220318c063c5527913bfdd7093a1cf6a15fa9d84ec30d97c1,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0001,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,1,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,9,10,157,165,145,153,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0002,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,2,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,10,11,209,217,190,198,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0003,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,3,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,11,12,245,253,229,237,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0004,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,4,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,12,13,302,310,296,304,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0005,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,5,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,15,16,415,423,391,399,\infty,\infty,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,$,,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0006,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,6,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,24,25,720,729,695,704,\Bbb{R},\Bbb{R},ecaede40308565b0aaa41c8440377774cb925bb3ecb4e9ad5f2c1a172a330e0a,ecaede40308565b0aaa41c8440377774cb925bb3ecb4e9ad5f2c1a172a330e0a,ecaede40308565b0aaa41c8440377774cb925bb3ecb4e9ad5f2c1a172a330e0a,$,,ecaede40308565b0aaa41c8440377774cb925bb3ecb4e9ad5f2c1a172a330e0a,ecaede40308565b0aaa41c8440377774cb925bb3ecb4e9ad5f2c1a172a330e0a,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0007,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,7,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,28,29,881,890,851,860,\BbbR^r,\BbbR^r,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,$,,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,6a5173578402ab704fe0e78c24a3f6f09fe9ed2c7ea0fbe574d688249eb91ed7,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0008,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,8,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,39,40,1151,1159,1095,1103,\sigma,\sigma,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,$,,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,9c3245dfb4ac54c1623a60e7b8d1fc07cb02eae1229435230c7dab5e71083a26,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V1-FRONT-MT01-FORMULA-0009,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,9,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,67,69,2191,2199,2136,2144,\infty,\infty,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,$,,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,"{""basis"":""Ordered nested-math atom preserved exactly or by an explicit correction record."",""kind"":""source-target-formula-map""}"
