schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,provenance
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0001,O007-FREMLIN-V1-FRONT-MT10,O007-FREMLIN-V1-FRONT-MT10,precedes-in-volume-source-order,O007-FREMLIN-V1-FRONT-MT01,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0002,O007-FREMLIN-V1-FRONT-MT01,O007-FREMLIN-V1-FRONT-MT01,precedes-in-volume-source-order,O007-FREMLIN-V1-FRONT-MT1,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0003,O007-FREMLIN-V1-FRONT-MT1,O007-FREMLIN-V1-FRONT-MT1,precedes-in-volume-source-order,O007-FREMLIN-V1-FRONT-MT11,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0004,O007-FREMLIN-V1-FRONT-MT11,O007-FREMLIN-V1-FRONT-MT11,precedes-in-volume-source-order,O007-FREMLIN-V1-S111,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0005,O007-FREMLIN-V1-S111,O007-FREMLIN-V1-S111,precedes-in-volume-source-order,O007-FREMLIN-V1-S112,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0006,O007-FREMLIN-V1-S112,O007-FREMLIN-V1-S112,precedes-in-volume-source-order,O007-FREMLIN-V1-S113,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0007,O007-FREMLIN-V1-S113,O007-FREMLIN-V1-S113,precedes-in-volume-source-order,O007-FREMLIN-V1-S114,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0008,O007-FREMLIN-V1-S114,O007-FREMLIN-V1-S114,precedes-in-volume-source-order,O007-FREMLIN-V1-S115,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0009,O007-FREMLIN-V1-S115,O007-FREMLIN-V1-S115,precedes-in-volume-source-order,O007-FREMLIN-V1-FRONT-MT12,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
1.1.0,relation,O007-FREMLIN-V1-SOURCE-ORDER-0010,O007-FREMLIN-V1-FRONT-MT12,O007-FREMLIN-V1-FRONT-MT12,precedes-in-volume-source-order,O007-FREMLIN-V1-S121,"{""basis"":""Exact vol1.tex driver order, with nested mt10 includes exposed as stable units."",""kind"":""source-order""}"
