schema_version,record_type,id,unit_id,rights_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,anchor_note,segment_kind,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-FRONT-MT10-SEGMENT-0001,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,1,mt10,O007-FREMLIN-V1-FRONT-MT10-COMPLETE-FILE,O007-FREMLIN-V1-FRONT-MT10-COMPLETE-FILE,unit-metadata,false,,complete-source-member,1,402,1,404,0,13705,0,14003,583e6a9e306d6eb4776df5260d04f8296cf27bb97aa740d8003802c12f5de452,e5d7a1cb3403ad14ac188e64fa19f1efbb6964df5a9af7793ee03d338b606faf,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT10-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-FRONT-MT01-SEGMENT-0001,O007-FREMLIN-V1-FRONT-MT01,O007-RIGHTS-FREMLIN-DSL,1,mt01,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,O007-FREMLIN-V1-FRONT-MT01-COMPLETE-FILE,unit-metadata,false,,complete-source-member,1,117,1,119,0,3628,0,3568,ac7473c0f35a20fe4ddfd50036c7c50ee094495c65c5965b593623927835cdd4,b69ed5a8a197245980eb58894efa21b1bb1f6890a6552ca75603d4131c4826cc,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT01-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-FRONT-MT1-SEGMENT-0001,O007-FREMLIN-V1-FRONT-MT1,O007-RIGHTS-FREMLIN-DSL,1,mt1,O007-FREMLIN-V1-FRONT-MT1-COMPLETE-FILE,O007-FREMLIN-V1-FRONT-MT1-COMPLETE-FILE,unit-metadata,false,,complete-source-member,1,126,1,131,0,7144,0,7839,c58c27434928c83ab4bd5727dfeeb538d6144dca0bbf1475963ed2bff7baad3b,28a591d994dd026bf4a39f66d53d827d4afb928b1ff8474e1a2668d09a697146,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-FRONT-MT11-SEGMENT-0001,O007-FREMLIN-V1-FRONT-MT11,O007-RIGHTS-FREMLIN-DSL,1,mt11,O007-FREMLIN-V1-FRONT-MT11-COMPLETE-FILE,O007-FREMLIN-V1-FRONT-MT11-COMPLETE-FILE,unit-metadata,false,,complete-source-member,1,111,1,109,0,5875,0,6158,d077c5498e6a5a1136e41b7b8eaf07a7c6b576af2c32abbbd304aec3f7c3f90b,e4d8113141fa9651eee18c82705243dd2fa6f9a2ca3dc5e0f1dc8c96c5d1d3af,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT11-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-FRONT-MT12-SEGMENT-0001,O007-FREMLIN-V1-FRONT-MT12,O007-RIGHTS-FREMLIN-DSL,1,mt12,O007-FREMLIN-V1-FRONT-MT12-COMPLETE-FILE,O007-FREMLIN-V1-FRONT-MT12-COMPLETE-FILE,unit-metadata,false,,complete-source-member,1,35,1,33,0,1603,0,1686,bf1f5adf81e557f8958b38edd8c59f4170c8686614878c4104814c1d22548e59,822993fe5645b2e5b0b02dfe95f8b6cf7d52a08c37966c44be28229a64b6a38a,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT12-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-APPENDIX-INTRO-SEGMENT-0001,O007-FREMLIN-V1-APPENDIX-INTRO,O007-RIGHTS-FREMLIN-DSL,1,mt1a,O007-FREMLIN-V1-APPENDIX-INTRO-COMPLETE-FILE,O007-FREMLIN-V1-APPENDIX-INTRO-COMPLETE-FILE,unit-metadata,false,,complete-source-member,1,32,1,32,0,1102,0,1233,4ebe7dc511763be44d670bb6cbd1c40eb84f8c895057c756422826ea83bf1f37,8a566a2386592d409e1d0da624f3df06d95577455345e7f4288469d6ae34225d,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0001,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,1,mt1a1,O007-FREMLIN-V1-A1-PREAMBLE,O007-FREMLIN-V1-A1-PREAMBLE,unit-metadata,false,,source-member-preamble,1,15,1,15,0,477,0,535,f08fa3d866ea0ce7ba7b50689ad161d0d0427490ea3c340149dc816e1cfb40ea,ad3a0da83a05f714a601f977927d2c0a80105f167702fb46e0e83dff30f5d89d,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0002,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,2,1A1A,1A1A,1A1A,explicit,false,,exposition,16,19,16,19,477,660,535,706,341f9fb967dcf07d7dc9d6a86fe4f904b78d04b70ebe582cb8e5962fb594427d,ece9873284eebaea04c156d5cb2c5a9d46b709fb755b7bee62ec36a4b1ea6a2d,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0003,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,3,1A1Aa,1A1Aa,1A1Aa,explicit,false,,exposition,20,39,20,38,660,1260,706,1326,1da8246da8be29f5076ab487208d617c8e51b39bf764cc255bbd7b8c5628da30,8d20be45ae1ded578e1d2b691052064f68120c04ba6723cc7ae6fb96bc8f5494,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0004,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,4,1A1Ab,1A1Ab,1A1Ab,explicit,false,,exposition,40,56,39,55,1260,1715,1326,1811,62b7f1a27002c402013fde82d2b8a913d7190e81d3250efa296cf4acd38e90ca,cd3432832a0dc5189a38c3fa6d938f1ad22edc9aea392d1d086cac680fd806f6,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
1.1.0,segment,O007-FREMLIN-V1-A1-SEGMENT-0005,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,5,1A1Ac,1A1Ac,1A1Ac,explicit,false,,exposition,56,65,55,63,1715,2094,1811,2236,2b9e29a65465795a99b6303386e6bb84eb457b6e3986bb530a6218c07b2ff6f4,32dc4f2ad6b489ec70993e1b88a4864dbaebc934990a292a01a41c7e0d0acb3d,"{""basis"":""Exact stable source-to-id-ID map; OpenAI Codex gpt-5.6-sol, Ultra."",""kind"":""source-target-segment-map"",""source_resource_ids"":[""O007-RESOURCE-MT1A1-SOURCE""]}"
