schema_version,record_type,id,unit_id,rights_id,source_text,target_text,source_locator,target_locator,classification,rationale,correction_applied,math_ordinal,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,source_correction,O007-CORR-0027,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,is a partition partition of X,adalah partisi dari X,authority/fremlin/source/mt1.2011/mt1a1.tex:385-386,source/id-ID/mt1a1.tex:386,source-duplicated-word,The authority repeats 'partition' across a line break. The Indonesian derivative states the intended definition once.,true,,,,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0028,O007-FREMLIN-V1-A2,O007-RIGHTS-FREMLIN-DSL,\sum_{j=1}^r\alpha\beta\xi_j^2+\alpha\beta\eta_j^2+\alpha^2\eta_j^2+\beta^2\xi_j^2,\sum_{j=1}^r(\alpha\beta\xi_j^2+\alpha\beta\eta_j^2+\alpha^2\eta_j^2+\beta^2\xi_j^2),authority/fremlin/source/mt1.2011/mt1a2.tex:86-87,source/id-ID/mt1a2.tex:86-87,mathematical-summation-scope-error,"The next equality sums all four j-dependent terms. Without grouping, only the first term lies under the summation sign and the displayed identity is false.",true,70,e7ca951f4fe69b1e7ba8f1c71d29183e9a35159c12595c900f79908500f134c9,f083ef63c064794995760ab7464228c10905ef692adeceb203b002fce1f93a25,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0029,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,\limsup a_n=\lim\sup a_m\ge\lim\inf a_m=\limsup a_n,\limsup a_n=\lim\sup a_m\ge\lim\inf a_m=\liminf a_n,authority/fremlin/source/mt1.2011/mt1a3.tex:116-117,source/id-ID/mt1a3.tex:114-115,mathematical-wrong-terminal-limit,"This is the proof of liminf <= limsup. The final tail-infimum limit is liminf, as stated in Proposition 1A3B(a), not a second limsup.",true,75,c8eaa5baa13416c96c6d7b68eba0387baaac3048cfea6d1005abdb0c8ffa13fc,fa9ad96cda9c448b64c2439dbc9a1c5fdc6793ec368ea287788a90cdfe61e370,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0030,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,\sup_{m\ge n_1}a_n\le v_1,\sup_{m\ge n_1}a_m\le v_1,authority/fremlin/source/mt1.2011/mt1a3.tex:156,source/id-ID/mt1a3.tex:156,mathematical-bound-variable-error,"The supremum ranges over m, so its operand must be a_m. The source's a_n leaves m vacuous and cannot supply the following tail bound.",true,89,37e279de92b53e459104fdde55676d89e3dcea8bafa12f01fd3c3a745c744093,3fb937041cff044447fa8c39c6a745572e39653350bbc4a268c93761ec162122,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0031,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,\sup_{m\ge n_2}b_n\le v_2,\sup_{m\ge n_2}b_m\le v_2,authority/fremlin/source/mt1.2011/mt1a3.tex:157,source/id-ID/mt1a3.tex:156,mathematical-bound-variable-error,"The supremum ranges over m, so its operand must be b_m. The source's b_n leaves m vacuous and cannot supply the following tail bound.",true,90,f4c08531c57dc6ae682595132c228ea00ffb31225f305b1fac2016a32967fbf1,310732676102ad0fef7d53aa8f813435e14f965d39a082e9772241df5f0ba0f9,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0032,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,"\sup_{m\ge\max(n_1,n_2)}a_m+b_m","\sup_{m\ge\max(n_1,n_2)}(a_m+b_m)",authority/fremlin/source/mt1.2011/mt1a3.tex:159,source/id-ID/mt1a3.tex:158,mathematical-missing-grouping,The proof needs the supremum of the pointwise sum. Parentheses make both summands part of the supremum operand and match Proposition 1A3B(d).,true,91,0d5fc7a25cb810192b351f019b333f7eb72fb096b36cd9c4a3f02a26906f838d,d810c7eb309d8b5509397f192f1a82b26dcab101f8651bb153b93ca1410df252,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0033,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,\limsup a_n+b_n=\inf_n\sup_{m\ge n}a_m+b_m,\limsup(a_n+b_n)=\inf_n\sup_{m\ge n}(a_m+b_m),authority/fremlin/source/mt1.2011/mt1a3.tex:167-168,source/id-ID/mt1a3.tex:166-167,mathematical-missing-grouping,The conclusion of part (d) concerns the limsup of the sum sequence. Grouping removes two free-standing addends and makes the equality mathematically well scoped.,true,93,9909078de7e82453cf1d48fa119d0e2823e04b1ba7d757cfad375d05b0bc61bc,a3d1e93b5ea33c9a770d56d98d2ad2624a2dabb10ce0591fa6c91706442cffac,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0034,O007-FREMLIN-V1-A3,O007-RIGHTS-FREMLIN-DSL,\liminf a_n+b_n=-\limsup(-a_n)+(-b_n),\liminf(a_n+b_n)=-\limsup((-a_n)+(-b_n)),authority/fremlin/source/mt1.2011/mt1a3.tex:174-175,source/id-ID/mt1a3.tex:173-174,mathematical-missing-grouping,Part (e) applies part (d) to the pointwise sum of the negated sequences. Parentheses are required on both sides; otherwise b_n lies outside the limit operator.,true,94,16ea9f1e5e5f5b47f22db5bdd3d75d485491109e93ceb3a629a8dc8573995f4b,87ec11a91322edccb0001b682aa320da71619d5311f2f5e88571baba0e96fcee,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0035,O007-FREMLIN-V1-FRONT-MT10,O007-RIGHTS-FREMLIN-DSL,are to to some extent contradictory,sampai taraf tertentu prinsip-prinsip ini saling bertentangan,authority/fremlin/source/mt1.2011/mt10.tex:241,source/id-ID/mt10.tex:240,source-duplicated-word,The authority repeats 'to'. The Indonesian derivative states the intended meaning once while preserving the qualification 'to some extent'.,true,,,,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0036,O007-FREMLIN-V1-A1,O007-RIGHTS-FREMLIN-DSL,picking arbitrarily on one of them,memilih salah satunya secara sembarang,authority/fremlin/source/mt1.2011/mt1a1.tex:275,source/id-ID/mt1a1.tex:277-278,source-extraneous-word,The authority's 'on' is extraneous after 'picking arbitrarily'. The Indonesian derivative directly renders the intended selection of one surjection.,true,,,,"{""basis"":""Exact row in the cumulative source-correction ledger."",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
