schema_version,record_type,id,unit_id,segment_id,relation_type,object_id,order,source_anchor,target_reference,resolution_status,source_locator,provenance
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0001,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-254Yb,1,2r-intro,254Yb,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:32,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0002,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-244O,2,2r-intro,244O,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:58,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0003,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-272V,3,2r-intro,272V,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:84,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0004,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-263Ec,4,2r-intro,263Ec,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:88,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0005,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-262C,5,2r-intro,262C,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:95,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0006,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-263Ec,6,2r-intro,263Ec,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:95,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0007,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-274H,7,2r-intro,274H,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:100,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0008,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-275Xc,8,2r-intro,275Xc,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:100,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0009,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-285N,9,2r-intro,285N,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:100,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
1.1.0,xref,O007-FREMLIN-V2-REFERENCES-XREF-0010,O007-FREMLIN-V2-REFERENCES,O007-FREMLIN-V2-REFERENCES-SEG-2R-INTRO,source-reference,O007-FREMLIN-XREF-241F,10,2r-intro,241F,resolved-in-corpus,authority/fremlin/source/mt2.2016/mt2r.tex:104,"{""basis"":""active printed source reference retained as a typed edge"",""kind"":""source-cross-reference""}"
