schema_version,record_type,id,unit_id,rights_id,source_text,target_text,source_locator,target_locator,classification,rationale,correction_applied,math_ordinal,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,source_correction,O007-CORR-0341,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,\langle X_i\rangle_{i\ge n_k},\langle X_i\rangle_{i>n_k},authority/fremlin/source/mt2.2016/mt273.tex:63,source/id-ID/mt273.tex:63,mathematical-wrong-tail-start,The partial-sum difference S_m-S_{n_k} is generated by increments with i strictly greater than n_k; including X_{n_k} would shift the Etemadi sequence by one term.,true,29,32c421b9b9e765a58a923fb691391bda77925f6f9cee56507b50ee23820cb35d,baa4a8a1e0e184a3b92be389d645ed4968ec35758e08029bf004e5ab6271878d,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0342,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,|\sum_{i=0}^{m-1}x-x_i|,|\sum_{i=0}^{m-1}(x-x_i)|,authority/fremlin/source/mt2.2016/mt273.tex:147,source/id-ID/mt273.tex:150,mathematical-missing-summand-grouping,The proof estimates the finite sum of deviations x-x_i. Without parentheses the summation binds only x and leaves one free x_i outside it.,true,80,7f045a871e24fd61be0d5cc1d770c7475eefff7a8ada2c35a964726eecfa5dd5,2621b69bb60720af4857485519fe98459ae5af2e482bf9ef50e162cfac1a56cd,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0343,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,\sum_{i=0}^nx-x_i,\sum_{i=0}^n(x-x_i),authority/fremlin/source/mt2.2016/mt273.tex:150-154,source/id-ID/mt273.tex:153-158,mathematical-missing-summand-grouping,Both displayed sums are sums of deviations; the printed ungrouped forms leave the indexed x_i outside the summation operator and do not yield the stated Cesaro estimate.,true,82,c86e5c36a367399c0b9a5c06105788492d4cae76dc89667d9ac01eac8fd7f923,08fdc1b313555028d6b28adfaea6aa96457633e508ec76d1777af0aea29d2e24,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0344,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,b_n=\sqrt{n}\ln n,b_n=\sqrt{n}\ln n\quad(n\ge 2),authority/fremlin/source/mt2.2016/mt273.tex:257,source/id-ID/mt273.tex:261-263,mathematical-invalid-initial-terms,"As written the example is undefined at n=0 and equals zero at n=1, contradicting the theorem's strictly positive sequence hypothesis. Restricting the formula to n>=2 and choosing positive initial terms preserves the intended eventual example.",true,131,2e90ae8fb85e178af00aa8b39a682ea9cebb4cbd1a5f8cd7b6ada8fcc7d2e05e,4f75f5d33232a7995c4cffc4e4215d4a454dc0257b0cb465357f52ac6e5067b4,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0345,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,n\in\Bbb N,n\ge 1,authority/fremlin/source/mt2.2016/mt273.tex:344,source/id-ID/mt273.tex:351,mathematical-zero-index-boundary,"The displayed variance estimate uses n^{1-delta}; the proof must state it for n>=1, while Y_0=0 is handled separately.",true,171,02bb197ae0de627eb1861382dcf81826f92f1895770d739be7f05b2435488186,37da60206b14e06bf71351a297c4bf5db7653b3a6defb20cd4a5b8d8af1cd1ae,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0346,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,\sum_{n=0}^{\infty}\Bover{n^{1-\delta}}{(n+1)^2}K,\sum_{n=1}^{\infty}\Bover{n^{1-\delta}}{(n+1)^2}K,authority/fremlin/source/mt2.2016/mt273.tex:351-353,source/id-ID/mt273.tex:356-359,mathematical-zero-index-boundary,"The n=0 comparison is undefined or ambiguous when delta=1, whereas Y_0=0. Separating that term and starting the comparison at one makes the convergence estimate valid for the stated range.",true,174,7050c618030eea63f0415e75dd83991d792be1389af21957ff4253787370a9be,eae7328fa14fb23a011771f98fc48e8074b50b7494d0a577f952299df9d2cc90,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0347,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,\lim_{n\to\infty}\Expn(Y_n)-\Expn(X_n)=0,\lim_{n\to\infty}(\Expn(Y_n)-\Expn(X_n))=0,authority/fremlin/source/mt2.2016/mt273.tex:391,source/id-ID/mt273.tex:400,mathematical-missing-limit-grouping,The convergence statement concerns the difference of the two expectations for each n. Without parentheses only the first term is under the limit and X_n remains free.,true,186,42e4bd1faced214aac2316c540e54848e202ec2b06c237925f865abe8442e1f1,8dd80c90e1aaeabb3877f98c00e0ecbb661596a2f766285f5c5971881a67e131,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0348,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,\sum_{i=0}^n\Expn(Y_i)-\Expn(X_i),\sum_{i=0}^n(\Expn(Y_i)-\Expn(X_i)),authority/fremlin/source/mt2.2016/mt273.tex:393-394,source/id-ID/mt273.tex:402-403,mathematical-missing-summand-grouping,The Cesaro step averages the expectation differences. The printed form leaves one X_i term outside the sum.,true,187,b67d5707b1ff9ffe2838eb15ce4cd21350f524edb19130be7b6431866bbaef3e,62e765cb682b7a556c730b5ad3eeb93bd7dc184324dca224cbda700a3d5be546,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0349,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,\sum_{i=0}^nX_i(\omega)-\Expn(X_i),\sum_{i=0}^n(X_i(\omega)-\Expn(X_i)),authority/fremlin/source/mt2.2016/mt273.tex:398-400,source/id-ID/mt273.tex:407-408,mathematical-missing-summand-grouping,The strong-law average centers every X_i; without parentheses only the X_i values are summed and one unbound expectation is subtracted.,true,188,5e55ea960b5f62cdb4ea3046637411665bd9a969eb3733c90d82f2bc6e5f4377,5b46e4eb04458d02bd33d88da489df0d085de314335e53bd97eabbde0701770d,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0350,O007-FREMLIN-V2-S273,O007-RIGHTS-FREMLIN-DSL,\sum_{i=0}^nX_i-\Expn(X_i),\sum_{i=0}^n(X_i-\Expn(X_i)),authority/fremlin/source/mt2.2016/mt273.tex:404-406,source/id-ID/mt273.tex:413-414,mathematical-missing-summand-grouping,The final almost-everywhere statement repeats the centered sum and requires the same per-summand grouping.,true,191,a36780599ff221f95efc2bc009090fe5640d0235df27fbe6c937970c8d9b2756,ddd38c8e61d1feac513ce356bfe717f692a9873c4cb2f8c5175ba822bee5d3fd,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH27-COMPLETE-SOURCE-CORRECTIONS""]}"
