schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136-INTRO,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,1,136,136-intro,136-intro,unmarked-unit-introduction,false,exposition,136-intro,136-intro,1,18,1,17,0,603,0,643,d3a04f2abb62a5649db751dfa82a0ad6af8b026c01f1f32a68cd9969a06c6df1,ac3f095c09bb6927e6ab516af3f58e8851425cf7b5ea556305703f23122b38f0,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136A,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,2,136A,136A,136A,explicit,false,exposition,136A,136A,19,60,18,59,603,2474,643,2687,435697d11cb9082b5812a52a4dc7f0ff902b127340ddc64c9f56c14bf53775ab,200883841c99f4dce784f5433d24df764c6725a9ca879a9b41776d470cb079cf,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136B,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,3,136B,136B,136B,explicit,false,exposition,136B,136B,61,138,60,137,2474,5357,2687,5828,13477fa1485e073919fb2fd9d2aefa90f8efb95235a9e83d3a8762d3c6514c21,410768805a885b30bdeea70c41039a63d785ccedaf44d3922f72a45106798ad7,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136C,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,4,136C,136C,136C,explicit,false,exposition,136C,136C,139,170,138,171,5357,6592,5828,7229,7fe8bcd5af6c28b9592020c74d017860f4709be5ab457c7aa561109b25b864dd,bf5c9335a95a6c456bac6fe1197759baff40dedec6ecff2e18f764f6e9d16472,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136D,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,5,136D,136D,136D,explicit,false,exposition,136D,136D,171,198,172,200,6592,7794,7229,8540,c4937307b8ae527add4059b757dfa93390bf024471515c6e4b63d2541dc2dcfc,5baa034a56b4fe9e24e9fb4525cc5a22d7ee1d4d039106b4b70f67c1779f10d2,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136E,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,6,136E,136E,136E,explicit,false,exposition,136E,136E,199,209,201,211,7794,8122,8540,8917,0fabd0839b74d48bb42577b7345049ce362d22b0cb890125c7d5ff8041206e9e,9b6f938788867a2cbc1c98c1eab95ba474a6df735e6ae0737986a7b6c12f848d,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136F,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,7,136F,136F,136F,explicit,false,exposition,136F,136F,210,216,212,217,8122,8442,8917,9272,a0e3945132af5ac1f57ba10afc8234a1982df4322beeb14423af29f6098b6ba2,16b147a05f9ae69847e3b2f0815caaec999abf143762d82b5a064eaaa4717847,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136FB,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,8,136Fb,136Fb,136Fb,explicit,false,exposition,136Fb,136Fb,217,230,218,232,8442,8866,9272,9737,18cbcfcfede4b353b62240fb241b7fe650c90a03c4ef7c0d41facfb05c6a089a,fd43032ed02947568568e43291860bfc2b3d2d00595d90b53eb34800f1c0c6dd,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136FC,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,9,136Fc,136Fc,136Fc,explicit,false,exposition,136Fc,136Fc,231,233,233,235,8866,8973,9737,9889,30c8fb07461517a3de3b94e5cb7353cb1e633d66563b9c192171c76d5c3c9595,52956b4493964c3446ccce93bf841d288c1ed3088ad7acba20554fdbcd814196,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V1-S136-SEG-136G,O007-FREMLIN-V1-S136,O007-RIGHTS-FREMLIN-DSL,,10,136G,136G,136G,explicit,false,exposition,136G,136G,234,319,236,322,8973,12188,9889,13324,688223cea27332fa1bbea41cd2b5b88343c76540af8bdb47f8df539cf4f165b4,bade780edf968aa45381d4769824c3581d93d761a8ca29907136099d318c6406,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
