schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,semantic_anchor,source_text,target_text,source_raw_tex_sha256,target_raw_tex_sha256,importance,importance_basis,provenance
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271XA,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271XA,1,271X,271Xa,"\leader{271X}{Basic exercises $\pmb{>}$(a)}
%\spheader 271Xa
Let $X$ be a real-valued random variable with finite expectation, and
$\epsilon>0$.   Show that
$\Pr(|X-\Expn(X)|\ge\epsilon)\le\Bover1{\epsilon^2}\Var(X)$.
(This is {\bf Chebyshev's inequality}.)
%271A

","\leader{271X}{Latihan dasar $\pmb{>}$(a)}
%\spheader 271Xa
Misalkan $X$ suatu variabel acak bernilai real dengan ekspektasi hingga, dan
$\epsilon>0$. Tunjukkan bahwa
$\Pr(|X-\Expn(X)|\ge\epsilon)\le\Bover1{\epsilon^2}\Var(X)$.
(Ini adalah {\bf ketaksamaan Chebyshev}.)
%271A

",eb979d4773d23181ac9208ae70c36285a1640bc8095fbc19fa0fee74c4c7eccf,c2e1ef2199858b7f86749d78dbe32084f9c6a4c8ea5ae21de9f4a895fa2b4718,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271XB,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271XB,2,271Xb,271Xb,"\sqheader 271Xb Let $F:\Bbb R\to[0,1]$ be a non-decreasing
function such that
(i) $\lim_{a\to-\infty}F(a)=0$ (ii) $\lim_{a\to\infty}F(a)=1$ (iii)
$\lim_{x\downarrow a}F(x)=F(a)$ for every $a\in\Bbb R$.   Show that
there is a unique Radon probability measure $\nu$ in $\Bbb R$ such that
$F(a)=\nu\ocint{-\infty,a}$ for every
$a\in\Bbb R$.   \Hint{114Xa.}   Hence show that $F$
is the distribution function of some random variable.
%271G

","\sqheader 271Xb Misalkan $F:\Bbb R\to[0,1]$ suatu fungsi tak menurun
sedemikian sehingga
(i) $\lim_{a\to-\infty}F(a)=0$ (ii) $\lim_{a\to\infty}F(a)=1$ (iii)
$\lim_{x\downarrow a}F(x)=F(a)$ untuk setiap $a\in\Bbb R$. Tunjukkan bahwa
terdapat tepat satu ukuran probabilitas Radon $\nu$ pada $\Bbb R$ sedemikian
sehingga $F(a)=\nu\ocint{-\infty,a}$ untuk setiap
$a\in\Bbb R$. \Hint{114Xa.} Selanjutnya tunjukkan bahwa $F$
adalah fungsi distribusi dari suatu variabel acak.
%271G

",9ff59415e26542e13a370713a66ee6cc9eb766977de9018bd571c9a685f77ae2,032be33da6efe6fda9280f57fe35e6c3e41b314775cdaf3d5a0e779bcf0bbcfc,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271XC,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271XC,3,271Xc,271Xc,"\sqheader 271Xc Let $X$ be a real-valued random variable with a density
function $f$.   (i) Show
that $|X|$ has a density function $g_1$ where $g_1(x)=f(x)+f(-x)$
whenever $x\ge 0$
and $f(x)$, $f(-x)$ are both defined, $0$ otherwise.   (ii) Show that
$X^2$ has a density function $g_2$ where
$g_2(x)=(f(\sqrt{x})+f(-\sqrt{x}))/2\sqrt{x}$ whenever $x>0$ and this is
defined, $0$ for other $x$.   (iii) Show that if $\Pr(X=0)=0$ then $1/X$
has a density function $g_3$ where $g_3(x)=\bover1{x^2}f(\bover1x)$
whenever this is
defined.   (iv) Show that if $\Pr(X<0)=0$ then $\sqrt{X}$ has a density
function
$g_4$ where $g_4(x)=2xf(x^2)$ if $x\ge 0$ and $f(x^2)$ is defined, $0$
otherwise.
%271J

","\sqheader 271Xc Misalkan $X$ suatu variabel acak bernilai real dengan fungsi
kerapatan $f$. (i) Tunjukkan bahwa $|X|$ mempunyai fungsi kerapatan $g_1$
dengan $g_1(x)=f(x)+f(-x)$ setiap kali $x\ge 0$ dan $f(x)$, $f(-x)$ keduanya
terdefinisi, dan $0$ jika tidak. (ii) Tunjukkan bahwa $X^2$ mempunyai fungsi
kerapatan $g_2$ dengan
$g_2(x)=(f(\sqrt{x})+f(-\sqrt{x}))/2\sqrt{x}$ setiap kali $x>0$ dan nilai ini
terdefinisi, serta $0$ untuk $x$ lainnya. (iii) Tunjukkan bahwa jika
$\Pr(X=0)=0$ maka $1/X$ mempunyai fungsi kerapatan $g_3$ dengan
$g_3(x)=\bover1{x^2}f(\bover1x)$ setiap kali nilai ini terdefinisi.
(iv) Tunjukkan bahwa jika $\Pr(X<0)=0$ maka $\sqrt{X}$ mempunyai fungsi
kerapatan $g_4$ dengan $g_4(x)=2xf(x^2)$ jika $x\ge 0$ dan $f(x^2)$
terdefinisi, serta $0$ jika tidak.
%271J

",b9890c7e61dacce9adfa468223893e0118d77fc311a328ae9a419410f36d3fcb,cb7b77c10a921ffcabae1761c880e7b68ee3e2cedb6ffd3f4a667e93ca71c055,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271XD,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271XD,4,271Xd,271Xd,"\sqheader 271Xd Let $X$ and $Y$ be random variables with a joint density
function $f:\BbbR^2\to\Bbb R$.   Show that $X+Y$ has a density function
$h$ where $h(u)=\int f(u-v,v)dv$ for almost every $u$.
%271K

","\sqheader 271Xd Misalkan $X$ dan $Y$ variabel-variabel acak dengan fungsi
kerapatan gabungan $f:\BbbR^2\to\Bbb R$. Tunjukkan bahwa $X+Y$ mempunyai
fungsi kerapatan $h$ dengan $h(u)=\int f(u-v,v)dv$ untuk hampir setiap $u$.
%271K

",da4620102d8097f9c1cc07d988dd5721b3004f4eec3c628624202fba0c5bda20,efe2fa5ac7d53c996523476e2f5ab8277f54224d65435864f4da31c3e1a8d362,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271XE,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271XE,5,271Xe,271Xe,"\spheader 271Xe Let $X$, $Y$ be random variables with a joint density
function
$f:\BbbR^2\to\Bbb R$.   Show that $X/Y$ has a density function $h$ where
$h(u)=\int|v|f(uv,v)dv$ for almost every $u$.
%271K

","\spheader 271Xe Misalkan $X$, $Y$ variabel-variabel acak dengan fungsi kerapatan
gabungan $f:\BbbR^2\to\Bbb R$. Tunjukkan bahwa $X/Y$ mempunyai fungsi
kerapatan $h$ dengan $h(u)=\int|v|f(uv,v)dv$ untuk hampir setiap $u$.
%271K

",662c1728caa12a31124f150137484cc300e9d6e817711cce00d6852a23be61d4,db46e288505dd77dbe0d4e4eb70a999e1263b8e9cb262c789614fd56c4b03a38,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271XF,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271XF,6,271Xf,271Xf,"\spheader 271Xf Devise an alternative proof of 271K by using Fubini's
theorem and one-dimensional substitutions to show that

\Centerline{$\int_a^b\int_{-\infty}^{\infty}
\Bover1{|v|}f(\bover{u}{v},v)dv\,du
=\int_{\{(u,v):a\le uv\le b\}}f$}

\noindent whenever $a\le b$ in $\Bbb R$.
%271K

","\spheader 271Xf Rancang suatu bukti alternatif untuk 271K dengan menggunakan
teorema Fubini dan substitusi satu dimensi untuk menunjukkan bahwa

\Centerline{$\int_a^b\int_{-\infty}^{\infty}
\Bover1{|v|}f(\bover{u}{v},v)dv\,du
=\int_{\{(u,v):a\le uv\le b\}}f$}

\noindent setiap kali $a\le b$ dalam $\Bbb R$.
%271K

",324cc97a3f41ceb3a131bd202ca7035a7b7344a30a7611abae2ee40c7ceb9068,da3807ab59d833dc727e3a96f57400eed30af3a7af3bfeafba3d25451bf3fc67,true,source basic-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271YA,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271YA,7,271Y,271Ya,"\leader{271Y}{Further exercises (a)}
%\spheader 271Ya
Let $\frak T$ be the topology of
$\BbbR^{\Bbb N}$ and $\Cal B$ the $\sigma$-algebra of Borel sets
(256Yf).   (i) Let $\Cal I$ be the family of sets of the form

\Centerline{$\{x:x\in\BbbR^{\Bbb N},\,
x(i)\le \alpha_i\Forall i\le n\}$,}

\noindent where $n\in\Bbb N$ and $\alpha_i\in\Bbb R$
for each $i\le n$.   Show that $\Cal B$ is the smallest family of
subsets of $\BbbR^{\Bbb N}$ such that ($\alpha$)
$\Cal I\subseteq\Cal B$
($\beta$) $B\setminus A\in\Cal B$ whenever $A$, $B\in\Cal B$ and
$A\subseteq B$ ($\gamma$) $\bigcup_{k\in\Bbb N}A_k\in\Cal B$ for every
non-decreasing sequence $\sequence{k}{A_k}$ in $\Cal B$.   (ii) Show
that if $\mu$, $\mu'$ are two totally finite measures defined on
$\BbbR^{\Bbb N}$, and
$\mu F$ and $\mu' F$ are defined and equal for every $F\in\Cal I$, then
$\mu E$ and $\mu' E$ are defined and equal for every $E\in\Cal B$.
(iii) Show that if $\Omega$ is a set and $\Sigma$ a $\sigma$-algebra
of subsets of $\Omega$ and $X:\Omega\to\BbbR^{\Bbb N}$ is a function,
then $X^{-1}[E]\in\Sigma$ for every $E\in\Cal B$ iff $\pi_iX$ is
$\Sigma$-measurable for every $i\in \Bbb N$, where $\pi_i(x)=x(i)$ for
each $x\in\BbbR^{\Bbb N}$, $i\in \Bbb N$.   (iv) Show that if
$\pmb{X}=\sequence{i}{X_i}$ is a sequence of real-valued random
variables on a probability space $(\Omega,\Sigma,\mu)$, then there is a
unique probability measure $\nu_{\pmb{X}}^{\Cal B}$, with domain
$\Cal B$, such that
$\nu_{\pmb{X}}^{\Cal B}\{x:x(i)\le\alpha_i\Forall i\le n\}
=\Pr(X_i\le\alpha_i\Forall i\le n)$ for every
$\alpha_0,\ldots,\alpha_n\in\Bbb R$.    (v) Under the conditions of
(iv), show that there is a unique Radon measure $\nu_{\pmb{X}}$ on
$\BbbR^{\Bbb N}$ (in the sense of 256Yf) such that
$\nu_{\pmb{X}}\{x:x(i)\le\alpha_i\Forall i\le n\}
=\Pr(X_i\le\alpha_i\Forall i\le n)$ for every
$\alpha_0,\ldots,\alpha_n\in\Bbb R$.

","\leader{271Y}{Latihan lanjutan (a)}
%\spheader 271Ya
Misalkan $\frak T$ topologi dari
$\BbbR^{\Bbb N}$ dan $\Cal B$ aljabar-sigma himpunan Borel (256Yf).
(i) Misalkan $\Cal I$ keluarga himpunan berbentuk

\Centerline{$\{x:x\in\BbbR^{\Bbb N},\,
x(i)\le \alpha_i\Forall i\le n\}$,}

\noindent dengan $n\in\Bbb N$ dan $\alpha_i\in\Bbb R$
untuk setiap $i\le n$. Tunjukkan bahwa $\Cal B$ adalah keluarga terkecil
dari bagian-bagian $\BbbR^{\Bbb N}$ sedemikian sehingga ($\alpha$)
$\Cal I\subseteq\Cal B$
($\beta$) $B\setminus A\in\Cal B$ setiap kali $A$, $B\in\Cal B$ dan
$A\subseteq B$ ($\gamma$) $\bigcup_{k\in\Bbb N}A_k\in\Cal B$ untuk setiap
barisan tak menurun $\sequence{k}{A_k}$ dalam $\Cal B$. (ii) Tunjukkan bahwa
jika $\mu$, $\mu'$ dua ukuran berhingga total yang didefinisikan pada
$\BbbR^{\Bbb N}$, dan
$\mu F$ serta $\mu' F$ terdefinisi dan sama untuk setiap $F\in\Cal I$, maka
$\mu E$ dan $\mu' E$ terdefinisi dan sama untuk setiap $E\in\Cal B$.
(iii) Tunjukkan bahwa jika $\Omega$ suatu himpunan dan $\Sigma$ suatu
aljabar-sigma bagian-bagian dari $\Omega$ dan
$X:\Omega\to\BbbR^{\Bbb N}$ suatu fungsi, maka $X^{-1}[E]\in\Sigma$ untuk
setiap $E\in\Cal B$ jika dan hanya jika $\pi_iX$ terukur terhadap $\Sigma$
untuk setiap $i\in \Bbb N$, dengan $\pi_i(x)=x(i)$ untuk setiap
$x\in\BbbR^{\Bbb N}$, $i\in \Bbb N$. (iv) Tunjukkan bahwa jika
$\pmb{X}=\sequence{i}{X_i}$ suatu barisan variabel acak bernilai real pada ruang
probabilitas $(\Omega,\Sigma,\mu)$, maka terdapat tepat satu ukuran
probabilitas $\nu_{\pmb{X}}^{\Cal B}$, dengan domain $\Cal B$, sedemikian
sehingga
$\nu_{\pmb{X}}^{\Cal B}\{x:x(i)\le\alpha_i\Forall i\le n\}
=\Pr(X_i\le\alpha_i\Forall i\le n)$ untuk setiap
$\alpha_0,\ldots,\alpha_n\in\Bbb R$. (v) Di bawah syarat-syarat (iv),
tunjukkan bahwa terdapat tepat satu ukuran Radon $\nu_{\pmb{X}}$ pada
$\BbbR^{\Bbb N}$ (dalam arti 256Yf) sedemikian sehingga
$\nu_{\pmb{X}}\{x:x(i)\le\alpha_i\Forall i\le n\}
=\Pr(X_i\le\alpha_i\Forall i\le n)$ untuk setiap
$\alpha_0,\ldots,\alpha_n\in\Bbb R$.

",57dbad2b16fe4f8fd1433abce2f6dbad2e9c8367be64790977b2f303b207d166,a8a54d4ca19fe2c3c92e923994c569ee63891a06f315a74b7110e7c1c73f2517,false,source further-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271YB,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271YB,8,271Yb,271Yb,"\header{271Yb}{\bf (b)} Let $F:\BbbR^2\to[0,1]$ be a function.   Show
that the following are equiveridical:  (i) $F$ is the distribution
function
of some pair $(X_1,X_2)$ of random variables (ii) there is a probability
measure $\nu$ on $\BbbR^2$ such that $\nu\ocint{-\infty,a}=F(a)$ for
every $a\in\BbbR^2$ (iii)($\alpha$)
$F(\alpha_1,\alpha_2)+F(\beta_1,\beta_2)
\ge F(\alpha_1,\beta_2)+F(\alpha_2,\beta_1)$ whenever
$\alpha_1\le\beta_1$
and $\alpha_2\le\beta_2$ ($\beta$) $F(\alpha_1,\alpha_2)
=\lim_{\xi_1\downarrow\alpha_1,\xi_2\downarrow\alpha_2}F(\xi_1,\xi_2)$
for every $\alpha_1$, $\alpha_2$ ($\gamma$)
$\lim_{\alpha\to-\infty}F(\alpha,\beta)
=\lim_{\alpha\to-\infty}F(\beta,\alpha)=0$ for all $\beta$
($\delta$) $\lim_{\alpha\to\infty}F(\alpha,\alpha)=1$.
\Hint{for non-empty half-open intervals $\ocint{a,b}$, set
$\lambda\ocint{a,b}=F(\alpha_1,\alpha_2)+F(\beta_1,\beta_2)
  -F(\alpha_1,\beta_2)-F(\alpha_2,\beta_1)$, and
continue as in 115B-115F.}

","\header{271Yb}{\bf (b)} Misalkan $F:\BbbR^2\to[0,1]$ suatu fungsi.
Tunjukkan bahwa pernyataan berikut ekuivalen: (i) $F$ adalah fungsi distribusi
dari suatu pasangan $(X_1,X_2)$ variabel acak (ii) terdapat suatu ukuran
probabilitas $\nu$ pada $\BbbR^2$ sedemikian sehingga
$\nu\ocint{-\infty,a}=F(a)$ untuk setiap $a\in\BbbR^2$
(iii)($\alpha$)
$F(\alpha_1,\alpha_2)+F(\beta_1,\beta_2)
\ge F(\alpha_1,\beta_2)+F(\beta_1,\alpha_2)$ setiap kali
$\alpha_1\le\beta_1$
dan $\alpha_2\le\beta_2$ ($\beta$) $F(\alpha_1,\alpha_2)
=\lim_{\xi_1\downarrow\alpha_1,\xi_2\downarrow\alpha_2}F(\xi_1,\xi_2)$
untuk setiap $\alpha_1$, $\alpha_2$ ($\gamma$)
$\lim_{\alpha\to-\infty}F(\alpha,\beta)
=\lim_{\alpha\to-\infty}F(\beta,\alpha)=0$ untuk semua $\beta$
($\delta$) $\lim_{\alpha\to\infty}F(\alpha,\alpha)=1$.
\Hint{untuk interval setengah terbuka tak kosong $\ocint{a,b}$, tetapkan
$\lambda\ocint{a,b}=F(\alpha_1,\alpha_2)+F(\beta_1,\beta_2)
  -F(\alpha_1,\beta_2)-F(\beta_1,\alpha_2)$, dan
lanjutkan seperti dalam 115B-115F.}

",805e5eda8454de3d7efa6f9d5ecca7218d3f9419376c61a5dc4618a5e495cb45,77189c00b524414911eff70ed2074cf85f7e628c914bd9667eaa38cd9d26792c,false,source further-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271YC,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271YC,9,271Yc,271Yc,"\header{271Yc}{\bf (c)} Generalize (b) to higher dimensions, finding a
suitable formula to stand in place of that in (iii-$\alpha$) of (b).

","\header{271Yc}{\bf (c)} Perumum (b) ke dimensi yang lebih tinggi, dengan
mencari rumus yang sesuai untuk menggantikan rumus dalam (iii-$\alpha$) dari
(b).

",a7b2f2bc70ffc87edd1e44865f5015de5d768816f508f51418db680d1256fbe7,7b8c6a6087b2766853660937be184bec90805ce3edd85154b60feb30a427980e,false,source further-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
1.1.0,exercise,O007-FREMLIN-V2-S271-EXERCISE-271YD,O007-FREMLIN-V2-S271,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S271-SEG-271YD,10,271Yd,271Yd,"\spheader 271Yd Let $(\Omega,\Sigma,\mu)$ be a probability space and
$\Cal F$ a filter on $\eusm L^0(\mu)$ converging to
$X_0\in\eusm L^0(\mu)$ for the topology of convergence in measure.
Show that, writing $F_X$ for the distribution function of
$X\in\eusm L^0(\mu)$,

\Centerline{$F_{X_0}(a)=\inf_{b>a}\liminf_{X\to\Cal F}F_X(b)
=\inf_{b>a}\limsup_{X\to\Cal F}F_X(b)$}

\noindent for every $a\in\Bbb R$.
%271L

","\spheader 271Yd Misalkan $(\Omega,\Sigma,\mu)$ suatu ruang probabilitas dan
$\Cal F$ suatu filter pada $\eusm L^0(\mu)$ yang konvergen menuju
$X_0\in\eusm L^0(\mu)$ untuk topologi konvergensi dalam ukuran. Tunjukkan
bahwa, dengan menuliskan $F_X$ untuk fungsi distribusi dari
$X\in\eusm L^0(\mu)$,

\Centerline{$F_{X_0}(a)=\inf_{b>a}\liminf_{X\to\Cal F}F_X(b)
=\inf_{b>a}\limsup_{X\to\Cal F}F_X(b)$}

\noindent untuk setiap $a\in\Bbb R$.
%271L

",bac44e74919c2301e1d3f1a4d899fce39ed7e85ad7ecc64e608145602d45b1f5,c5d10dc04bd3970f1af2f5ee8475fa96daeb46a5c34ad98d300bfb57888bd041,false,source further-exercise block,"{""basis"":""complete ordered exercise source range"",""kind"":""source-derived-exercise-map""}"
