schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0001,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,1,2conc-intro,2conc-intro,21,21,472,480,462,470,\Bbb R,\Bbb R,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,f9d62b077eddf72778fc05527c5aa4d2352f16a46a94808294fdc2cb7e406580,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,$,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,22316cdc991b42844c0fcdb72f227b6d4c0e8457a736e325af2845b7b3df7f6c,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0002,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,2,2conc-intro,2conc-intro,77,74,2781,2786,2628,2633,L^p,L^p,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,$,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0003,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,3,2conc-intro,2conc-intro,81,78,2939,2944,2781,2786,L^p,L^p,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,$,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0004,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,4,2conc-intro,2conc-intro,81,78,2949,2954,2791,2796,L^q,L^q,9e3d7978b29768e15913c052c640f1de1f1b752ada76b84d712e09e36b09ecbb,9e3d7978b29768e15913c052c640f1de1f1b752ada76b84d712e09e36b09ecbb,9e3d7978b29768e15913c052c640f1de1f1b752ada76b84d712e09e36b09ecbb,$,9e3d7978b29768e15913c052c640f1de1f1b752ada76b84d712e09e36b09ecbb,9e3d7978b29768e15913c052c640f1de1f1b752ada76b84d712e09e36b09ecbb,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0005,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,5,2conc-intro,2conc-intro,84,81,3070,3075,2904,2909,L^p,L^p,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,$,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0006,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,6,2conc-intro,2conc-intro,102,99,3781,3792,3605,3616,"\{0,1\}^I","\{0,1\}^I",8560111bece3a83810c67e29fba6977ffdea363a53c4bbee2940c7577a0f1fd6,8560111bece3a83810c67e29fba6977ffdea363a53c4bbee2940c7577a0f1fd6,8560111bece3a83810c67e29fba6977ffdea363a53c4bbee2940c7577a0f1fd6,$,8560111bece3a83810c67e29fba6977ffdea363a53c4bbee2940c7577a0f1fd6,8560111bece3a83810c67e29fba6977ffdea363a53c4bbee2940c7577a0f1fd6,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0007,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,7,2conc-intro,2conc-intro,105,102,3906,3917,3724,3735,"\{0,1\}^A","\{0,1\}^A",6c4d6a0ed20ff7ee03920cfe509e7de7dc04265bd31f94908950f5570efc8182,6c4d6a0ed20ff7ee03920cfe509e7de7dc04265bd31f94908950f5570efc8182,6c4d6a0ed20ff7ee03920cfe509e7de7dc04265bd31f94908950f5570efc8182,$,6c4d6a0ed20ff7ee03920cfe509e7de7dc04265bd31f94908950f5570efc8182,6c4d6a0ed20ff7ee03920cfe509e7de7dc04265bd31f94908950f5570efc8182,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0008,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,8,2conc-intro,2conc-intro,107,104,3978,3983,3796,3801,F_n,F_n,c57cafb013c6775f412c69687b0b4b5d3f91cc05870e68d88f47c1e241741077,c57cafb013c6775f412c69687b0b4b5d3f91cc05870e68d88f47c1e241741077,c57cafb013c6775f412c69687b0b4b5d3f91cc05870e68d88f47c1e241741077,$,c57cafb013c6775f412c69687b0b4b5d3f91cc05870e68d88f47c1e241741077,c57cafb013c6775f412c69687b0b4b5d3f91cc05870e68d88f47c1e241741077,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0009,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,9,2conc-intro,2conc-intro,107,104,3989,3997,3809,3817,n\in L,n\in L,2d20a04de50847c030f8c91f9efa529479e1dbe6b806cf6452367085da7ca034,2d20a04de50847c030f8c91f9efa529479e1dbe6b806cf6452367085da7ca034,13d2a6b8084ddfe49ff20bc40cd4c5a6a15a2db61a3cce0104732d8c597d97ef,$,13d2a6b8084ddfe49ff20bc40cd4c5a6a15a2db61a3cce0104732d8c597d97ef,13d2a6b8084ddfe49ff20bc40cd4c5a6a15a2db61a3cce0104732d8c597d97ef,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-CONCORDANCE-FORMULA-0010,O007-FREMLIN-V2-CONCORDANCE,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-CONCORDANCE-SEG-2CONC-INTRO,10,2conc-intro,2conc-intro,108,105,4033,4050,3851,3868,I\setminus\{i\},I\setminus\{i\},afd852d48c0783fee993f9a74ac3738ff4c0a145639616aa0a4974e375b51931,afd852d48c0783fee993f9a74ac3738ff4c0a145639616aa0a4974e375b51931,afd852d48c0783fee993f9a74ac3738ff4c0a145639616aa0a4974e375b51931,$,afd852d48c0783fee993f9a74ac3738ff4c0a145639616aa0a4974e375b51931,afd852d48c0783fee993f9a74ac3738ff4c0a145639616aa0a4974e375b51931,"{""basis"":""ordered source-target formula atom"",""kind"":""source-target-formula-map""}"
