schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,correction_ids,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0001,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241-INTRO,1,241-intro,241-intro,8,8,129,140,126,137,\eusm L^0,\eusm L^0,12c2089e125d309e832793d4a992d6333c40397baf0330403e1207da04318ded,12c2089e125d309e832793d4a992d6333c40397baf0330403e1207da04318ded,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,$,,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0002,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241-INTRO,2,241-intro,241-intro,8,8,145,150,142,147,L^0,L^0,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,$,,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0003,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241-INTRO,3,241-intro,241-intro,12,12,226,231,217,222,L^1,L^1,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,$,,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,9d0fbf856fe55b032eaac1d3cc54b65eb406a5231c658bf5d96c01b0eddfbee3,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0004,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241-INTRO,4,241-intro,241-intro,13,12,233,245,224,236,L^{\infty},L^{\infty},78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,$,,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,78a4126aa7bf2982d3fda504bb032af482859d41123569b379ce30447473769c,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0005,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241-INTRO,5,241-intro,241-intro,13,13,250,255,242,247,L^p,L^p,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,$,,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,0de1bee007df208a54c85a6cf3aa6c06e2a922620965a43478a0496c27e05aa0,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0006,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241-INTRO,6,241-intro,241-intro,15,15,372,377,390,395,L^0,L^0,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,$,,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0007,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241-INTRO,7,241-intro,241-intro,17,17,527,532,562,567,L^0,L^0,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,$,,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,efb929291fb3ed4159783d57eb43e4f4183bf2aa2552acd5d70f6ebf7aa04b27,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0008,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241A,8,241A,241A,33,33,1357,1368,1427,1438,\eusm L^0,\eusm L^0,12c2089e125d309e832793d4a992d6333c40397baf0330403e1207da04318ded,12c2089e125d309e832793d4a992d6333c40397baf0330403e1207da04318ded,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,$,,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0009,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241A,9,241A,241A,36,36,1488,1504,1575,1591,"(X,\Sigma,\mu)","(X,\Sigma,\mu)",05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,$,,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,05e9b769403b4c7926a944d5aaa03f00bb216412bc3f850e41b3c28de657aa67,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
1.1.0,formula,O007-FREMLIN-V2-S241-FORMULA-0010,O007-FREMLIN-V2-S241,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V2-S241-SEG-241A,10,241A,241A,37,37,1533,1544,1623,1634,\eusm L^0,\eusm L^0,12c2089e125d309e832793d4a992d6333c40397baf0330403e1207da04318ded,12c2089e125d309e832793d4a992d6333c40397baf0330403e1207da04318ded,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,$,,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,d5b98412d5c38001fef173fa13a858cd2e376a97888da5ce2fa997ff513bad4c,"{""basis"":""ordered nested-math atom; exact symbolic replay"",""kind"":""source-target-formula-map""}"
