schema_version,record_type,id,unit_id,rights_id,segment_id,order,source_anchor,target_anchor,source_line_start,target_line_start,source_char_start,source_char_end,target_char_start,target_char_end,source_raw_tex,target_raw_tex,source_raw_tex_sha256,target_raw_tex_sha256,normalized_symbolic_sha256,math_delimiter,provenance
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0001,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,1,113A,113A,17,17,398,401,394,397,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0002,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,2,113A,113A,18,18,440,443,444,447,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0003,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,3,113A,113A,18,18,458,487,462,491,"\theta:\Cal PX\to[0,\infty]","\theta:\Cal PX\to[0,\infty]",305a0e38ff98e01149c213fc4d27de692a254b76b641100e0e4738eb76bf3a11,305a0e38ff98e01149c213fc4d27de692a254b76b641100e0e4738eb76bf3a11,69ec6d7e6454279aff8287c8ca0250cdee0a580c5600ae75c71a7d420f083937,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0004,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,4,113A,113A,20,20,509,529,523,543,\theta \emptyset=0,\theta \emptyset=0,bd95f40c70364fc47ae05914562d202c09d2b03de8001057819e2e71a78e7e94,bd95f40c70364fc47ae05914562d202c09d2b03de8001057819e2e71a78e7e94,da569442d35a3cd243807ee00c7f210f81cbfb2f5e63ecfad0acbcc5e3e23128,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0005,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,5,113A,113A,22,22,546,571,562,587,A\subseteq B\subseteq X,A\subseteq B\subseteq X,8a96d1b5c1b37cac47bf1a497a7a531880ef4e0f0a92f7acc9fe00524fde003a,8a96d1b5c1b37cac47bf1a497a7a531880ef4e0f0a92f7acc9fe00524fde003a,e5f396cc3349879d15e2d1e0ccb4e6f0b31c93508edafff6ef51694b59657c44,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0006,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,6,113A,113A,22,22,577,598,593,614,\theta A\le\theta B,\theta A\le\theta B,20f8e89941fc7ea9c1468571accdc0ae9a79b5fb42c3c01fb3845dbd72f3fea7,20f8e89941fc7ea9c1468571accdc0ae9a79b5fb42c3c01fb3845dbd72f3fea7,a3cc38768f697b61d25b2c74fb28f641369f40350cd1aaf682d0d150f2ed3acc,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0007,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,7,113A,113A,24,24,632,665,650,683,\langle A_n\rangle_{n\in\Bbb N},\langle A_n\rangle_{n\in\Bbb N},f843f642fc6193ba7b26d1a3cf33896486a026c528dd42a37c9a148873db2779,f843f642fc6193ba7b26d1a3cf33896486a026c528dd42a37c9a148873db2779,54bbecc30d2ab6182c340b7f67c82ad1186654050a45005e8af2403922ce9546,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0008,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,8,113A,113A,25,25,680,683,713,716,X,X,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0009,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113A,9,113A,113A,26,26,685,750,718,783,\theta(\bigcup_{n\in\Bbb N}A_n)\le\sum_{n=0}^{\infty}\theta A_n,\theta(\bigcup_{n\in\Bbb N}A_n)\le\sum_{n=0}^{\infty}\theta A_n,f263246df488abdce4251b83f3bb5ef03dc4b3a58d1f9161856856f57a550647,f263246df488abdce4251b83f3bb5ef03dc4b3a58d1f9161856856f57a550647,0b44bb16068c51a3f39312fa25e66e8d801814bec615235cee2bbfabd2a8a3e5,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,formula,O007-FREMLIN-V1-S113-FORMULA-0010,O007-FREMLIN-V1-S113,O007-RIGHTS-FREMLIN-DSL,O007-FREMLIN-V1-S113-SEG-113BA,10,113B,113Ba,30,30,816,824,856,864,\infty,\infty,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,db8e84427c2e1e02f2b2c74d337ab8d69d80cbb28224cd7f85e0174f1f5ed5c7,$,"{""basis"":""ordered TeX math atom; symbolic comparison removes only text, hbox, and noalign prose wrappers; ordinals 47 and 254 differ raw only because embedded explanatory prose is translated"",""kind"":""source-target-formula-map"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE""]}"
