schema_version,record_type,id,unit_id,source_term,target_term,term_kind,definition_ids,provenance
1.1.0,term,O007-FREMLIN-V1-S122-TERM-CHARACTERISTIC-FUNCTION,O007-FREMLIN-V1-S122,characteristic function,fungsi karakteristik,preferred,"[""O007-FREMLIN-V1-S122-DEF-CHARACTERISTIC-SIMPLE""]","{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-SIMPLE-FUNCTION,O007-FREMLIN-V1-S122,simple function,fungsi sederhana,preferred,"[""O007-FREMLIN-V1-S122-DEF-CHARACTERISTIC-SIMPLE""]","{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-SIMPLE-INTEGRAL,O007-FREMLIN-V1-S122,integral of a simple function,integral fungsi sederhana,preferred,"[""O007-FREMLIN-V1-S122-DEF-SIMPLE-INTEGRAL""]","{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-UPPER-INTEGRAL,O007-FREMLIN-V1-S122,upper integral,integral atas,preferred,"[""O007-FREMLIN-V1-S122-DEF-UPPER-INTEGRAL-CLASS-U""]","{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-NONNEGATIVE-FUNCTION,O007-FREMLIN-V1-S122,non-negative function,fungsi nonnegatif,preferred,"[""O007-FREMLIN-V1-S122-DEF-NONNEGATIVE-INTEGRAL""]","{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-INTEGRABLE,O007-FREMLIN-V1-S122,integrable,terintegralkan,preferred,"[""O007-FREMLIN-V1-S122-DEF-INTEGRABLE-FUNCTION""]","{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-LEBESGUE-INTEGRABLE,O007-FREMLIN-V1-S122,Lebesgue integrable,terintegralkan secara Lebesgue,preferred,"[""O007-FREMLIN-V1-S122-DEF-INTEGRABLE-FUNCTION""]","{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-VIRTUALLY-MEASURABLE,O007-FREMLIN-V1-S122,virtually measurable,terukur secara virtual,preferred,[],"{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-QUASI-SIMPLE,O007-FREMLIN-V1-S122,quasi-simple,kuasi-sederhana,exercise-term,[],"{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-PSEUDO-SIMPLE,O007-FREMLIN-V1-S122,pseudo-simple,pseudo-sederhana,exercise-term,[],"{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-ALMOST-EVERYWHERE,O007-FREMLIN-V1-S122,almost everywhere,hampir di mana-mana,frozen-prior,[],"{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
1.1.0,term,O007-FREMLIN-V1-S122-TERM-CONEGLIGIBLE,O007-FREMLIN-V1-S122,conegligible,koterabaikan,frozen-prior,[],"{""basis"":""reader-facing S122 terminology bound to the reviewed final id-ID target"",""kind"":""terminology-map"",""source_resource_ids"":[""O007-RESOURCE-MT122-SOURCE"",""O007-RESOURCE-MT122-SEMANTIC-REVIEW""]}"
