schema_version,record_type,id,unit_id,rights_id,source_text,target_text,source_locator,target_locator,classification,rationale,correction_applied,math_ordinal,source_normalized_sha256,target_normalized_sha256,provenance
1.1.0,source_correction,O007-CORR-0101,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,0<\mu(E\cap\phi^{-1}[F_{ni}),0<\mu(E\cap\phi^{-1}[F_{ni}]),authority/fremlin/source/mt2.2016/mt234.tex:107,source/id-ID/mt234.tex:111,source-mismatched-delimiter,"The inverse-image bracket opened before F_{ni} is closed by a parenthesis in the authority, leaving the formula unbalanced.  Closing the bracket before the outer measure parenthesis restores the intended set expression.",true,85,fbb71eb274beed55cc9447f8f71171b12ead42f8f0d7b9e04dbae3f317a11aa6,5dd3704c7a7e74da0db17dd72c7e374001cbdcc476ca855db73724257c8b5649,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0102,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,(\mu\phi^{-1})(\psi^{-1}[G])),(\mu\phi^{-1})(\psi^{-1}[G]),authority/fremlin/source/mt2.2016/mt234.tex:257,source/id-ID/mt234.tex:265,source-extra-delimiter,The displayed composition identity has one unmatched closing parenthesis after the argument of the image measure.  Removing it restores balanced application syntax and agrees with the preceding and following lines.,true,195,edfae7c7da8150743726a488d706a46a0070c611810f803a784896a70756cf61,2b6a10d9eba1a2fb14d29050fd78c7d39796a6c96b9af224e6f5b8c4dafe34fd,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0103,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,\sum_{i\in I}f^+d\mu_i,\sum_{i\in I}\int f^+d\mu_i,authority/fremlin/source/mt2.2016/mt234.tex:362,source/id-ID/mt234.tex:377,mathematical-missing-integral-operator,The proposition requires the sum of positive-part integrals; without the integral sign the expression is not a scalar and conflicts with the proof in 234H(c)(iii).,true,291,7ce2aec77ceb058acd71831ccc09b99a1bc72ee674459f3f78760f39bb927356,7c5dc9429a630a645d384eed2e4288339e956cdb785bd9e26df0f4d3a2a70747,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0104,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,\sum_{i\in I}f^-d\mu_i,\sum_{i\in I}\int f^-d\mu_i,authority/fremlin/source/mt2.2016/mt234.tex:362,source/id-ID/mt234.tex:377,mathematical-missing-integral-operator,The proposition requires the sum of negative-part integrals; without the integral sign the expression is not a scalar and conflicts with the proof in 234H(c)(iii).,true,292,fc8b78a5f7088e9654aa1d121587beac63794b824f6efd545d76fe9c34519563,86a04d59b89539d78e2eddccdbe315727a9d8525c29c5823ede31c245cb369ef,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0105,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,E_i\in\Sigma_i,E\in\Sigma_i,authority/fremlin/source/mt2.2016/mt234.tex:371,source/id-ID/mt234.tex:386,mathematical-undefined-variable,Only E and F are introduced in this proof.  Completeness of each mu_i yields E in Sigma_i from E subseteq F and mu_i F=0; no indexed E_i exists.,true,302,b251cbed3bc7e1fb2954006af3974141472b4f8a8b3adf075cd98d8711f3d5ea,eb175f9df9ccdcbf76627baec7ec0cb7b79460c26ea7165e0ddce22bb0a0fa58,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0106,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,"[\infty,\infty]","[-\infty,\infty]",authority/fremlin/source/mt2.2016/mt234.tex:421,source/id-ID/mt234.tex:437,mathematical-wrong-interval-endpoint,"The proposition and the two preceding occurrences concern extended-real integrals on [-infinity,infinity].  Repeating positive infinity as both endpoints collapses the interval and contradicts the equivalence being proved.",true,331,8a3835fa18eae8459cb4309ddb24500c14a6884f31bc3a7c79f76fd0a0e53069,c2786c0b1c91c05fddbf58b2a0b7fcf49f8a8ddf6f76db8508839ae252b71f66,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0107,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,\hat\mu(H\setminus((H'\cup(X\setminus G)))=0,\hat\mu(H\setminus(H'\cup(X\setminus G)))=0,authority/fremlin/source/mt2.2016/mt234.tex:741,source/id-ID/mt234.tex:757,source-mismatched-delimiter,The essential-supremum equivalence measures H minus the union of H' and X minus G.  The authority has an unmatched extra opening parenthesis and fails to close the measure application; the corrected grouping is balanced and yields the next equivalence.,true,620,cf7004aa8a9d3a541ce1d8a337ca1cb2a84a6d5c5feedea9b44b50d1a26ff9a1,4ec6082e46053d9fe02466e1cd6920260afb2ed1a50cdcca6efd38f128094c32,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0108,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,indefinite-integral measure over \nu,ukuran integral tak tentu terhadap \mu,authority/fremlin/source/mt2.2016/mt234.tex:821,source/id-ID/mt234.tex:840-841,mathematical-wrong-reference-measure,"The theorem assumes that nu is an indefinite-integral measure over mu.  Referring to nu as its own base measure contradicts the theorem statement and the cited consequences, all of which use mu.",true,710,84eb2b123d1102b8f7c00b34116df32107cffa82d46efbac7fd9543fa7459c38,492247e1bab15272d1e53b8015c042bf6fa0cb8f23ec52cad93d6ba80dafb804,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0109,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,\sum_{n=0}^{\infty}\nu(F\cap G_n)-\mu(F\cap G_n),\sum_{n=0}^{\infty}(\nu(F\cap G_n)-\mu(F\cap G_n)),authority/fremlin/source/mt2.2016/mt234.tex:943-946,source/id-ID/mt234.tex:966-969,mathematical-missing-summand-grouping,"The equality expands nu F minus mu F term by term.  Without grouping, only the nu terms are summed and a single free n remains in the mu term; parentheses make both terms part of every summand.",true,839,4944431bd767ecdfb7fced87718af3b1c32ff4cc1bd385ffe7384e4def8c7fdc,48a9a0fccdcfa5bdd4dced2bb4aeae4621b6c5c0fb3c33da09d38c64178eb41d,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
1.1.0,source_correction,O007-CORR-0110,O007-FREMLIN-V2-S234,O007-RIGHTS-FREMLIN-DSL,\sum_{n=0}^m\nu F_n-\mu F_n\ge\gamma,\sum_{n=0}^m(\nu F_n-\mu F_n)\ge\gamma,authority/fremlin/source/mt2.2016/mt234.tex:953,source/id-ID/mt234.tex:977,mathematical-missing-summand-grouping,The finite choice is made from the sum of the differences defining lambda G_n.  Without parentheses only nu F_n is summed and the final mu F_n has a free index.,true,850,4ded4f81b20556441aba4b59464bac9838b57f95bb8e54d1e662be5b4430e7ef,9077ab446a4fb3464e656c8551789c3c7b565f142178bfab913b4521e836b907,"{""basis"":""exact current source-correction ledger row"",""kind"":""source-correction-ledger"",""source_resource_ids"":[""O007-RESOURCE-CH23-SOURCE-CORRECTIONS""]}"
