schema_version,record_type,id,resource_kind,uri,local_path,bytes,sha256,rows,file_count,expanded_bytes,relation,verification_status,provenance
1.1.0,resource,O007-RESOURCE-MT1-ARCHIVE,official-source-archive,https://www1.essex.ac.uk/maths/people/fremlin/mt1.2011/mt1.2011.tar.gz,authority/fremlin/mt1.2011.tar.gz,421854,1deabdecd72f2a2866eb70c4e2ab89f230083af155414023a0a8b441010a6ff2,,49,1611445,authority for O007-FREMLIN-V1,locally SHA-256 and expanded closure verified 2026-08-21,"{""basis"":""official Essex archive frozen locally"",""kind"":""official-source""}"
1.1.0,resource,O007-RESOURCE-MT2-ARCHIVE,official-source-archive,https://www1.essex.ac.uk/maths/people/fremlin/mt2.2016/mt2.2016.tar.gz,authority/fremlin/mt2.2016.tar.gz,897116,77413c3c2f1a97f0e29b538d957d6dce59a23c0c8b8b287d20b023572e105145,,82,3083672,authority for O007-FREMLIN-V2,locally SHA-256 and expanded closure verified 2026-08-21,"{""basis"":""official Essex archive frozen locally"",""kind"":""official-source""}"
1.1.0,resource,O007-RESOURCE-SOURCE-MANIFEST,authority-manifest,,authority/fremlin/SOURCE_MANIFEST.tsv,11879,4aa1c1b17d932f0f2eb7b5373456e1f39451d775f446cb8aa72101b6f57e8490,131,,,exact member ledger for both expanded source packages,locally SHA-256 verified 2026-08-21,"{""basis"":""frozen exact path, byte count, and hash"",""kind"":""local-evidence""}"
1.1.0,resource,O007-RESOURCE-DSL-TEXT,license-text,,authority/fremlin/dsl.txt,8076,4505ea3ff83882f83f4f5ea2088b51a89f90fa440f6a28c08cb126d7c29e70db,,,,controlling license text for Fremlin-derived material,locally read and SHA-256 verified 2026-08-21,"{""basis"":""frozen exact local license text"",""kind"":""license""}"
1.1.0,resource,O007-RESOURCE-MT111-SOURCE,authority-source-member,,authority/fremlin/source/mt1.2011/mt111.tex,24584,40857003cc5e0d5580e2db104e980e34f11f813cbdb2dc4ad444f34fa01e78a2,,,,complete source for O007-FREMLIN-V1-S111,locally read and SHA-256 verified 2026-08-21,"{""basis"":""expanded official Volume 1 archive and source manifest"",""kind"":""official-source-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST""]}"
1.1.0,resource,O007-RESOURCE-ROOT-HANDOFF,selection-handoff,,00_control/ROOT_SELECTION_HANDOFF_20260821.md,13625,1019d6b6073ccefb5d5a2ae00eadcaaa3fb84f0def974f61b7517f9d5eb8762d,,,,exact lane snapshot of final coordinator handoff resolving selection and carrying corrected source census,final live handoff observed stable twice then snapshotted byte-for-byte and SHA-256 verified 2026-08-21,"{""basis"":""final corrected root selection record routed to and retained by existing O007 task"",""kind"":""control""}"
1.1.0,resource,O007-RESOURCE-CANONICAL-USER-INSTRUCTIONS,canonical-user-instructions,,00_control/CANONICAL_USER_INSTRUCTIONS_20260821.md,10476,cf913e8cb4d487f4c6958c079b372ccbb2fb5929dd483068441e80cefd6794f2,,,,byte-for-byte lane copy of canonical user operating instructions,copied without overwrite then SHA-256 verified 2026-08-21,"{""basis"":""exact copy of the user-supplied canonical instruction source into 00_control/CANONICAL_USER_INSTRUCTIONS_20260821.md"",""kind"":""user-control""}"
1.1.0,resource,O007-RESOURCE-MT112-SOURCE,authority-source-member,,authority/fremlin/source/mt1.2011/mt112.tex,22823,3c6037e1fb81449cd9ba0bd3bc9b3eae8b5c807ecc758b1b661e8bc8db53ec5e,,,,complete source for O007-FREMLIN-V1-S112,locally read and SHA-256 verified 2026-08-21,"{""basis"":""expanded official Volume 1 archive and source manifest"",""kind"":""official-source-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST""]}"
1.1.0,resource,O007-RESOURCE-MT112-TARGET,corrected-id-ID-source-member,,source/id-ID/mt112.tex,24543,2d8429eeb70c591f425350de5497acea9d7f552d063e08e81c3db05816283133,,,,current translated editable source for O007-FREMLIN-V1-S112,translation complete; exactly three source corrections ledgered; semantic backend and cumulative reader admitted 2026-08-21,"{""basis"":""complete current id-ID target"",""kind"":""translated-derivative"",""source_resource_ids"":[""O007-RESOURCE-MT112-SOURCE"",""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,resource,O007-RESOURCE-MT113-SOURCE,authority-source-member,,authority/fremlin/source/mt1.2011/mt113.tex,16692,34a400f9b01faa39330a22f712d885a272e09134dc4ae3ee4d6dc10d09ffd7b3,,,,complete source for O007-FREMLIN-V1-S113,locally read and SHA-256 verified 2026-08-21,"{""basis"":""expanded official Volume 1 archive and source manifest"",""kind"":""official-source-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST""]}"
1.1.0,resource,O007-RESOURCE-MT113-TARGET,final-id-ID-source-member,,source/id-ID/mt113.tex,18215,d0153a75bc626ceaca05ddd96c682dd0a9cbec9cf4a95265f267ac1f57e8ecaf,,,,current translated editable source for O007-FREMLIN-V1-S113,translation structural and semantic QA passed; stable-ID backend admitted 2026-08-21; reader/package build admission pending,"{""basis"":""complete final id-ID target with no source correction asserted"",""kind"":""translated-derivative"",""source_resource_ids"":[""O007-RESOURCE-MT113-SOURCE"",""O007-RESOURCE-MT113C1-PS"",""O007-RESOURCE-MT113C2-PS"",""O007-RESOURCE-MT113C3-PS"",""O007-RESOURCE-MT113C4-PS""]}"
1.1.0,resource,O007-RESOURCE-MT113C1-PS,authority-source-figure-member,,authority/fremlin/source/mt1.2011/mt113c1.ps,18252,05008550dc6ec69c1a81a7f49690db636f74a7d676c80597a5a5c7a68cd6b247,,,,source figure dependency for O007-FREMLIN-V1-S113 proof clause 113Cc,locally read and SHA-256 verified 2026-08-21; two conditional layout uses verified,"{""basis"":""expanded official Volume 1 archive member"",""kind"":""official-source-figure-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST"",""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,resource,O007-RESOURCE-MT113C2-PS,authority-source-figure-member,,authority/fremlin/source/mt1.2011/mt113c2.ps,18011,453bdd8bdf47855be6a9409a350a54509001e86745d9a292d2afeb63a63347f4,,,,source figure dependency for O007-FREMLIN-V1-S113 proof clause 113Cc,locally read and SHA-256 verified 2026-08-21; two conditional layout uses verified,"{""basis"":""expanded official Volume 1 archive member"",""kind"":""official-source-figure-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST"",""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,resource,O007-RESOURCE-MT113C3-PS,authority-source-figure-member,,authority/fremlin/source/mt1.2011/mt113c3.ps,18011,ed139a714ecb9a7298305d31469202e44b35f63bc015a5c31204acee5ac96439,,,,source figure dependency for O007-FREMLIN-V1-S113 proof clause 113Cc,locally read and SHA-256 verified 2026-08-21; two conditional layout uses verified,"{""basis"":""expanded official Volume 1 archive member"",""kind"":""official-source-figure-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST"",""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,resource,O007-RESOURCE-MT113C4-PS,authority-source-figure-member,,authority/fremlin/source/mt1.2011/mt113c4.ps,23151,f814fa8153a7419e48edbc0d1ca8c47fef8d2334aa89334d088ff915d4e4ffd4,,,,source figure dependency for O007-FREMLIN-V1-S113 proof clause 113Cc,locally read and SHA-256 verified 2026-08-21; two conditional layout uses verified,"{""basis"":""expanded official Volume 1 archive member"",""kind"":""official-source-figure-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST"",""O007-RESOURCE-MT113-SOURCE""]}"
1.1.0,resource,O007-RESOURCE-MT114-SOURCE,authority-source-member,,authority/fremlin/source/mt1.2011/mt114.tex,25717,206488ff5ba2960f4e130d162cca6df7af2935968754d77bc18b53ab084b8f97,,,,complete source for O007-FREMLIN-V1-S114,locally read and SHA-256 verified 2026-08-22,"{""basis"":""expanded official Volume 1 archive and source manifest"",""kind"":""official-source-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST""]}"
1.1.0,resource,O007-RESOURCE-MT114-TARGET,final-id-ID-source-member,,source/id-ID/mt114.tex,28141,f66fe29627b477079f5f4bfe815936db827941c637eb7e096dc90d8992a1da30,,,,current translated editable source for O007-FREMLIN-V1-S114,translation structural and semantic QA passed; stable-ID backend admitted 2026-08-22; reader/package build admission pending,"{""basis"":""complete final id-ID target with no source correction asserted"",""kind"":""translated-derivative"",""source_resource_ids"":[""O007-RESOURCE-MT114-SOURCE""]}"
1.1.0,resource,O007-RESOURCE-MT115-CORRECTION-EVIDENCE,official-source-correction-evidence,,qa/mt115-source-correction-evidence.json,3008,49d08607859de6f6fd34520de1a77554edc49935718807f97b43966f715d1e8f,,,,official comparator and errata evidence for four corrections in O007-FREMLIN-V1-S115,"frozen authority, final derivative, current official chapter comparator and official errata identities recorded 2026-08-22","{""basis"":""sanitized exact evidence receipt; current official comparator is evidence, not replacement authority"",""kind"":""correction-evidence"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE"",""O007-RESOURCE-SOURCE-CORRECTIONS""]}"
1.1.0,resource,O007-RESOURCE-MT115-SOURCE,authority-source-member,,authority/fremlin/source/mt1.2011/mt115.tex,27681,2d6714f1b022932a90c38bc05c11f2f3c25d6fd84e5b51050c331fcbd6367739,,,,complete frozen source for O007-FREMLIN-V1-S115,locally read and SHA-256 verified 2026-08-22; frozen 2011 authority remains unmodified,"{""basis"":""expanded official Volume 1 archive and source manifest"",""kind"":""official-source-member"",""source_resource_ids"":[""O007-RESOURCE-MT1-ARCHIVE"",""O007-RESOURCE-SOURCE-MANIFEST""]}"
1.1.0,resource,O007-RESOURCE-MT115-TARGET,final-id-ID-source-member,,source/id-ID/mt115.tex,30520,0cadff37a61d891231702b6dac5ab978285d3e55094659f30dd740f656f730a7,,,,current translated editable source for O007-FREMLIN-V1-S115,translation structural and semantic QA passed; four corrections explicit; stable-ID backend admitted 2026-08-22; reader/package build admission pending,"{""basis"":""complete final id-ID target with four explicit ledgered corrections"",""kind"":""translated-derivative"",""source_resource_ids"":[""O007-RESOURCE-MT115-SOURCE"",""O007-RESOURCE-SOURCE-CORRECTIONS"",""O007-RESOURCE-MT115-CORRECTION-EVIDENCE""]}"
1.1.0,resource,O007-RESOURCE-MT121-INTAKE,source-intake-census,,qa/mt121-intake-census.json,52521,73e7be68030c6f629c7ceacdee8fd8de89388ccbe348e7082ca4933b95230382,,,,"exact source topology, formula, exercise, xref, asset and pagination census for O007-FREMLIN-V1-S121",bounded intake receipt passed 2026-08-22,"{""basis"":""independent exact authority intake before translation"",""kind"":""qa-evidence"",""source_resource_ids"":[""O007-RESOURCE-MT121-SOURCE""]}"
